r,ba
s1,p2
s2,p1
s3,p1
s4,p1
s5,p2
s6,p3
s7,p4
s8,p3
s9,p2
s10,p5
s11,p5
s12,p5
s14,p6
s15,p6
s16,p5
s17,p5
s18,p7
s19,p7
s20,p9
s21,p8
s22,p9
s23,p9
s24,p9
s25,p9
s26,p9
s27,p9
s28,p10
s29,p9
s30,p10
s31,p10
s32,p11
s33,p10
s34,p12
s35,p12
s36,p12
s37,p12
s38,p12
s39,p12
s40,p13
s41,p14
s42,p15
s43,p15
s44,p15
s45,p15
s46,p16
s47,p16
s48,p25
s49,p25
s50,p26
s51,p25
s52,p25
s53,p27
s54,p28
s55,p29
s56,p28
s57,p28
s58,p30
s59,p28
s60,p17
s61,p17
s62,p17
s63,p17
s64,p18
s65,p18
s66,p20
s67,p18
s68,p19
s69,p20
s70,p21
s71,p21
s72,p22
s73,p23
s74,p24
s75,p33
s76,p33
s77,p34
s78,p34
s79,p33
s80,p33
s81,p33
s82,p33
s83,p34
s84,p34
s85,p33
s86,p34
s87,p34
s88,p31
s89,p31
s90,p31
s91,p31
s92,p31
s93,p31
s94,p59
s95,p32
s96,p35
s97,p36
s98,p36
s99,p37
s100,p36
s101,p36
s102,p37
s103,p37
s104,p38
s105,p38
s106,p38
s107,p38
s108,p38
s109,p38
s110,p38
s111,p38
s112,p38
s113,p38
s114,p39
s115,p39
s116,p40
s117,p40
s118,p40
s119,p41
s120,p42
s121,p43
s122,p44
s123,p44
s124,p43
s125,p43
s126,p43
s127,p43
s128,p43
s129,p46
s130,p46
s131,p46
s132,p45
s133,p69
s134,p45
s13,p5
s135,p52
s136,p53
s137,p53
s138,p53
s139,p53
s140,p53
s141,p53
s142,p53
s143,p53
s144,p54
s145,p54
s146,p55
s147,p55
s148,p47
s149,p48
s150,p48
s151,p57
s152,p49
s153,p50
s154,p50
s155,p50
s156,p50
s157,p51
s158,p50
s159,p56
s160,p56
s161,p58
s162,p58
s163,p61
s164,p62
s165,p60
s166,p61
s167,p63
s168,p63
s169,p63
s170,p63
s171,p64
s172,p65
s173,p65
s174,p65
s175,p67
s176,p68
s177,p69
s178,p70
s179,p70
s180,p70
s181,p70
s182,p70
s183,p70
s184,p71
s185,p72
s186,p73
s187,p84
s188,p84
s189,p72
s190,p72
s191,p74
s192,p75
s193,p76
s194,p77
s195,p78
s196,p76
s197,p75
s198,p79
s199,p80
s200,p81
s201,p81
s202,p81
s203,p82
s204,p81
s205,p81
s206,p80
s207,p80
s208,p83
s209,p83
s210,p83
s211,p103
s212,p103
s213,p104
s214,p103
s215,p103
s216,p103
s217,p103
s218,p103
s219,p105
s220,p105
s221,p105
s222,p105
s223,p106
s224,p107
s225,p105
s226,p105
s227,p111
s228,p112
s229,p112
s230,p113
s231,p114
s232,p112
s233,p112
s234,p111
s235,p112
s236,p108
s237,p109
s238,p109
s239,p109
s240,p109
s241,p109
s242,p110
s243,p118
s244,p118
s245,p118
s246,p117
s247,p117
s248,p117
s249,p116
s250,p116
s251,p115
s252,p115
s253,p121
s254,p120
s255,p119
s256,p66
s257,p85
s258,p85
s259,p85
s260,p86
s261,p58
s262,p87
s263,p88
s264,p87
s265,p89
s266,p89
s267,p90
s268,p90
s269,p91
s270,p91
s271,p91
s272,p94
