var_name,i,v,r,h,t,obj_type,new_old
inv,0,1,2,,3,fix_cost,new
inv_refurb,0,1,2,,3,fix_cost,new
inv_rsc,0,1,2,,4,fix_cost,new
upgrades,0,1,2,,3,fix_cost,new
gen,0,1,2,3,4,var_cost,mixed
cap,0,1,2,,3,fix_cost,mixed
opres,1,2,3,4,5,reserve_cost,mixed
storage_in,0,1,2,3,5,var_cost,mixed
captran,trans,,0,,3,fix_cost,mixed
invtran,trans,,0,,2,fix_cost,new
invsubstation,trans,,0,,2,fix_cost,new
flow,trans,,0,2,3,var_cost,mixed
opres_flow,trans,,1,3,4,reserve_cost,mixed
prmtrade,trans,,0,,4,reserve_cost,mixed
storage_in_pvb_p,0,1,2,3,5,var_cost,mixed
storage_in_pvb_g,0,1,2,3,5,var_cost,mixed
cap_sdbin,0,1,2,,5,var_cost,mixed
storage_level,0,1,2,3,4,var_cost,mixed
recs,1,,,,4,var_cost,mixed
gen_pvb_p,0,1,2,3,4,var_cost,mixed
gen_pvb_b,0,1,2,3,4,var_cost,mixed
