region,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047
ER,1,1.048362175,1.103671931,1.170393319,1.232002445,1.292124057,1.352812909,1.415925714,1.49065109,1.564856911,1.631586538,1.698316166,1.765045793,1.83177542,1.898505047,1.97562162,2.052738193,2.129854766,2.206971339,2.284087912,2.361204485,2.438321058,2.515437631,2.592554204,2.669670777,2.74678735,2.823903923,2.901020496,2.978137069,3.055253642,3.132370215
NER,1,1.086838552,1.184115027,1.279508717,1.379551094,1.486372036,1.601511967,1.727132959,1.858372493,2.000229812,2.124700193,2.249170574,2.373640956,2.498111337,2.622581718,2.743022306,2.863462894,2.983903482,3.10434407,3.224784659,3.345225247,3.465665835,3.586106423,3.706547011,3.826987599,3.947428187,4.067868775,4.188309364,4.308749952,4.42919054,4.549631128
NR,1,1.055750207,1.115631807,1.178580417,1.243779431,1.310350314,1.379944979,1.460765385,1.546698643,1.637479284,1.71348036,1.789481437,1.865482514,1.941483591,2.017484668,2.102006235,2.186527801,2.271049368,2.355570935,2.440092502,2.524614069,2.609135636,2.693657203,2.77817877,2.862700337,2.947221904,3.031743471,3.116265038,3.200786604,3.285308171,3.369829738
SR,1,1.067453302,1.139816401,1.208695629,1.274697854,1.344738514,1.419638444,1.498499653,1.581927258,1.671039468,1.750337897,1.829636326,1.908934755,1.988233185,2.067531614,2.155993074,2.244454535,2.332915995,2.421377456,2.509838916,2.598300377,2.686761837,2.775223298,2.863684758,2.952146219,3.040607679,3.12906914,3.2175306,3.305992061,3.394453521,3.482914982
WR,1,1.068263942,1.137935645,1.207167875,1.276946303,1.347434062,1.421236183,1.498563104,1.580071236,1.665179248,1.747716612,1.830253976,1.912791341,1.995328705,2.077866069,2.158054661,2.238243253,2.318431844,2.398620436,2.478809028,2.558997619,2.639186211,2.719374803,2.799563394,2.879751986,2.959940578,3.04012917,3.120317761,3.200506353,3.280694945,3.360883536
