ba,st,state
p1,WA,washington
p2,WA,washington
p3,WA,washington
p4,WA,washington
p5,OR,oregon
p6,OR,oregon
p7,OR,oregon
p8,CA,california
p9,CA,california
p10,CA,california
p11,CA,california
p12,NV,nevada
p13,NV,nevada
p14,ID,idaho
p15,ID,idaho
p16,ID,idaho
p17,MT,montana
p18,MT,montana
p19,MT,montana
p20,MT,montana
p21,WY,wyoming
p22,WY,wyoming
p23,WY,wyoming
p24,WY,wyoming
p25,UT,utah
p26,UT,utah
p27,AZ,arizona
p28,AZ,arizona
p29,AZ,arizona
p30,AZ,arizona
p31,NM,new mexico
p32,SD,south dakota
p33,CO,colorado
p34,CO,colorado
p35,MT,montana
p36,ND,north dakota
p37,ND,north dakota
p38,SD,south dakota
p39,NE,nebraska
p40,NE,nebraska
p41,NE,nebraska
p42,MN,minnesota
p43,MN,minnesota
p44,MN,minnesota
p45,IA,iowa
p46,WI,wisconsin
p47,NM,new mexico
p48,TX,texas
p49,OK,oklahoma
p50,OK,oklahoma
p51,OK,oklahoma
p52,KS,kansas
p53,KS,kansas
p54,MO,missouri
p55,MO,missouri
p56,AR,arkansas
p57,TX,texas
p58,LA,louisiana
p59,TX,texas
p60,TX,texas
p61,TX,texas
p62,TX,texas
p63,TX,texas
p64,TX,texas
p65,TX,texas
p66,TX,texas
p67,TX,texas
p68,MN,minnesota
p69,IA,iowa
p70,IA,iowa
p71,MO,missouri
p72,MO,missouri
p73,MO,missouri
p74,MI,michigan
p75,WI,wisconsin
p76,WI,wisconsin
p77,WI,wisconsin
p78,WI,wisconsin
p79,WI,wisconsin
p80,IL,illinois
p81,IL,illinois
p82,IL,illinois
p83,IL,illinois
p84,MO,missouri
p85,AR,arkansas
p86,LA,louisiana
p87,MS,mississippi
p88,MS,mississippi
p89,AL,alabama
p90,AL,alabama
p91,FL,florida
p92,TN,tennessee
p93,KY,kentucky
p94,GA,georgia
p95,SC,south carolina
p96,SC,south carolina
p97,NC,north carolina
p98,NC,north carolina
p99,VA,virginia
p100,VA,virginia
p101,FL,florida
p102,FL,florida
p103,MI,michigan
p104,MI,michigan
p105,IN,indiana
p106,IN,indiana
p107,IN,indiana
p108,KY,kentucky
p109,KY,kentucky
p110,KY,kentucky
p111,OH,ohio
p112,OH,ohio
p113,OH,ohio
p114,OH,ohio
p115,PA,pennsylvania
p116,WV,west virginia
p117,WV,west virginia
p118,VA,virginia
p119,PA,pennsylvania
p120,PA,pennsylvania
p121,MD,maryland
p122,PA,pennsylvania
p123,MD,maryland
p124,VA,virginia
p125,DE,delaware
p126,NJ,new jersey
p127,NY,new york
p128,NY,new york
p129,VT,vermont
p130,NH,new hampshire
p131,MA,massachusetts
p132,CT,connecticut
p133,RI,rhode island
p134,ME,maine
