,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BC,1,0.969222054,1.01241503,0.996837236,1.011140483,1.030825151,1.046119713,1.054380665,1.06198074,1.094363671,1.108666918,1.120987538,1.134299471,1.148602719,1.160498489,1.168806647,1.177020393,1.186414275,1.195430514,1.204682779,1.214784743,1.224697885,1.234044562,1.242871979,1.251463369,1.259535498,1.266285876,1.273413897,1.279786631,1.285451284,1.291210347,1.298057111,1.30494018,1.311859748,1.318816007,1.325809152,1.332839379,1.339906885,1.347011866,1.354154523,1.361335054
AB,1,1.064168421,1.077431579,1.187326316,1.228,1.272,1.317010526,1.367073684,1.398652632,1.422778947,1.444294737,1.464884211,1.490147368,1.523452632,1.554863158,1.581094737,1.607368421,1.634863158,1.661726316,1.686315789,1.710736842,1.736673684,1.762442105,1.786315789,1.809810526,1.834652632,1.857557895,1.879410526,1.900252632,1.919663158,1.939326316,1.960849029,1.982610601,2.004613685,2.026860959,2.049355135,2.072098952,2.09509518,2.118346621,2.141856108,2.165626504
SK,1,1.032397408,1.063354932,1.130885529,1.16112311,1.188480922,1.232541397,1.270698344,1.301511879,1.258459323,1.288840893,1.302087833,1.3174946,1.336933045,1.355075594,1.373650108,1.38862491,1.404175666,1.419582433,1.433117351,1.446796256,1.46061915,1.472138229,1.483657307,1.494456443,1.503959683,1.512742981,1.521958243,1.530885529,1.538516919,1.546436285,1.555290558,1.564195526,1.573151481,1.582158714,1.591217519,1.600328191,1.609491027,1.618706326,1.627974388,1.637295515
MB,1,1.035506953,1.072769002,1.096125287,1.123666802,1.136897529,1.152423383,1.172134467,1.18928041,1.179559876,1.189010396,1.199135952,1.208991495,1.221007155,1.233022816,1.245038477,1.255029027,1.265424598,1.275415148,1.28527069,1.295261239,1.305926826,1.315377346,1.324422843,1.334413393,1.343593898,1.351829351,1.359794789,1.368165249,1.375185635,1.382341029,1.390224167,1.398152261,1.406125567,1.414144343,1.422208847,1.430319342,1.438476088,1.446679351,1.454929394,1.463226485
ON,1,1.039732312,1.042468117,1.050928069,1.05703102,1.056988931,1.057136243,1.057220422,1.058020119,1.082663412,1.086283093,1.088682184,1.089776506,1.092154552,1.09566901,1.099120333,1.104128962,1.110631761,1.117765899,1.125299886,1.133591481,1.14226188,1.1508481,1.159350141,1.167999495,1.176501536,1.184182836,1.19224294,1.200113641,1.207500316,1.21520266,1.22274815,1.230340491,1.237979975,1.245666895,1.253401545,1.26118422,1.269015221,1.276894846,1.284823397,1.292801179
QC,1,1.02509736,0.995039253,1.043008592,1.041154108,1.044059467,1.048371144,1.052806454,1.057164493,1.065046053,1.069326822,1.073190332,1.07723929,1.081767324,1.087392594,1.093373308,1.099833096,1.107359214,1.115271682,1.123601409,1.132564752,1.141821722,1.150970514,1.159624776,1.168016319,1.176176052,1.183841256,1.191491006,1.199078939,1.20654324,1.214131174,1.22160933,1.229133547,1.236704107,1.244321296,1.251985401,1.259696712,1.267455519,1.275262114,1.283116792,1.291019849
NB,1,0.971149767,0.959270259,0.956936784,0.950148494,0.959482393,0.968816292,0.975180314,0.979847263,1.011243106,1.025880356,1.035214255,1.042426814,1.049851506,1.05685193,1.064064489,1.06936784,1.075519728,1.082520153,1.088035639,1.094399661,1.099703012,1.105430632,1.110946118,1.115613067,1.121340687,1.125159101,1.130250318,1.134068731,1.13661434,1.139372083,1.143416856,1.147475987,1.151549529,1.155637532,1.159740047,1.163857126,1.16798882,1.172135182,1.176296264,1.180472118
NS,1,0.941935484,0.913133641,0.973271889,0.963364055,0.964516129,0.966589862,0.968202765,0.964746544,0.960368664,0.957603687,0.961981567,0.963133641,0.965437788,0.965668203,0.965898618,0.965898618,0.966129032,0.966129032,0.966820276,0.967741935,0.968202765,0.968202765,0.968202765,0.96797235,0.967511521,0.967050691,0.965668203,0.9640553,0.962442396,0.960829493,0.960095261,0.959361591,0.95862848,0.957895931,0.95716394,0.95643251,0.955701638,0.954971325,0.954241569,0.953512372
NL,1,0.976705024,0.949200112,0.994667415,1.00477126,1.004209935,1.012910469,1.034521471,1.02020769,1.031995509,1.04518664,1.052764524,1.062307045,1.069042941,1.079988774,1.10693236,1.127982038,1.139208532,1.128824025,1.140611844,1.152680326,1.166152119,1.178220601,1.190569745,1.204883525,1.217513331,1.23154645,1.245018243,1.258770699,1.274768454,1.289924221,1.303002044,1.316212455,1.329556799,1.343036434,1.356652732,1.370407077,1.38430087,1.398335525,1.412512469,1.426833146
NFI,1,0.976705024,0.949200112,0.994667415,1.00477126,1.004209935,1.012910469,1.034521471,1.02020769,1.031995509,1.04518664,1.052764524,1.062307045,1.069042941,1.079988774,1.10693236,1.127982038,1.139208532,1.128824025,1.140611844,1.152680326,1.166152119,1.178220601,1.190569745,1.204883525,1.217513331,1.23154645,1.245018243,1.258770699,1.274768454,1.289924221,1.303002044,1.316212455,1.329556799,1.343036434,1.356652732,1.370407077,1.38430087,1.398335525,1.412512469,1.426833146
PEI,1,0.996070727,1.16502947,1.241650295,1.306483301,1.314341847,1.31827112,1.337917485,1.357563851,1.361493124,1.383104126,1.381139489,1.396856582,1.412573674,1.41453831,1.438113949,1.461689587,1.47151277,1.497053045,1.52259332,1.548133595,1.571709234,1.593320236,1.601178782,1.622789784,1.644400786,1.650294695,1.671905697,1.679764244,1.701375246,1.722986248,1.738892649,1.754945897,1.771147347,1.787498366,1.804000337,1.820654651,1.837462716,1.854425951,1.871545788,1.888823674
