r,season,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
p1,fall,6816.7656,6926.1584,7035.5512,7016.5747,6997.5982,7051.6953,7105.7924,7215.0652,7324.338000000001,7466.4511,7608.5642,7663.88375,7719.2033,7810.4410499999985,7901.6788,7978.23185,8054.7849,8137.3809999999985,8219.9771,8294.57575,8369.1744,8442.7025,8516.230599999999,8605.2267,8694.2228,8799.47035,8904.7179,9018.1255,9131.5331,9244.5659,9357.5987,9475.22055,9592.8424,9720.17695,9847.5115,9984.41945,10121.3274,10265.1866,10409.0458,10561.9942,10714.9426
p1,spri,7577.178000000001,7698.7684,7820.3588,7799.2759000000015,7778.193,7838.32085,7898.4487,8019.91775,8141.3868,8299.348,8457.3092,8518.80215,8580.2951,8681.7043,8783.1135,8868.21115,8953.3088,9045.11305,9136.9173,9219.838350000002,9302.7594,9384.48515,9466.2109,9565.13755,9664.0642,9781.05305,9898.0419,10024.10455,10150.1672,10275.81165,10401.4561,10532.1889,10662.9217,10804.46775,10946.0138,11098.19455,11250.3753,11410.2852,11570.1951,11740.1987,11910.2023
p1,summ,6195.38,6294.8023,6394.224600000001,6376.9787,6359.7328,6408.90125,6458.0697,6557.3822,6656.6947,6785.8514,6915.0081,6965.28835,7015.5686,7098.48845,7181.4083,7250.9825999999985,7320.5569,7395.6164,7470.6759,7538.4825999999985,7606.289299999998,7673.109699999999,7739.9301,7820.813749999998,7901.6974,7997.350899999998,8093.0044,8196.0818,8299.1592,8401.8883,8504.617400000001,8611.51575,8718.4141,8834.13985,8949.8656,9074.295999999998,9198.7264,9329.4764,9460.2264,9599.2196,9738.2128
p1,wint,8304.2908,8437.5522,8570.8136,8547.7024,8524.5912,8590.4934,8656.3956,8789.51745,8922.639299999999,9095.75985,9268.8804,9336.2791,9403.6778,9514.81535,9625.9529,9719.21425,9812.4756,9913.08955,10013.7035,10104.58015,10195.4568,10285.0294,10374.602,10483.01915,10591.4363,10719.6489,10847.8615,10986.02915,11124.1968,11261.88795,11399.5791,11542.867450000002,11686.1558,11841.2796,11996.4034,12163.18285,12329.9623,12505.214650000002,12680.466999999999,12866.7856,13053.1042
p10,fall,23614.2415,23736.8534,23859.4653,23845.3394,23831.2135,23799.8998,23768.5861,24036.9478,24305.3095,24711.1654,25117.0213,25290.01605,25463.0108,25485.17435,25507.3379,25522.2863,25537.2347,25659.23145,25781.2282,25889.53055,25997.8329,26125.07465,26252.3164,26418.48545,26584.6545,26810.07325,27035.492000000002,27304.9705,27574.449,27874.53875,28174.6285,28496.2823,28817.9361,29184.7596,29551.5831,29966.5253,30381.4675,30846.24315,31311.0188,31820.77915,32330.5395
p10,spri,19079.7335,19178.8041,19277.8747,19266.46005,19255.0454,19229.7515,19204.4576,19421.2947,19638.1318,19966.03645,20293.9411,20433.7232,20573.5053,20591.4195,20609.3337,20621.40955,20633.4854,20732.061800000003,20830.6382,20918.1407,21005.6432,21108.4541,21211.265,21345.52205,21479.7791,21661.91345,21844.0478,22061.78265,22279.5175,22521.975550000006,22764.4336,23024.32675,23284.2199,23580.5981,23876.9763,24212.24655,24547.5168,24923.050300000006,25298.5838,25710.43815,26122.2925
p10,summ,24592.2535,24719.93505,24847.6166,24832.9118,24818.207,24785.5962,24752.9854,25032.47915,25311.9729,25734.61345,26157.254,26337.4216,26517.5892,26540.66755,26563.7459,26579.31635,26594.8868,26721.95,26849.0132,26961.78795,27074.5627,27207.0838,27339.6049,27512.6463,27685.6877,27920.44895,28155.2102,28435.84395,28716.4777,29028.99655,29341.5154,29676.49605,30011.4767,30393.47995,30775.4832,31207.6269,31639.7706,32123.8146,32607.8586,33138.6995,33669.5404
p10,wint,17349.7706,17439.8619,17529.9532,17519.5717,17509.1902,17486.1823,17463.1744,17660.355949999994,17857.5375,18155.7122,18453.8869,18580.9953,18708.1037,18724.39575,18740.6878,18751.66875,18762.6497,18852.283000000003,18941.9163,19021.48395,19101.0516,19194.5377,19288.0238,19410.12115,19532.2185,19697.8244,19863.4303,20061.4265,20259.4227,20479.89265,20700.3626,20936.703,21173.0434,21442.5551,21712.0668,22016.93095,22321.7951,22663.2813,23004.7675,23379.26915,23753.7708
p100,fall,489.969727,476.759883,463.55003899999997,468.6666805,473.783322,474.2143015,474.64528099999995,474.68224349999997,474.719206,480.114881,485.51055599999995,488.6402755,491.769995,496.454296,501.13859699999995,505.154702,509.170807,514.0675610000002,518.964315,523.2262055000001,527.488096,531.4956434999999,535.503191,540.132983,544.762775,549.9672390000002,555.171703,560.8188845,566.4660660000001,571.640703,576.81534,582.1083590000002,587.401378,593.3028519999999,599.2043259999999,605.5908955,611.977465,618.643308,625.3091509999999,632.4250405,639.54093
p100,spri,461.53289800000005,449.08995250000004,436.647007,441.46667599999995,446.28634500000004,446.6924785,447.098612,447.13314699999995,447.167682,452.250364,457.333046,460.281221,463.229396,467.6416825,472.05396900000005,475.83697350000006,479.619978,484.2327555,488.845533,492.8600195,496.87450599999994,500.6492905,504.424075,508.784945,513.1458150000001,518.0489265,522.952038,528.271339,533.59064,538.4650295,543.339419,548.3252769999999,553.3111349999999,558.869584,564.428033,570.443943,576.4598530000002,582.7389755,589.018098,595.7208895,602.423681
p100,summ,530.9524150000001,516.6376245,502.322834,507.8674395000001,513.412045,513.8793185,514.346592,514.3862859999998,514.42598,520.273011,526.120042,529.511524,532.903006,537.9794505,543.055895,547.4077215,551.759548,557.0660124999998,562.372477,566.9905554999999,571.6086339999999,575.9516545,580.294675,585.311474,590.3282730000001,595.9684105,601.608548,607.727875,613.8472019999999,619.4546805,625.062159,630.7980275,636.533896,642.9287770000002,649.323658,656.244194,663.16473,670.3883014999999,677.6118730000001,685.322748,693.033623
p100,wint,503.285325,489.716842,476.14835899999997,481.40377350000006,486.659188,487.102018,487.54484800000006,487.5823685,487.61988899999994,493.1626155,498.705342,501.9202905,505.135239,509.94652699999995,514.757815,518.8832535,523.008692,528.0381505,533.067609,537.4456215,541.823634,545.939579,550.055524,554.8112474999999,559.566971,564.9138435,570.260716,576.0607689999998,581.860822,587.1763444999998,592.491867,597.9283734999998,603.36488,609.426692,615.488504,622.048662,628.60882,635.4558505,642.3028810000002,649.6122740000002,656.921667
p101,fall,26439.9012,25727.07765,25014.2541,25290.34745,25566.4408,25589.72215,25613.0035,25614.97725,25616.951,25908.1234,26199.2958,26368.18155,26537.0673,26789.83915,27042.611,27259.3332,27476.0554,27740.2957,28004.536,28234.5228,28464.5096,28680.7713,28897.033,29146.8564,29396.6798,29677.54355,29958.407300000006,30263.13275,30567.8582,30847.1038,31126.3494,31411.97035,31697.5913,32016.0213,32334.4513,32679.0706,33023.6899,33383.42805,33743.1662,34127.1377,34511.1092
p101,spri,25890.1518,25192.14995,24494.1481,24764.50645,25034.8648,25057.65145,25080.4381,25082.3825,25084.3269,25369.44,25654.5531,25819.93225,25985.3114,26232.82415,26480.3369,26692.55745,26904.778,27163.53505,27422.2921,27647.47645,27872.6608,28084.43335,28296.2059,28540.83035,28785.4548,29060.4667,29335.4786,29633.8842,29932.2898,30205.71765,30479.1455,30758.83795,31038.5304,31350.3391,31662.1478,31999.6071,32337.0664,32689.31815,33041.5699,33417.5742,33793.5785
p101,summ,27868.4416,27117.11035,26365.7791,26656.79475,26947.8104,26972.34435,26996.8783,26998.95845,27001.0386,27307.94565,27614.8527,27792.8699,27970.8871,28237.3092,28503.7313,28732.15755,28960.5838,29239.1119,29517.64,29760.04455,30002.4491,30230.3895,30458.3299,30721.6503,30984.9707,31281.0133,31577.0559,31898.2463,32219.4367,32513.7701,32808.1035,33109.15835,33410.2132,33745.852100000004,34081.491,34444.73275,34807.9745,35187.139299999995,35566.3041,35971.03915,36375.7742
p101,wint,27019.09884,26290.63576,25562.17268,25844.336915,26126.50115,26150.30064,26174.100130000006,26176.116125,26178.13212,26475.660405000002,26773.18869,26945.78153,27118.37437,27376.70382,27635.03327,27856.51512,28077.99697,28347.99131,28617.98565,28853.0015,29088.01735,29309.007439999998,29529.99753,29785.329075,30040.66062,30327.667680000002,30614.67474,30926.076030000004,31237.477319999998,31522.829685,31808.18205,32100.06715,32391.95225,32717.386345,33042.82044,33394.974725,33747.129010000004,34114.750075,34482.371139999996,34874.73842,35267.1057
p102,fall,14573.1994,14180.2966,13787.3938,13939.5809,14091.768,14104.5922,14117.4164,14118.5134,14119.6104,14280.0897,14440.569,14533.66045,14626.7519,14766.08305,14905.4142,15024.86545,15144.3167,15289.95885,15435.601,15562.3595,15689.118,15808.32115,15927.5243,16065.21295,16202.9016,16357.7117,16512.5218,16680.48435,16848.4469,17002.367,17156.2871,17313.7128,17471.1385,17646.65465,17822.1708,18012.11895,18202.0671,18400.3398,18598.6125,18810.26235,19021.9122
p102,spri,14320.341999999999,13934.27045,13548.1989,13697.7368,13847.2747,13859.88395,13872.4932,13873.5651,13874.636999999999,14032.3352,14190.0334,14281.5155,14372.9976,14509.903999999999,14646.8104,14764.18615,14881.5619,15024.6831,15167.8043,15292.3626,15416.9209,15534.045999999998,15651.1711,15786.48455,15921.798,16073.9213,16226.0446,16391.0893,16556.134000000002,16707.3768,16858.619599999998,17013.3113,17168.003,17340.4751,17512.9472,17699.603649999994,17886.2601,18081.10875,18275.9574,18483.923,18691.8886
