r,season,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
p1,fall,6822.7529,6932.2415999999985,7041.7303,7022.7369,7003.7435,7057.88615,7112.0288,7236.12895,7360.2291,7525.62425,7691.0194,7791.52605,7892.0327,8060.3305,8228.6283,8446.68165,8664.735,9009.4827,9354.2304,9734.1622,10114.094000000001,10551.904,10989.714,11492.1403,11994.5666,12530.768,13066.9694,13611.40565,14155.8419,14683.50255,15211.1632,15741.26885,16271.3745,16792.5451,17313.7157,17843.01605,18372.3164,18906.86425,19441.4121,19967.79895,20494.1858
p1,spri,7583.5145,7705.21645,7826.9184,7805.804899999999,7784.6914,7844.87685,7905.0623,8041.4632999999985,8177.8643,8353.4962,8529.1281,8615.461500000001,8701.7949,8840.21845,8978.642,9123.33985,9268.0377,9537.7099,9813.7357,10126.78065,10475.1495,10877.8305,11280.5115,11748.04135,12215.5712,12721.00485,13226.4385,13744.4016,14262.3647,14768.7092,15295.2496,15824.0042,16352.7588,16872.737950000002,17392.7171,17920.0639,18447.4107,18978.1892,19508.9677,20030.00425,20551.0408
p1,summ,6199.8986,6299.3908,6398.883000000001,6381.62715,6364.3713,6413.572899999999,6462.7745,6566.2665,6669.7585,6806.245349999998,6942.7322,7012.50695,7082.281700000001,7207.51045,7336.8421,7496.82855,7656.815,7915.644305,8199.90106,8510.66483,8821.4286,9181.5632,9541.6978,9955.4,10369.1022,10808.66845,11248.2347,11692.741000000002,12137.2473,12566.006399999998,12994.7655,13425.0896,13855.4137,14279.30255,14703.1914,15135.8573,15568.5232,16008.7581,16448.993000000002,16886.3215,17323.65
p1,wint,8316.7727,8450.2372,8583.7017,8560.54965,8537.3976,8603.403,8669.4084,8827.125,8984.8416,9190.01605,9395.1905,9514.11855,9633.0466,9825.916,10018.7854,10253.5989,10488.4124,10842.1647,11195.917,11587.22695,11978.5369,12431.98845,12885.44,13413.8805,13942.321000000002,14516.81105,15091.3011,15682.48655,16273.672,16851.8298,17429.9876,18011.33555,18592.6835,19167.9672,19743.2509,20324.4925,20905.7341,21484.51375,22063.2934,22627.20405,23191.1147
p10,fall,23602.8308,23725.3756,23847.9204,23833.8174,23819.7144,23788.415,23757.1156,24027.095200000003,24297.0748,24718.46175,25139.8487,25390.6877,25641.5267,25818.705,25995.8833,26317.90015,26639.917,27352.7919,28065.6668,28856.84595,29648.0251,30607.86515,31567.7052,32705.48865,33843.2721,35076.3632,36309.4543,37544.59255,38779.7308,40012.7094,41285.763999999996,42599.626,43913.488,45235.719000000005,46557.95,47931.797,49305.644,50738.615999999995,52171.587999999996,53625.9145,55080.240999999995
p10,spri,19080.7833,19179.8535,19278.9237,19267.5087,19256.0937,19230.790350000007,19205.487,19437.01605,19668.5451,20027.82125,20387.0974,20615.09235,20843.0873,21020.09115,21197.095,21510.6385,21824.182,22493.277,23162.372000000003,23899.122000000003,24635.872000000003,25550.15945,26478.193,27546.4171,28614.6412,29799.9041,30985.167,32189.38845,33393.6099,34582.36445,35771.119,36967.035,38162.951,39357.62450000001,40552.297999999995,41789.734,43027.17,44318.098,45609.026,46917.8605,48226.695
p10,summ,24589.6786,24717.34905,24845.0195,24830.3193,24815.6191,24783.0073,24750.3955,25031.605,25312.8145,25750.35935,26187.9042,26446.4484,26704.9926,26884.5273,27064.062,27390.441000000003,27716.82,28443.24,29169.66,29972.4065,30775.153,31748.1965,32721.24,33873.7005,35026.161,36268.219,37524.0049,38847.58265,40171.1604,41487.0267,42802.893,44131.112,45459.331,46796.5585,48133.78599999999,49525.5275,50917.269,52371.867999999995,53826.467,55306.6565,56786.846
p10,wint,17355.2982,17445.416250000002,17535.5343,17525.15745,17514.780600000002,17491.7628,17468.745,17681.6397,17894.5344,18223.6563,18552.7782,18763.80155,18974.8249,19141.1648,19307.5047,19601.9677,19896.4307,20522.2371,21148.0435,21837.94385,22590.5908,23496.54815,24402.5055,25439.5131,26476.5207,27588.9297,28703.5994,29850.6515,30997.7036,32132.2452,33266.7868,34411.0962,35557.5509,36702.45275,37847.3546,39028.7842,40210.21380000001,41433.0678,42655.9218,43884.7101,45113.4984
p100,fall,489.280658,476.08935049999997,462.898043,468.00726,473.116477,473.547412,473.978347,473.528638,473.078929,477.887829,482.696729,486.392954,490.089179,496.7663055,503.443432,511.97335549999997,520.503279,534.4265399999998,548.349801,563.217362,578.084923,595.2498029999998,612.414683,631.9126065,651.41053,671.79429,692.17805,712.81552,733.45299,753.1906849999999,772.9283800000002,793.0696600000001,813.21094,832.1186749999998,851.0264099999998,870.16224,889.2980699999999,908.8322699999999,928.36647,948.313545,968.2606199999999
p100,spri,461.057182,448.62705650000004,436.19693099999995,441.0115135,445.826096,446.23186749999996,446.637639,446.43064699999996,446.223655,451.06695999999994,455.91026500000004,459.304703,462.699141,468.41478550000005,474.13043,480.65172,487.17301,497.02092000000005,508.233013,523.0792955000001,537.925578,554.730781,571.535984,590.2664570000001,608.99693,628.2597900000002,647.52265,666.8069800000002,686.0913099999999,704.3815599999999,722.6718099999998,741.7954950000001,760.91918,779.8851199999998,798.85106,818.00104,837.15102,856.705765,876.2605100000002,896.19506,916.12961
p100,summ,530.388696,516.088986,501.789276,507.32809349999997,512.8669110000001,513.3338725,513.800834,513.3191019999998,512.83737,518.0457289999998,523.254088,527.1135145000002,530.972941,537.8787454999998,544.78455,553.3346750000002,561.8848,576.9509625,592.0475230000001,608.1909519999998,624.334381,643.0436905,661.753,683.0216849999999,704.29037,726.4987150000001,748.70706,771.16318,793.6193,815.07978,836.54026,858.3569150000002,880.1735699999999,900.42365,920.6737300000001,941.1977199999999,961.7217099999999,982.7167949999999,1003.7118800000001,1025.19881,1046.6857400000001
p100,wint,502.584375,489.03464349999996,475.484912,480.7332395,485.981567,486.423788,486.86600899999996,487.4115275,487.957046,494.44109050000003,500.92513499999995,505.5426875,510.16024000000004,517.2667245,524.860833,533.8750980000001,543.6444290000001,558.713717,573.783005,590.1434009999999,606.503797,625.0590559999999,643.614315,664.886485,686.1586550000002,708.7761915000002,731.393728,754.3209005,777.2480730000001,798.616037,819.9840009999999,840.8603320000001,861.7366630000001,882.2805265000001,902.82439,923.153203,943.482016,963.50186,983.5217039999999,1003.2618135,1023.001923
p101,fall,26380.3887,25669.16735,24957.946,25233.43255,25508.9191,25532.135,25555.3509,25520.2175,25485.0841,25721.41015,25957.7362,26112.77765,26267.8191,26557.906000000003,26859.4538,27221.4764,27583.499,28166.949,28750.398999999998,29364.6424,30028.0435,30856.24055,31684.4376,32642.8623,33601.287000000004,34602.506299999994,35603.7256,36609.2418,37614.758,38537.4213,39460.0846,40376.51795,41344.4379,42304.02125,43263.6046,44242.0008,45220.397,46225.5076,47230.6182,48264.77035,49298.9225
p101,spri,25828.8565,25132.50305,24436.1496,24705.8681,24975.5866,24998.32455,25021.0625,24995.38625,24969.71,25215.90525,25462.1005,25636.2667,25810.4329,26125.607750000006,26440.7826,26822.76445,27204.7463,27818.7662,28432.7861,29139.2464,29884.8894,30744.96785,31605.0463,32593.81035,33582.5744,34612.1765,35641.7786,36673.41535,37705.0521,38650.37685,39595.7016,40561.16595,41549.1795,42525.24015,43501.3008,44493.573,45485.8452,46503.7996,47521.754,48568.35215000001,49614.9503
p101,summ,27803.2584,27053.683750000004,26304.1091,26594.441700000007,26884.7743,26909.24825,26933.7222,26899.7026,26865.682999999997,27120.2773,27374.8716,27550.0025,27725.1334,28048.82915,28372.5249,28760.8961,29149.2673,29772.9483,30396.6293,31055.26465,31814.8526,32694.93185,33575.0111,34590.05895000001,35605.1068,36663.6311,37722.1554,38783.8132,39845.471,40859.2346,41902.6744,42927.11545,43951.5565,44965.90945,45980.2624,47013.2823,48046.3022,49107.2782,50168.2542,51259.9436,52351.633
p101,wint,27041.2782,26312.19734,25583.11648,25865.51539,26147.9143,26171.695245000006,26195.47619,26198.27329,26201.07039,26482.048915,26763.02744,26920.286005,27077.54457,27325.996155,27574.447739999996,27796.241225,28018.034710000004,28309.506275,28600.977839999996,28866.48816,29131.998480000002,29392.8986,29856.11936,30740.457335000003,31624.79531,32535.77577,33446.75623,34354.50688,35262.25753,36085.8985,36909.539469999996,37716.824660000006,38524.10985,39322.0066,40119.90335,40926.300685,41732.698019999996,42551.898925,43371.09983,44214.337105,45057.57438
p102,fall,14540.6437,14148.62895,13756.6142,13908.45375,14060.2933,14073.09955,14085.9058,14068.42195,14050.9381,14184.1181,14317.2981,14404.66195,14492.0258,14651.44495,14810.8641,14992.85505,15174.846000000001,15459.08095,15743.3159,16039.7893,16336.2627,16680.46575,17024.6688,17431.26135,17837.853900000002,18271.93765,18706.0214,19158.7274,19716.370769999998,20253.229885,20790.089,21317.741015,21845.393030000003,22367.22987,22889.06671,23419.448235,23949.82976,24493.27029,25036.71082,25594.572175,26152.433530000002
p102,spri,14285.0139,13899.8889,13514.7639,13663.9365,13813.1091,13825.68015,13838.2512,13821.58945,13804.9277,13936.8174,14068.7071,14156.9684,14245.2297,14406.1719,14567.1141,14753.99685,14940.8796,15246.5494,15573.7194,15918.48545,16263.2515,16662.5426,17061.8337,17526.882299999994,18039.8508,18584.58235,19129.3139,19675.6153,20221.9167,20722.67925,21223.4418,21715.3609,22207.28,22696.0604,23202.8159,23728.18415,24253.5524,24792.9411,25332.3298,25887.2347,26442.1396
p102,summ,15356.074,14942.06595,14528.0579,14688.4208,14848.7837,14862.29995,14875.8162,14855.6284,14835.4406,14973.41475,15111.3889,15201.85505,15292.3212,15459.81345,15627.3057,15820.19605,16013.0864,16316.5549,16620.023400000002,16936.71105,17261.5387,17675.256500000003,18111.6192,18659.17445,19206.7297,19777.73635,20348.743000000002,20921.44365,21494.1443,22018.8887,22543.6331,23059.16235,23574.6916,24087.44245,24600.1933,25151.5974,25704.283,26271.88185,26839.4807,27423.52435,28007.568
p102,wint,12870.25051,12523.27096,12176.29141,12310.6871,12445.08279,12456.411639999998,12467.74049,12469.05502,12470.36955,12604.08865,12737.80775,12812.677124999998,12887.5465,13005.791545,13124.03659,13229.58654,13335.13649,13473.880680000002,13612.62487,13738.988169999999,13926.13388,14370.52473,14840.16015,15373.841235,15907.522319999998,16459.534455,17011.54659,17562.09766,18112.64873,18617.672255,19122.69578,19618.32468,20113.95358,20602.159,21090.364419999998,21584.578275,22078.79213,22583.750884999998,23088.70964,23606.2774,24123.84516
