i,j,value
nr1new,2010,0.172
nr1new,2012,0.172
nr1new,2014,0.172
nr1new,2016,0.172
nr1new,2018,0.172
nr1new,2020,0.172
nr1new,2022,0.172
nr1new,2024,0.172
nr1new,2026,0.172
nr1new,2028,0.172
nr1new,2030,0.172
nr1new,2032,0.172
nr1new,2034,0.172
nr1new,2036,0.172
nr1new,2038,0.172
nr1new,2040,0.172
nr1new,2042,0.172
nr1new,2044,0.172
nr1new,2046,0.172
nr1new,2048,0.172
nr1new,2050,0.172
nr2new,2010,0.126
nr2new,2012,0.126
nr2new,2014,0.126
nr2new,2016,0.126
nr2new,2018,0.126
nr2new,2020,0.126
nr2new,2022,0.126
nr2new,2024,0.126
nr2new,2026,0.126
nr2new,2028,0.126
nr2new,2030,0.126
nr2new,2032,0.126
nr2new,2034,0.126
nr2new,2036,0.126
nr2new,2038,0.126
nr2new,2040,0.126
nr2new,2042,0.126
nr2new,2044,0.126
nr2new,2046,0.126
nr2new,2048,0.126
nr2new,2050,0.126
nr3new,2010,0.125
nr3new,2012,0.125
nr3new,2014,0.125
nr3new,2016,0.125
nr3new,2018,0.125
nr3new,2020,0.125
nr3new,2022,0.125
nr3new,2024,0.125
nr3new,2026,0.125
nr3new,2028,0.125
nr3new,2030,0.125
nr3new,2032,0.125
nr3new,2034,0.125
nr3new,2036,0.125
nr3new,2038,0.125
nr3new,2040,0.125
nr3new,2042,0.125
nr3new,2044,0.125
nr3new,2046,0.125
nr3new,2048,0.125
nr3new,2050,0.125
nr4new,2010,0.142
nr4new,2012,0.142
nr4new,2014,0.142
nr4new,2016,0.142
nr4new,2018,0.142
nr4new,2020,0.142
nr4new,2022,0.142
nr4new,2024,0.142
nr4new,2026,0.142
nr4new,2028,0.142
nr4new,2030,0.142
nr4new,2032,0.142
nr4new,2034,0.142
nr4new,2036,0.142
nr4new,2038,0.142
nr4new,2040,0.142
nr4new,2042,0.142
nr4new,2044,0.142
nr4new,2046,0.142
nr4new,2048,0.142
nr4new,2050,0.142
nr5new,2010,0.149
nr5new,2012,0.149
nr5new,2014,0.149
nr5new,2016,0.149
nr5new,2018,0.149
nr5new,2020,0.149
nr5new,2022,0.149
nr5new,2024,0.149
nr5new,2026,0.149
nr5new,2028,0.149
nr5new,2030,0.149
nr5new,2032,0.149
nr5new,2034,0.149
nr5new,2036,0.149
nr5new,2038,0.149
nr5new,2040,0.149
nr5new,2042,0.149
nr5new,2044,0.149
nr5new,2046,0.149
nr5new,2048,0.149
nr5new,2050,0.149
nr6new,2010,0.119
nr6new,2012,0.119
nr6new,2014,0.119
nr6new,2016,0.119
nr6new,2018,0.119
nr6new,2020,0.119
nr6new,2022,0.119
nr6new,2024,0.119
nr6new,2026,0.119
nr6new,2028,0.119
nr6new,2030,0.119
nr6new,2032,0.119
nr6new,2034,0.119
nr6new,2036,0.119
nr6new,2038,0.119
nr6new,2040,0.119
nr6new,2042,0.119
nr6new,2044,0.119
nr6new,2046,0.119
nr6new,2048,0.119
nr6new,2050,0.119
nr7new,2010,0.135
nr7new,2012,0.135
nr7new,2014,0.135
nr7new,2016,0.135
nr7new,2018,0.135
nr7new,2020,0.135
nr7new,2022,0.135
nr7new,2024,0.135
nr7new,2026,0.135
nr7new,2028,0.135
nr7new,2030,0.135
nr7new,2032,0.135
nr7new,2034,0.135
nr7new,2036,0.135
nr7new,2038,0.135
nr7new,2040,0.135
nr7new,2042,0.135
nr7new,2044,0.135
nr7new,2046,0.135
nr7new,2048,0.135
nr7new,2050,0.135
nr8new,2010,0.1375
nr8new,2012,0.1375
nr8new,2014,0.1375
nr8new,2016,0.1375
nr8new,2018,0.109
nr8new,2019,0.085
nr8new,2020,0.111
nr8new,2022,0.1375
nr8new,2024,0.1375
nr8new,2026,0.1375
nr8new,2028,0.1375
nr8new,2030,0.1375
nr8new,2032,0.1375
nr8new,2034,0.1375
nr8new,2036,0.1375
nr8new,2038,0.1375
nr8new,2040,0.1375
nr8new,2042,0.1375
nr8new,2044,0.1375
nr8new,2046,0.1375
nr8new,2048,0.1375
nr8new,2050,0.1375
nr9new,2010,0.15
nr9new,2012,0.15
nr9new,2014,0.15
nr9new,2016,0.15
nr9new,2018,0.15
nr9new,2020,0.15
nr9new,2022,0.15
nr9new,2024,0.15
nr9new,2026,0.15
nr9new,2028,0.15
nr9new,2030,0.15
nr9new,2032,0.15
nr9new,2034,0.15
nr9new,2036,0.15
nr9new,2038,0.15
nr9new,2040,0.15
nr9new,2042,0.15
nr9new,2044,0.15
nr9new,2046,0.15
nr9new,2048,0.15
nr9new,2050,0.15
nr10new,2010,0.136
nr10new,2012,0.136
nr10new,2014,0.136
nr10new,2016,0.136
nr10new,2018,0.136
nr10new,2020,0.136
nr10new,2022,0.136
nr10new,2024,0.136
nr10new,2026,0.136
nr10new,2028,0.136
nr10new,2030,0.136
nr10new,2032,0.136
nr10new,2034,0.136
nr10new,2036,0.136
nr10new,2038,0.136
nr10new,2040,0.136
nr10new,2042,0.136
nr10new,2044,0.136
nr10new,2046,0.136
nr10new,2048,0.136
nr10new,2050,0.136
nr11new,2010,0.15
nr11new,2012,0.15
nr11new,2014,0.15
nr11new,2016,0.15
nr11new,2018,0.15
nr11new,2020,0.15
nr11new,2022,0.15
nr11new,2024,0.15
nr11new,2026,0.15
nr11new,2028,0.15
nr11new,2030,0.15
nr11new,2032,0.15
nr11new,2034,0.15
nr11new,2036,0.15
nr11new,2038,0.15
nr11new,2040,0.15
nr11new,2042,0.15
nr11new,2044,0.15
nr11new,2046,0.15
nr11new,2048,0.15
nr11new,2050,0.15
nr12new,2010,0.15
nr12new,2012,0.15
nr12new,2014,0.15
nr12new,2016,0.15
nr12new,2018,0.15
nr12new,2020,0.15
nr12new,2022,0.15
nr12new,2024,0.15
nr12new,2026,0.15
nr12new,2028,0.15
nr12new,2030,0.15
nr12new,2032,0.15
nr12new,2034,0.15
nr12new,2036,0.15
nr12new,2038,0.15
nr12new,2040,0.15
nr12new,2042,0.15
nr12new,2044,0.15
nr12new,2046,0.15
nr12new,2048,0.15
nr12new,2050,0.15
nr13new,2010,0.15
nr13new,2012,0.15
nr13new,2014,0.15
nr13new,2016,0.15
nr13new,2018,0.15
nr13new,2020,0.15
nr13new,2022,0.15
nr13new,2024,0.15
nr13new,2026,0.15
nr13new,2028,0.15
nr13new,2030,0.15
nr13new,2032,0.15
nr13new,2034,0.15
nr13new,2036,0.15
nr13new,2038,0.15
nr13new,2040,0.15
nr13new,2042,0.15
nr13new,2044,0.15
nr13new,2046,0.15
nr13new,2048,0.15
nr13new,2050,0.15
nr14new,2010,0.15
nr14new,2012,0.15
nr14new,2014,0.15
nr14new,2016,0.15
nr14new,2018,0.15
nr14new,2020,0.15
nr14new,2022,0.15
nr14new,2024,0.15
nr14new,2026,0.15
nr14new,2028,0.15
nr14new,2030,0.15
nr14new,2032,0.15
nr14new,2034,0.15
nr14new,2036,0.15
nr14new,2038,0.15
nr14new,2040,0.15
nr14new,2042,0.15
nr14new,2044,0.15
nr14new,2046,0.15
nr14new,2048,0.15
nr14new,2050,0.15
nr15new,2010,0.15
nr15new,2012,0.15
nr15new,2014,0.15
nr15new,2016,0.15
nr15new,2018,0.15
nr15new,2020,0.15
nr15new,2022,0.15
nr15new,2024,0.15
nr15new,2026,0.15
nr15new,2028,0.15
nr15new,2030,0.15
nr15new,2032,0.15
nr15new,2034,0.15
nr15new,2036,0.15
nr15new,2038,0.15
nr15new,2040,0.15
nr15new,2042,0.15
