year,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134
2022,0.0352566,0.0352566,0.0352566,0.0352566,0.0352566,0.0352566,0.0352566,0.0352566,0.0352566,0.0352566,0.0352566,0.035332704,0.035332704,0.035332704,0.035332704,0.035332704,0.035332704,0.035332704,0.035332704,0.035332704,0.035332704,0.035332704,0.035332704,0.035332704,0.035332704,0.035332704,0.035332704,0.035332704,0.035332704,0.035332704,0.035332704,0.035332704,0.035332704,0.035332704,0.035058946,0.035058946,0.035058946,0.035058946,0.035058946,0.035058946,0.035058946,0.035058946,0.035058946,0.035058946,0.035058946,0.034875533,0.035313795,0.035313795,0.035313795,0.035313795,0.035313795,0.035058946,0.035058946,0.035058946,0.035058946,0.035313795,0.035313795,0.035313795,0.035332704,0.035313795,0.035313795,0.035313795,0.035313795,0.035313795,0.035313795,0.035313795,0.035313795,0.035058946,0.035058946,0.035058946,0.035058946,0.035058946,0.035058946,0.034875533,0.034875533,0.034875533,0.034875533,0.034875533,0.034875533,0.034875533,0.034875533,0.034875533,0.034875533,0.035058946,0.035313795,0.035313795,0.03510332,0.03510332,0.03510332,0.03510332,0.035271257,0.03510332,0.03510332,0.035271257,0.035271257,0.035271257,0.035271257,0.035271257,0.035271257,0.035271257,0.035271257,0.035271257,0.034875533,0.034875533,0.034875533,0.034875533,0.034875533,0.03510332,0.03510332,0.03510332,0.034875533,0.034875533,0.034875533,0.034875533,0.034840907,0.035271257,0.035271257,0.035271257,0.034840907,0.034840907,0.035271257,0.034840907,0.035271257,0.035271257,0.035271257,0.034840907,0.034840907,0.034840907,0.03490121,0.03490121,0.03490121,0.03490121,0.03490121,0.03490121
2023,0.071291525,0.071291525,0.071291525,0.071291525,0.071291525,0.071291525,0.071291525,0.071291525,0.071291525,0.071291525,0.071291525,0.071545032,0.071545032,0.071545032,0.071545032,0.071545032,0.071545032,0.071545032,0.071545032,0.071545032,0.071545032,0.071545032,0.071545032,0.071545032,0.071545032,0.071545032,0.071545032,0.071545032,0.071545032,0.071545032,0.071545032,0.071545032,0.071545032,0.071545032,0.070683668,0.070683668,0.070683668,0.070683668,0.070683668,0.070683668,0.070683668,0.070683668,0.070683668,0.070683668,0.070683668,0.070280842,0.071485462,0.071485462,0.071485462,0.071485462,0.071485462,0.070683668,0.070683668,0.070683668,0.070683668,0.071485462,0.071485462,0.071485462,0.071545032,0.071485462,0.071485462,0.071485462,0.071485462,0.071485462,0.071485462,0.071485462,0.071485462,0.070683668,0.070683668,0.070683668,0.070683668,0.070683668,0.070683668,0.070280842,0.070280842,0.070280842,0.070280842,0.070280842,0.070280842,0.070280842,0.070280842,0.070280842,0.070280842,0.070683668,0.071485462,0.071485462,0.070969813,0.070969813,0.070969813,0.070969813,0.071326761,0.070969813,0.070969813,0.071326761,0.071326761,0.071326761,0.071326761,0.071326761,0.071326761,0.071326761,0.071326761,0.071326761,0.070280842,0.070280842,0.070280842,0.070280842,0.070280842,0.070969813,0.070969813,0.070969813,0.070280842,0.070280842,0.070280842,0.070280842,0.070095758,0.071326761,0.071326761,0.071326761,0.070095758,0.070095758,0.071326761,0.070095758,0.071326761,0.071326761,0.071326761,0.070095758,0.070095758,0.070095758,0.070253963,0.070253963,0.070253963,0.070253963,0.070253963,0.070253963
2024,0.108119354,0.108119354,0.108119354,0.108119354,0.108119354,0.108119354,0.108119354,0.108119354,0.108119354,0.108119354,0.108119354,0.108693207,0.108693207,0.108693207,0.108693207,0.108693207,0.108693207,0.108693207,0.108693207,0.108693207,0.108693207,0.108693207,0.108693207,0.108693207,0.108693207,0.108693207,0.108693207,0.108693207,0.108693207,0.108693207,0.108693207,0.108693207,0.108693207,0.108693207,0.106888082,0.106888082,0.106888082,0.106888082,0.106888082,0.106888082,0.106888082,0.106888082,0.106888082,0.106888082,0.106888082,0.1062948,0.108587604,0.108587604,0.108587604,0.108587604,0.108587604,0.106888082,0.106888082,0.106888082,0.106888082,0.108587604,0.108587604,0.108587604,0.108693207,0.108587604,0.108587604,0.108587604,0.108587604,0.108587604,0.108587604,0.108587604,0.108587604,0.106888082,0.106888082,0.106888082,0.106888082,0.106888082,0.106888082,0.1062948,0.1062948,0.1062948,0.1062948,0.1062948,0.1062948,0.1062948,0.1062948,0.1062948,0.1062948,0.106888082,0.108587604,0.108587604,0.107625144,0.107625144,0.107625144,0.107625144,0.108266182,0.107625144,0.107625144,0.108266182,0.108266182,0.108266182,0.108266182,0.108266182,0.108266182,0.108266182,0.108266182,0.108266182,0.1062948,0.1062948,0.1062948,0.1062948,0.1062948,0.107625144,0.107625144,0.107625144,0.1062948,0.1062948,0.1062948,0.1062948,0.105774482,0.108266182,0.108266182,0.108266182,0.105774482,0.105774482,0.108266182,0.105774482,0.108266182,0.108266182,0.108266182,0.105774482,0.105774482,0.105774482,0.106119905,0.106119905,0.106119905,0.106119905,0.106119905,0.106119905
2025,0.145742785,0.145742785,0.145742785,0.145742785,0.145742785,0.145742785,0.145742785,0.145742785,0.145742785,0.145742785,0.145742785,0.146788128,0.146788128,0.146788128,0.146788128,0.146788128,0.146788128,0.146788128,0.146788128,0.146788128,0.146788128,0.146788128,0.146788128,0.146788128,0.146788128,0.146788128,0.146788128,0.146788128,0.146788128,0.146788128,0.146788128,0.146788128,0.146788128,0.146788128,0.14367094,0.14367094,0.14367094,0.14367094,0.14367094,0.14367094,0.14367094,0.14367094,0.14367094,0.14367094,0.14367094,0.142961645,0.146601879,0.146601879,0.146601879,0.146601879,0.146601879,0.14367094,0.14367094,0.14367094,0.14367094,0.146601879,0.146601879,0.146601879,0.146788128,0.146601879,0.146601879,0.146601879,0.146601879,0.146601879,0.146601879,0.146601879,0.146601879,0.14367094,0.14367094,0.14367094,0.14367094,0.14367094,0.14367094,0.142961645,0.142961645,0.142961645,0.142961645,0.142961645,0.142961645,0.142961645,0.142961645,0.142961645,0.142961645,0.14367094,0.146601879,0.146601879,0.145040288,0.145040288,0.145040288,0.145040288,0.146058528,0.145040288,0.145040288,0.146058528,0.146058528,0.146058528,0.146058528,0.146058528,0.146058528,0.146058528,0.146058528,0.146058528,0.142961645,0.142961645,0.142961645,0.142961645,0.142961645,0.145040288,0.145040288,0.145040288,0.142961645,0.142961645,0.142961645,0.142961645,0.141884485,0.146058528,0.146058528,0.146058528,0.141884485,0.141884485,0.146058528,0.141884485,0.146058528,0.146058528,0.146058528,0.141884485,0.141884485,0.141884485,0.142497243,0.142497243,0.142497243,0.142497243,0.142497243,0.142497243
2026,0.184161478,0.184161478,0.184161478,0.184161478,0.184161478,0.184161478,0.184161478,0.184161478,0.184161478,0.184161478,0.184161478,0.185857391,0.185857391,0.185857391,0.185857391,0.185857391,0.185857391,0.185857391,0.185857391,0.185857391,0.185857391,0.185857391,0.185857391,0.185857391,0.185857391,0.185857391,0.185857391,0.185857391,0.185857391,0.185857391,0.185857391,0.185857391,0.185857391,0.185857391,0.181040647,0.181040647,0.181040647,0.181040647,0.181040647,0.181040647,0.181040647,0.181040647,0.181040647,0.181040647,0.181040647,0.180304805,0.185491646,0.185491646,0.185491646,0.185491646,0.185491646,0.181040647,0.181040647,0.181040647,0.181040647,0.185491646,0.185491646,0.185491646,0.185857391,0.185491646,0.185491646,0.185491646,0.185491646,0.185491646,0.185491646,0.185491646,0.185491646,0.181040647,0.181040647,0.181040647,0.181040647,0.181040647,0.181040647,0.180304805,0.180304805,0.180304805,0.180304805,0.180304805,0.180304805,0.180304805,0.180304805,0.180304805,0.180304805,0.181040647,0.185491646,0.185491646,0.183187531,0.183187531,0.183187531,0.183187531,0.184642335,0.183187531,0.183187531,0.184642335,0.184642335,0.184642335,0.184642335,0.184642335,0.184642335,0.184642335,0.184642335,0.184642335,0.180304805,0.180304805,0.180304805,0.180304805,0.180304805,0.183187531,0.183187531,0.183187531,0.180304805,0.180304805,0.180304805,0.180304805,0.178433675,0.184642335,0.184642335,0.184642335,0.178433675,0.178433675,0.184642335,0.178433675,0.184642335,0.184642335,0.184642335,0.178433675,0.178433675,0.178433675,0.179386507,0.179386507,0.179386507,0.179386507,0.179386507,0.179386507
2027,0.223380654,0.223380654,0.223380654,0.223380654,0.223380654,0.223380654,0.223380654,0.223380654,0.223380654,0.223380654,0.223380654,0.225907219,0.225907219,0.225907219,0.225907219,0.225907219,0.225907219,0.225907219,0.225907219,0.225907219,0.225907219,0.225907219,0.225907219,0.225907219,0.225907219,0.225907219,0.225907219,0.225907219,0.225907219,0.225907219,0.225907219,0.225907219,0.225907219,0.225907219,0.219003072,0.219003072,0.219003072,0.219003072,0.219003072,0.219003072,0.219003072,0.219003072,0.219003072,0.219003072,0.219003072,0.218328126,0.225262024,0.225262024,0.225262024,0.225262024,0.225262024,0.219003072,0.219003072,0.219003072,0.219003072,0.225262024,0.225262024,0.225262024,0.225907219,0.225262024,0.225262024,0.225262024,0.225262024,0.225262024,0.225262024,0.225262024,0.225262024,0.219003072,0.219003072,0.219003072,0.219003072,0.219003072,0.219003072,0.218328126,0.218328126,0.218328126,0.218328126,0.218328126,0.218328126,0.218328126,0.218328126,0.218328126,0.218328126,0.219003072,0.225262024,0.225262024,0.222070198,0.222070198,0.222070198,0.222070198,0.223993616,0.222070198,0.222070198,0.223993616,0.223993616,0.223993616,0.223993616,0.223993616,0.223993616,0.223993616,0.223993616,0.223993616,0.218328126,0.218328126,0.218328126,0.218328126,0.218328126,0.222070198,0.222070198,0.222070198,0.218328126,0.218328126,0.218328126,0.218328126,0.215429832,0.223993616,0.223993616,0.223993616,0.215429832,0.215429832,0.223993616,0.215429832,0.223993616,0.223993616,0.223993616,0.215429832,0.215429832,0.215429832,0.216793779,0.216793779,0.216793779,0.216793779,0.216793779,0.216793779
2028,0.263397895,0.263397895,0.263397895,0.263397895,0.263397895,0.263397895,0.263397895,0.263397895,0.263397895,0.263397895,0.263397895,0.266937093,0.266937093,0.266937093,0.266937093,0.266937093,0.266937093,0.266937093,0.266937093,0.266937093,0.266937093,0.266937093,0.266937093,0.266937093,0.266937093,0.266937093,0.266937093,0.266937093,0.266937093,0.266937093,0.266937093,0.266937093,0.266937093,0.266937093,0.25755977,0.25755977,0.25755977,0.25755977,0.25755977,0.25755977,0.25755977,0.25755977,0.25755977,0.25755977,0.25755977,0.257000986,0.265918789,0.265918789,0.265918789,0.265918789,0.265918789,0.25755977,0.25755977,0.25755977,0.25755977,0.265918789,0.265918789,0.265918789,0.266937093,0.265918789,0.265918789,0.265918789,0.265918789,0.265918789,0.265918789,0.265918789,0.265918789,0.25755977,0.25755977,0.25755977,0.25755977,0.25755977,0.25755977,0.257000986,0.257000986,0.257000986,0.257000986,0.257000986,0.257000986,0.257000986,0.257000986,0.257000986,0.257000986,0.25755977,0.265918789,0.265918789,0.261694776,0.261694776,0.261694776,0.261694776,0.264104417,0.261694776,0.261694776,0.264104417,0.264104417,0.264104417,0.264104417,0.264104417,0.264104417,0.264104417,0.264104417,0.264104417,0.257000986,0.257000986,0.257000986,0.257000986,0.257000986,0.261694776,0.261694776,0.261694776,0.257000986,0.257000986,0.257000986,0.257000986,0.252863578,0.264104417,0.264104417,0.264104417,0.252863578,0.252863578,0.264104417,0.252863578,0.264104417,0.264104417,0.264104417,0.252863578,0.252863578,0.252863578,0.254721213,0.254721213,0.254721213,0.254721213,0.254721213,0.254721213
2029,0.304205076,0.304205076,0.304205076,0.304205076,0.304205076,0.304205076,0.304205076,0.304205076,0.304205076,0.304205076,0.304205076,0.308940472,0.308940472,0.308940472,0.308940472,0.308940472,0.308940472,0.308940472,0.308940472,0.308940472,0.308940472,0.308940472,0.308940472,0.308940472,0.308940472,0.308940472,0.308940472,0.308940472,0.308940472,0.308940472,0.308940472,0.308940472,0.308940472,0.308940472,0.296710781,0.296710781,0.296710781,0.296710781,0.296710781,0.296710781,0.296710781,0.296710781,0.296710781,0.296710781,0.296710781,0.29630007,0.307450481,0.307450481,0.307450481,0.307450481,0.307450481,0.296710781,0.296710781,0.296710781,0.296710781,0.307450481,0.307450481,0.307450481,0.308940472,0.307450481,0.307450481,0.307450481,0.307450481,0.307450481,0.307450481,0.307450481,0.307450481,0.296710781,0.296710781,0.296710781,0.296710781,0.296710781,0.296710781,0.29630007,0.29630007,0.29630007,0.29630007,0.29630007,0.29630007,0.29630007,0.29630007,0.29630007,0.29630007,0.296710781,0.307450481,0.307450481,0.302075023,0.302075023,0.302075023,0.302075023,0.304961896,0.302075023,0.302075023,0.304961896,0.304961896,0.304961896,0.304961896,0.304961896,0.304961896,0.304961896,0.304961896,0.304961896,0.29630007,0.29630007,0.29630007,0.29630007,0.29630007,0.302075023,0.302075023,0.302075023,0.29630007,0.29630007,0.29630007,0.29630007,0.290735536,0.304961896,0.304961896,0.304961896,0.290735536,0.290735536,0.304961896,0.290735536,0.304961896,0.304961896,0.304961896,0.290735536,0.290735536,0.290735536,0.293156894,0.293156894,0.293156894,0.293156894,0.293156894,0.293156894
2030,0.345828578,0.345828578,0.345828578,0.345828578,0.345828578,0.345828578,0.345828578,0.345828578,0.345828578,0.345828578,0.345828578,0.351948224,0.351948224,0.351948224,0.351948224,0.351948224,0.351948224,0.351948224,0.351948224,0.351948224,0.351948224,0.351948224,0.351948224,0.351948224,0.351948224,0.351948224,0.351948224,0.351948224,0.351948224,0.351948224,0.351948224,0.351948224,0.351948224,0.351948224,0.33649094,0.33649094,0.33649094,0.33649094,0.33649094,0.33649094,0.33649094,0.33649094,0.33649094,0.33649094,0.33649094,0.336245597,0.349921712,0.349921712,0.349921712,0.349921712,0.349921712,0.33649094,0.33649094,0.33649094,0.33649094,0.349921712,0.349921712,0.349921712,0.351948224,0.349921712,0.349921712,0.349921712,0.349921712,0.349921712,0.349921712,0.349921712,0.349921712,0.33649094,0.33649094,0.33649094,0.33649094,0.33649094,0.33649094,0.336245597,0.336245597,0.336245597,0.336245597,0.336245597,0.336245597,0.336245597,0.336245597,0.336245597,0.336245597,0.33649094,0.349921712,0.349921712,0.343255102,0.343255102,0.343255102,0.343255102,0.346654167,0.343255102,0.343255102,0.346654167,0.346654167,0.346654167,0.346654167,0.346654167,0.346654167,0.346654167,0.346654167,0.346654167,0.336245597,0.336245597,0.336245597,0.336245597,0.336245597,0.343255102,0.343255102,0.343255102,0.336245597,0.336245597,0.336245597,0.336245597,0.32906187,0.346654167,0.346654167,0.346654167,0.32906187,0.32906187,0.346654167,0.32906187,0.346654167,0.346654167,0.346654167,0.32906187,0.32906187,0.32906187,0.332135981,0.332135981,0.332135981,0.332135981,0.332135981,0.332135981
2031,0.38831517,0.38831517,0.38831517,0.38831517,0.38831517,0.38831517,0.38831517,0.38831517,0.38831517,0.38831517,0.38831517,0.396038996,0.396038996,0.396038996,0.396038996,0.396038996,0.396038996,0.396038996,0.396038996,0.396038996,0.396038996,0.396038996,0.396038996,0.396038996,0.396038996,0.396038996,0.396038996,0.396038996,0.396038996,0.396038996,0.396038996,0.396038996,0.396038996,0.396038996,0.376957236,0.376957236,0.376957236,0.376957236,0.376957236,0.376957236,0.376957236,0.376957236,0.376957236,0.376957236,0.376957236,0.376884806,0.393402998,0.393402998,0.393402998,0.393402998,0.393402998,0.376957236,0.376957236,0.376957236,0.376957236,0.393402998,0.393402998,0.393402998,0.396038996,0.393402998,0.393402998,0.393402998,0.393402998,0.393402998,0.393402998,0.393402998,0.393402998,0.376957236,0.376957236,0.376957236,0.376957236,0.376957236,0.376957236,0.376884806,0.376884806,0.376884806,0.376884806,0.376884806,0.376884806,0.376884806,0.376884806,0.376884806,0.376884806,0.376957236,0.393402998,0.393402998,0.385280946,0.385280946,0.385280946,0.385280946,0.389320034,0.385280946,0.385280946,0.389320034,0.389320034,0.389320034,0.389320034,0.389320034,0.389320034,0.389320034,0.389320034,0.389320034,0.376884806,0.376884806,0.376884806,0.376884806,0.376884806,0.385280946,0.385280946,0.385280946,0.376884806,0.376884806,0.376884806,0.376884806,0.367859429,0.389320034,0.389320034,0.389320034,0.367859429,0.367859429,0.389320034,0.367859429,0.389320034,0.389320034,0.389320034,0.367859429,0.367859429,0.367859429,0.371703987,0.371703987,0.371703987,0.371703987,0.371703987,0.371703987
