*r,szn,t,MWh
p1,summ,2012,2.148417625
p1,summ,2014,8.637106754
p1,summ,2016,21.79134174
p1,summ,2018,44.96966577
p1,summ,2020,82.69305979
p1,summ,2022,138.4506097
p1,summ,2024,222.1190665
p1,summ,2026,337.6417326
p1,summ,2028,493.4150672
p1,summ,2030,704.3759128
p1,summ,2032,1072.129013
p1,summ,2034,1562.602163
p1,summ,2036,2196.42423
p1,summ,2038,2988.36948
p1,summ,2040,3945.389022
p1,summ,2042,4697.147031
p1,summ,2044,5494.160697
p1,summ,2046,6318.556812
p1,summ,2048,7150.063104
p1,summ,2050,7966.650515
p1,fall,2012,2.148417625
p1,fall,2014,8.637106754
p1,fall,2016,21.79134174
p1,fall,2018,44.96966577
p1,fall,2020,82.69305979
p1,fall,2022,138.4506097
p1,fall,2024,222.1190665
p1,fall,2026,337.6417326
p1,fall,2028,493.4150672
p1,fall,2030,704.3759128
p1,fall,2032,1072.129013
p1,fall,2034,1562.602163
p1,fall,2036,2196.42423
p1,fall,2038,2988.36948
p1,fall,2040,3945.389022
p1,fall,2042,4697.147031
p1,fall,2044,5494.160697
p1,fall,2046,6318.556812
p1,fall,2048,7150.063104
p1,fall,2050,7966.650515
p1,wint,2012,2.148417625
p1,wint,2014,8.637106754
p1,wint,2016,21.79134174
p1,wint,2018,44.96966577
p1,wint,2020,82.69305979
p1,wint,2022,138.4506097
p1,wint,2024,222.1190665
p1,wint,2026,337.6417326
p1,wint,2028,493.4150672
p1,wint,2030,704.3759128
p1,wint,2032,1072.129013
p1,wint,2034,1562.602163
p1,wint,2036,2196.42423
p1,wint,2038,2988.36948
p1,wint,2040,3945.389022
p1,wint,2042,4697.147031
p1,wint,2044,5494.160697
p1,wint,2046,6318.556812
p1,wint,2048,7150.063104
p1,wint,2050,7966.650515
p1,spri,2012,2.148417625
p1,spri,2014,8.637106754
p1,spri,2016,21.79134174
p1,spri,2018,44.96966577
p1,spri,2020,82.69305979
p1,spri,2022,138.4506097
p1,spri,2024,222.1190665
p1,spri,2026,337.6417326
p1,spri,2028,493.4150672
p1,spri,2030,704.3759128
p1,spri,2032,1072.129013
p1,spri,2034,1562.602163
p1,spri,2036,2196.42423
p1,spri,2038,2988.36948
p1,spri,2040,3945.389022
p1,spri,2042,4697.147031
p1,spri,2044,5494.160697
p1,spri,2046,6318.556812
p1,spri,2048,7150.063104
p1,spri,2050,7966.650515
p2,summ,2012,0.667282805
p2,summ,2014,2.682622202
p2,summ,2016,6.768231403
p2,summ,2018,13.96724936
p2,summ,2020,25.6838597
p2,summ,2022,43.00174701
p2,summ,2024,68.98855788
p2,summ,2026,104.8690532
p2,summ,2028,153.2511119
p2,summ,2030,218.774008
p2,summ,2032,332.9954319
p2,summ,2034,485.3328059
p2,summ,2036,682.1933052
p2,summ,2038,928.165709
p2,summ,2040,1225.408981
p2,summ,2042,1458.899521
p2,summ,2044,1706.446138
p2,summ,2046,1962.497543
p2,summ,2048,2220.757318
p2,summ,2050,2474.383397
p2,fall,2012,0.667282805
p2,fall,2014,2.682622202
p2,fall,2016,6.768231403
p2,fall,2018,13.96724936
p2,fall,2020,25.6838597
p2,fall,2022,43.00174701
p2,fall,2024,68.98855788
p2,fall,2026,104.8690532
p2,fall,2028,153.2511119
p2,fall,2030,218.774008
p2,fall,2032,332.9954319
p2,fall,2034,485.3328059
p2,fall,2036,682.1933052
p2,fall,2038,928.165709
p2,fall,2040,1225.408981
p2,fall,2042,1458.899521
p2,fall,2044,1706.446138
p2,fall,2046,1962.497543
p2,fall,2048,2220.757318
p2,fall,2050,2474.383397
p2,wint,2012,0.667282805
p2,wint,2014,2.682622202
p2,wint,2016,6.768231403
p2,wint,2018,13.96724936
p2,wint,2020,25.6838597
p2,wint,2022,43.00174701
p2,wint,2024,68.98855788
p2,wint,2026,104.8690532
p2,wint,2028,153.2511119
p2,wint,2030,218.774008
p2,wint,2032,332.9954319
p2,wint,2034,485.3328059
p2,wint,2036,682.1933052
p2,wint,2038,928.165709
p2,wint,2040,1225.408981
p2,wint,2042,1458.899521
p2,wint,2044,1706.446138
p2,wint,2046,1962.497543
p2,wint,2048,2220.757318
p2,wint,2050,2474.383397
p2,spri,2012,0.667282805
p2,spri,2014,2.682622202
p2,spri,2016,6.768231403
p2,spri,2018,13.96724936
p2,spri,2020,25.6838597
p2,spri,2022,43.00174701
p2,spri,2024,68.98855788
p2,spri,2026,104.8690532
p2,spri,2028,153.2511119
p2,spri,2030,218.774008
p2,spri,2032,332.9954319
p2,spri,2034,485.3328059
p2,spri,2036,682.1933052
p2,spri,2038,928.165709
p2,spri,2040,1225.408981
p2,spri,2042,1458.899521
p2,spri,2044,1706.446138
p2,spri,2046,1962.497543
p2,spri,2048,2220.757318
p2,spri,2050,2474.383397
p3,summ,2012,0.344488955
p3,summ,2014,1.384920624
p3,summ,2016,3.494142131
p3,summ,2018,7.210680538
p3,summ,2020,13.25945449
p3,summ,2022,22.19992299
p3,summ,2024,35.61577793
p3,summ,2026,54.13930987
p3,summ,2028,79.11685268
p3,summ,2030,112.9434608
p3,summ,2032,171.910991
p3,summ,2034,250.5561207
p3,summ,2036,352.1865946
p3,summ,2038,479.1713988
p3,summ,2040,632.6251118
p3,summ,2042,753.1660753
p3,summ,2044,880.9635769
p3,summ,2046,1013.151729
p3,summ,2048,1146.479966
p3,summ,2050,1277.416028
p3,fall,2012,0.344488955
p3,fall,2014,1.384920624
p3,fall,2016,3.494142131
p3,fall,2018,7.210680538
p3,fall,2020,13.25945449
p3,fall,2022,22.19992299
p3,fall,2024,35.61577793
p3,fall,2026,54.13930987
p3,fall,2028,79.11685268
p3,fall,2030,112.9434608
p3,fall,2032,171.910991
p3,fall,2034,250.5561207
p3,fall,2036,352.1865946
p3,fall,2038,479.1713988
p3,fall,2040,632.6251118
p3,fall,2042,753.1660753
p3,fall,2044,880.9635769
p3,fall,2046,1013.151729
p3,fall,2048,1146.479966
p3,fall,2050,1277.416028
p3,wint,2012,0.344488955
p3,wint,2014,1.384920624
p3,wint,2016,3.494142131
p3,wint,2018,7.210680538
p3,wint,2020,13.25945449
p3,wint,2022,22.19992299
p3,wint,2024,35.61577793
p3,wint,2026,54.13930987
p3,wint,2028,79.11685268
p3,wint,2030,112.9434608
p3,wint,2032,171.910991
p3,wint,2034,250.5561207
p3,wint,2036,352.1865946
p3,wint,2038,479.1713988
p3,wint,2040,632.6251118
p3,wint,2042,753.1660753
p3,wint,2044,880.9635769
p3,wint,2046,1013.151729
p3,wint,2048,1146.479966
p3,wint,2050,1277.416028
p3,spri,2012,0.344488955
p3,spri,2014,1.384920624
p3,spri,2016,3.494142131
p3,spri,2018,7.210680538
p3,spri,2020,13.25945449
p3,spri,2022,22.19992299
p3,spri,2024,35.61577793
p3,spri,2026,54.13930987
p3,spri,2028,79.11685268
p3,spri,2030,112.9434608
p3,spri,2032,171.910991
p3,spri,2034,250.5561207
p3,spri,2036,352.1865946
p3,spri,2038,479.1713988
p3,spri,2040,632.6251118
p3,spri,2042,753.1660753
p3,spri,2044,880.9635769
p3,spri,2046,1013.151729
p3,spri,2048,1146.479966
p3,spri,2050,1277.416028
p4,summ,2012,0.059634915
p4,summ,2014,0.239745347
p4,summ,2016,0.604875329
p4,summ,2018,1.248249955
p4,summ,2020,2.295360804
p4,summ,2022,3.843056524
p4,summ,2024,6.165492007
p4,summ,2026,9.372123862
p4,summ,2028,13.69601764
p4,summ,2030,19.55178422
p4,summ,2032,29.75972736
p4,summ,2034,43.37408444
p4,summ,2036,60.96746329
p4,summ,2038,82.94996208
p4,summ,2040,109.5145269
p4,summ,2042,130.3815243
p4,summ,2044,152.5047102
p4,summ,2046,175.387967
p4,summ,2048,198.4685854
p4,summ,2050,221.1350914
p4,fall,2012,0.059634915
p4,fall,2014,0.239745347
p4,fall,2016,0.604875329
p4,fall,2018,1.248249955
p4,fall,2020,2.295360804
p4,fall,2022,3.843056524
p4,fall,2024,6.165492007
p4,fall,2026,9.372123862
p4,fall,2028,13.69601764
p4,fall,2030,19.55178422
p4,fall,2032,29.75972736
p4,fall,2034,43.37408444
p4,fall,2036,60.96746329
p4,fall,2038,82.94996208
p4,fall,2040,109.5145269
p4,fall,2042,130.3815243
p4,fall,2044,152.5047102
p4,fall,2046,175.387967
p4,fall,2048,198.4685854
p4,fall,2050,221.1350914
p4,wint,2012,0.059634915
p4,wint,2014,0.239745347
p4,wint,2016,0.604875329
p4,wint,2018,1.248249955
p4,wint,2020,2.295360804
p4,wint,2022,3.843056524
p4,wint,2024,6.165492007
p4,wint,2026,9.372123862
p4,wint,2028,13.69601764
p4,wint,2030,19.55178422
p4,wint,2032,29.75972736
p4,wint,2034,43.37408444
p4,wint,2036,60.96746329
p4,wint,2038,82.94996208
p4,wint,2040,109.5145269
p4,wint,2042,130.3815243
p4,wint,2044,152.5047102
p4,wint,2046,175.387967
p4,wint,2048,198.4685854
p4,wint,2050,221.1350914
p4,spri,2012,0.059634915
p4,spri,2014,0.239745347
p4,spri,2016,0.604875329
p4,spri,2018,1.248249955
p4,spri,2020,2.295360804
p4,spri,2022,3.843056524
p4,spri,2024,6.165492007
p4,spri,2026,9.372123862
p4,spri,2028,13.69601764
p4,spri,2030,19.55178422
p4,spri,2032,29.75972736
p4,spri,2034,43.37408444
p4,spri,2036,60.96746329
p4,spri,2038,82.94996208
p4,spri,2040,109.5145269
p4,spri,2042,130.3815243
p4,spri,2044,152.5047102
p4,spri,2046,175.387967
p4,spri,2048,198.4685854
p4,spri,2050,221.1350914
p5,summ,2012,1.548003
p5,summ,2014,6.208043494
p5,summ,2016,15.62620011
p5,summ,2018,32.17516658
p5,summ,2020,59.03979296
p5,summ,2022,98.64787169
p5,summ,2024,157.9549039
p5,summ,2026,239.6597008
p5,summ,2028,349.6033873
p5,summ,2030,498.2241955
p5,summ,2032,757.1000524
p5,summ,2034,1101.715779
p5,summ,2036,1546.243207
p5,summ,2038,2100.690722
p5,summ,2040,2769.533307
p5,summ,2042,3292.781594
p5,summ,2044,3846.470503
p5,summ,2046,4418.063276
p5,summ,2048,4993.385281
p5,summ,2050,5557.133033
p5,fall,2012,1.548003
p5,fall,2014,6.208043494
p5,fall,2016,15.62620011
p5,fall,2018,32.17516658
p5,fall,2020,59.03979296
p5,fall,2022,98.64787169
p5,fall,2024,157.9549039
p5,fall,2026,239.6597008
p5,fall,2028,349.6033873
p5,fall,2030,498.2241955
p5,fall,2032,757.1000524
p5,fall,2034,1101.715779
p5,fall,2036,1546.243207
p5,fall,2038,2100.690722
p5,fall,2040,2769.533307
p5,fall,2042,3292.781594
p5,fall,2044,3846.470503
p5,fall,2046,4418.063276
p5,fall,2048,4993.385281
p5,fall,2050,5557.133033
p5,wint,2012,1.548003
p5,wint,2014,6.208043494
p5,wint,2016,15.62620011
p5,wint,2018,32.17516658
p5,wint,2020,59.03979296
p5,wint,2022,98.64787169
p5,wint,2024,157.9549039
p5,wint,2026,239.6597008
p5,wint,2028,349.6033873
p5,wint,2030,498.2241955
p5,wint,2032,757.1000524
p5,wint,2034,1101.715779
p5,wint,2036,1546.243207
p5,wint,2038,2100.690722
p5,wint,2040,2769.533307
p5,wint,2042,3292.781594
p5,wint,2044,3846.470503
p5,wint,2046,4418.063276
p5,wint,2048,4993.385281
p5,wint,2050,5557.133033
