r,H1,H10,H11,H12,H13,H14,H15,H16,H17,H2,H3,H4,H5,H6,H7,H8,H9
p1,4061.34232,6526.46168,6346.11599,6706.99064,4634.26096,5822.68011,5495.24688,5651.3849,5884.15331,5105.42735,5263.15625,5193.34594,4095.45483,5226.39603,5234.34849,5293.54947,5188.75259
p10,13811.79573,13566.87759,13919.86962,15059.11782,11940.21912,13878.30329,14738.72335,14983.26936,23387.07915,15846.41519,18585.7772,18446.78093,12972.92162,15190.0395,17956.55154,17588.93057,11519.05434
p100,292.1552,376.19867,357.35751,389.05507,272.88257,321.9615,329.90176,336.17677,504.8963,344.66879,406.45942,404.47713,263.78595,313.38807,332.711,337.25106,328.9277
p101,13849.1559,14725.69576,14890.12055,15266.47392,11405.94666,16024.30603,19607.93762,17610.70362,27045.27084,19655.93247,23455.38279,20665.24347,12650.03137,17738.79636,21570.57639,18886.56168,11310.69911
p102,7971.39014,8278.22722,8796.1282,8698.80618,6506.98765,9588.91989,10917.19253,9554.94509,14948.21704,11687.23794,12924.7045,11256.96901,7423.23774,10786.83337,12114.80654,10423.49002,6040.42656
p103,10083.21298,10546.58924,10601.47043,11262.72071,8437.29569,10313.39249,10452.29985,10322.07218,18349.00032,12487.80494,13783.51729,13485.98598,8598.20327,10605.63712,10938.50615,10831.01332,8967.92162
p104,975.73004,1114.02743,1075.40321,1147.48998,860.85861,1018.69266,1043.7699,1039.15463,1638.29199,1151.7067,1320.73502,1298.62271,852.56268,1014.23392,1061.60335,1056.87576,972.86655
p105,6728.52278,7587.65694,7265.05928,7681.28984,6086.94394,6950.79146,7162.90387,7127.07196,10553.78392,7739.99396,8855.47245,8677.28381,5928.64763,6817.01357,7099.53684,7065.74822,6835.68996
p106,1834.61688,1955.20007,1898.47928,1986.04049,1648.98843,1858.4654,1913.28668,1894.69532,2852.62744,2122.19784,2371.34026,2310.75424,1607.19804,1831.76062,1883.88749,1868.7748,1787.6112
p107,2892.95523,3098.72795,3004.58096,3145.9622,2599.9534,2936.8697,3024.32363,2994.24353,4506.62676,3351.79433,3752.54887,3653.78206,2534.87714,2894.2675,2980.05209,2954.79782,2828.3563
p108,1089.65836,1207.56325,1172.74466,1205.86785,971.95999,1160.65412,1184.0317,1124.95169,1834.43965,1421.09395,1529.42674,1382.13434,962.65203,1152.03787,1178.93888,1108.82763,1093.74656
p109,6084.50432,7515.07155,6943.48238,7581.42499,5341.72822,6521.57727,6817.88311,6690.00355,11294.16745,7958.13326,9249.36755,8577.07553,5298.17968,6482.84252,6859.44493,6651.75172,6705.32944
