*r,h,MW
p157,H1,911.7
p157,H2,757.07
p157,H3,847.994
p157,H4,913.116
p157,H5,821.866
p157,H6,674.415
p157,H7,774.106
p157,H8,822.998
p157,H9,452.402
p157,H10,440.195
p157,H11,502.645
p157,H12,513.938
p157,H13,581.997
p157,H14,511.871
p157,H15,597.74
p157,H16,615.958
p157,H17,1010.258
p158,H1,116.568
p158,H2,96.798
p158,H3,108.423
p158,H4,116.75
p158,H5,105.082
p158,H6,86.23
p158,H7,98.976
p158,H8,105.227
p158,H9,57.843
p158,H10,56.283
p158,H11,64.267
p158,H12,65.711
p158,H13,74.413
p158,H14,65.447
p158,H15,76.426
p158,H16,78.755
p158,H17,129.17
p159,H1,720.306
p159,H2,598.137
p159,H3,669.974
p159,H4,721.425
p159,H5,649.331
p159,H6,532.835
p159,H7,611.597
p159,H8,650.225
p159,H9,357.429
p159,H10,347.785
p159,H11,397.125
p159,H12,406.047
p159,H13,459.818
p159,H14,404.413
p159,H15,472.256
p159,H16,486.65
p159,H17,798.174
p160,H1,756.047
p160,H2,627.817
p160,H3,703.218
p160,H4,757.221
p160,H5,681.55
p160,H6,559.274
p160,H7,641.944
p160,H8,682.489
p160,H9,375.165
p160,H10,365.042
p160,H11,416.83
p160,H12,426.195
p160,H13,482.634
p160,H14,424.48
p160,H15,495.689
p160,H16,510.797
p160,H17,837.779
p161,H1,747.408
p161,H2,620.643
p161,H3,695.182
p161,H4,748.569
p161,H5,673.763
p161,H6,552.883
p161,H7,634.609
p161,H8,674.691
p161,H9,370.878
p161,H10,360.87
p161,H11,412.067
p161,H12,421.325
p161,H13,477.119
p161,H14,419.63
p161,H15,490.025
p161,H16,504.96
p161,H17,828.206
p162,H1,396.331
p162,H2,329.111
p162,H3,368.637
p162,H4,396.946
p162,H5,357.279
p162,H6,293.179
p162,H7,336.517
p162,H8,357.771
p162,H9,196.667
p162,H10,191.36
p162,H11,218.508
p162,H12,223.417
p162,H13,253.004
p162,H14,222.519
p162,H15,259.847
p162,H16,267.767
p162,H17,439.176
p163,H1,732.955
p163,H2,720.246
p163,H3,791.617
p163,H4,787.863
p163,H5,584.079
p163,H6,586.077
p163,H7,651.702
p163,H8,647.916
p163,H9,495.477
p163,H10,511.847
p163,H11,546.21
p163,H12,556.228
p163,H13,610.947
p163,H14,615.205
p163,H15,673.31
p163,H16,664.855
p163,H17,904.234
p164,H1,103.522
p164,H2,101.727
p164,H3,111.808
p164,H4,111.278
p164,H5,82.495
p164,H6,82.777
p164,H7,92.046
p164,H8,91.512
p164,H9,69.981
p164,H10,72.293
p164,H11,77.147
p164,H12,78.562
p164,H13,86.29
p164,H14,86.892
p164,H15,95.098
p164,H16,93.904
p164,H17,127.714
p165,H1,1022.096
p165,H2,1004.374
p165,H3,1103.899
p165,H4,1098.665
p165,H5,814.491
p165,H6,817.277
p165,H7,908.79
p165,H8,903.511
p165,H9,690.936
p165,H10,713.764
p165,H11,761.683
p165,H12,775.653
p165,H13,851.957
p165,H14,857.896
p165,H15,938.923
p165,H16,927.131
p165,H17,1260.942
p166,H1,554.012
p166,H2,544.406
p166,H3,598.352
p166,H4,595.515
p166,H5,441.483
p166,H6,442.993
