biomass,COGENERATION-BAGASSE
whr,WHR
hydro_ror,HYDRO-ROR
hydro_storage,HYDRO-STORAGE
hydro_pumped,HYDRO-PUMPED
hydro_pondage,HYDRO-PONDAGE
