,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p1,0.016797146,10.33332393,21.021,49.775,75.677,87.583,93.749,99.676,116.648,145.388,192.367,239.722,264.563,294.621,325.555,355.513,362.512,413.517,484.252,488.286,490.008
p10,534.6252872,865.8653054,1726.545,3294.634,4880.901,5710.877,5789.207,5862.656,5962.936,6117.256,6280.816,6422.076,6529.061,6632.416,6733.558,6820.602,6907.804,6963.435,7015.062,7054.818,7105.066
p100,0,0,0.566,1.581,3.735,6.093,8.987,12.976,18.842,27,36.98,46.074,53.328,59.677,64.647,69.377,72.446,75.938,78.807,82.214,86.388
p101,8.377123095,26.91038637,60.285,107.789,225.81,485.699,881,1441.216,2226.298,3254.797,4519.924,5880.856,6183.965,6481.671,6770.038,7085.282,7281.164,7576.402,7804.989,8054.538,8371.75
p102,5.087078563,14.23755315,26.534,43.485,97.401,226.324,400.901,641.396,997.866,1488.296,2089.709,2723.392,2865.146,3000.806,3133.879,3279.664,3383.861,3515.678,3630.78,3752.275,3910.442
p103,0,0,13.129,26.069,46.069,60.665,80.886,117.261,190.18,317.552,511.688,753.824,1009.976,1256.085,1454.899,1628.018,1744.084,1839.252,1913.332,1983.728,2084.015
p104,0,0,1.227,2.617,4.479,5.295,6.655,9.064,13.569,21.521,34.81,51.501,69.563,87.218,102.165,114.478,122.758,129.485,133.977,137.799,143.923
p105,0,0,3.536,9.891,44.74,80.24,133.967,153.195,184.267,231.907,299.231,379.984,464.852,558.378,643.854,726.54,783.7,831.346,871.508,916.741,988.933
p106,0,0,1.243,3.127,14.509,26.459,41.371,44.088,49.07,57.064,69.908,87.609,108.763,139.155,165.156,193.684,216.084,234.095,251.384,271.497,299.797
p107,0,0,1.479,4.112,18.589,38.574,68.525,78.6,94.853,120.111,156.953,202.004,252.686,314.734,373.676,430.878,474.172,508.869,534.77,563.277,609.442
p108,0,0,0.131,0.606,5.201,6.421,7.922,9.944,12.875,17.198,23.418,31.635,41.88,54.44,68.929,85.327,101.937,118.626,134.119,149.12,164.858
p109,0,0,0.116,0.369,4.823,6.103,7.056,8.436,10.866,14.999,21.69,31.458,45.219,64.597,91.121,126.449,169.65,221.539,280.464,345.541,421.186
p11,107.3777754,132.949176,215.03,439.097,684.195,835.799,844.731,851.833,864.199,882.132,897.892,911.708,922.384,932.237,941.647,949.789,955.155,959.219,963.79,970.323,977.218
p110,0,0,0.114,0.448,2.897,3.751,4.779,6.153,8.212,11.311,15.887,22.122,30.171,40.305,52.422,66.106,80.206,94.392,107.806,120.739,133.234
p111,0.030012846,18.41141759,24.436,30.666,43.973,53.722,70.1,97.214,141.376,211.946,320.993,476.156,680.376,935.503,1225.561,1535.157,1578.707,1618.139,1649.124,1674.302,1700.323
p112,0,15.96889695,36.318,44.098,60.751,67.58,77.745,93.552,118.632,157.81,217.383,300.532,408.091,540.553,689.187,849.56,878.542,906.109,931.744,955.882,986.354
p113,0.00074308,3.858751976,6.465,8.053,11.836,14.831,19.877,28.431,42.817,66.317,103.323,156.884,227.339,312.511,404.592,499.899,509.221,517.12,523.518,528.054,533.758
p114,0,5.660933492,10.829,13.16,18.669,22.222,28.273,38.535,55.716,83.744,128.377,193.632,281.15,390.13,514.618,647.92,670.465,689.885,704.788,716.932,730.935
p115,0.438228156,35.5977707,68.011,91.997,124.617,175.488,236.992,313.021,413.935,546.597,709.147,868.257,1012.472,1161.472,1170.763,1180.129,1186.368,1193.323,1198.929,1205.757,1214.243
