r,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p53007,0.09275,0.1855,0.371,0.887,1.416,2.058,3.365,3.43824367,3.565185933,3.655939004,3.708175082,3.726356821,3.365,3.365,3.365,3.365,3.365,3.365,3.365,3.365,3.365
p53029,0.112,0.224,0.448,1.134,1.855,2.708,4.454,4.555034259,4.760291351,4.981420604,5.364456552,6.598918364,7.329,7.732,8.123,8.452,8.749,9.044,9.406,9.807,10.158
p53033,2.59325,5.1865,10.373,25.569,42.081,61.676,100.468,103.5243419,110.8269567,127.0311145,148.076853,188.7219779,211.39,217.006,221.979,227.074,233.08,239.252,245.469,252.87,260.528
p53035,0.29675,0.5935,1.187,2.844,4.564,6.631,10.817,11.05244629,11.48487831,11.90108643,12.34001324,14.23213607,15.288,15.937,16.512,17.046,17.654,18.317,18.866,19.472,20.181
p53037,0.0605,0.121,0.242,0.611,1.007,1.48,2.441,2.512523383,2.646607566,2.790030122,3.132939601,4.128338255,4.895,5.243,5.552,5.84,6.113,6.356,6.628,6.797,7.22
p53053,0.93325,1.8665,3.733,8.839,14.114,20.494,33.352,34.10451626,35.45055611,36.67998713,38.75125609,45.99088414,49.984,51.265,52.511,53.922,55.773,58.145,60.619,63.604,66.638
p53055,0.0345,0.069,0.138,0.348,0.568,0.83,1.364,1.401863392,1.474810942,1.559070571,1.658485438,1.96782647,2.15,2.288,2.374,2.431,2.507,2.608,2.682,2.784,2.871
p53057,0.13975,0.2795,0.559,1.379,2.24,3.257,5.321,5.436818594,5.656620415,5.898393121,6.147966948,7.488150022,8.403,9.018,9.442,9.859,10.262,10.729,11.117,11.477,12.048
p53061,0.85125,1.7025,3.405,8.349,13.605,19.935,32.695,33.56298011,36.0735366,40.56190988,47.23873439,62.62162017,77.343,80.08,82.225,83.956,85.808,87.537,89.705,92.044,95.011
p53067,0.32225,0.6445,1.289,3.102,4.992,7.257,11.825,12.08238674,12.57297518,13.10162509,13.66459763,17.36161136,19.76,20.657,21.576,22.276,23.066,23.859,24.615,25.604,26.821
p53073,0.24975,0.4995,0.999,2.451,3.97,5.784,9.468,9.677148825,10.08635069,10.49846615,10.98126737,12.42820285,13.013,13.57,14.007,14.432,14.888,15.23,15.698,16.165,16.813
p53003,0.03525,0.0705,0.141,0.361,0.58,0.86,1.394,1.44682111,1.548975285,1.780708478,2.402324421,3.493805578,4.116,4.213,4.303,4.431,4.509,4.574,4.682,4.787,4.93
p53005,0.2,0.4,0.8,1.969,3.208,4.682,7.659,7.836947681,8.218468732,9.125180295,10.19114507,12.35511532,14.081,14.752,15.261,15.708,16.205,16.618,17.181,17.619,18.248
p53009,0.09075,0.1815,0.363,0.879,1.411,2.055,3.369,3.452548398,3.591673199,3.705916179,3.791925841,3.933438166,3.702,3.762,3.816,3.863,3.909,3.985,4.138,4.35,4.616
p53011,0.4845,0.969,1.938,4.673,7.511,10.907,17.788,18.17620108,18.86634945,19.53672962,20.95091372,23.57405171,24.855,25.884,26.718,27.545,28.503,29.494,30.507,31.583,32.635
p53013,0.00575,0.0115,0.023,0.056,0.09,0.132,0.215,0.220701525,0.229909464,0.239021272,0.258966165,0.295672295,0.308,0.318,0.326,0.333,0.342,0.348,0.355,0.365,0.38
p53015,0.12425,0.2485,0.497,1.169,1.864,2.712,4.418,4.526424802,4.70731682,4.872774571,5.072430877,5.330960397,5.273,5.408,5.578,5.796,6.049,6.316,6.59,6.921,7.217
p53023,0.003,0.006,0.012,0.03,0.048,0.07,0.115,0.117503127,0.121841421,0.124942938,0.130034074,0.135101198,0.141,0.146,0.152,0.159,0.166,0.173,0.182,0.192,0.202
p53027,0.10225,0.2045,0.409,1.007,1.629,2.367,3.875,3.959344494,4.108704621,4.263270327,4.455320016,4.825991984,5.11,5.408,5.691,5.964,6.196,6.433,6.657,6.817,7.152
p53031,0.04675,0.0935,0.187,0.475,0.776,1.13,1.855,1.895376525,1.974890514,2.064274623,2.146664208,2.549204577,2.836,3.033,3.207,3.335,3.453,3.544,3.674,3.827,3.993
p53039,0.027,0.054,0.108,0.272,0.449,0.661,1.091,1.118834121,1.178153568,1.243997076,1.397315306,1.789537184,2.05,2.181,2.301,2.379,2.45,2.579,2.705,2.822,2.971
p53041,0.095,0.19,0.38,0.9,1.434,2.082,3.398,3.471961958,3.600149124,3.747201671,3.867962715,4.503742404,4.752,4.753,4.763,4.78,4.807,4.849,4.901,4.964,5.032
p53045,0.0895,0.179,0.358,0.871,1.4,2.039,3.343,3.416786577,3.545055611,3.637469178,3.733520706,3.860350632,3.604,3.655,3.7,3.744,3.794,3.852,3.992,4.154,4.39
p53049,0.0395,0.079,0.158,0.382,0.611,0.889,1.457,1.48871353,1.544737323,1.587318539,1.617712042,1.674368949,1.569,1.586,1.603,1.624,1.645,1.666,1.693,1.734,1.799
p53059,0.01475,0.0295,0.059,0.141,0.228,0.333,0.542,0.555840879,0.579541369,0.598639641,0.618212844,0.691009407,0.706,0.725,0.739,0.751,0.775,0.807,0.838,0.876,0.928
p53069,0.00525,0.0105,0.021,0.05,0.08,0.117,0.192,0.196179134,0.203422199,0.209686843,0.218192769,0.230336469,0.222,0.226,0.23,0.234,0.243,0.255,0.268,0.279,0.291
p53071,0.07,0.14,0.28,0.704,1.185,1.801,3.06,3.39941655,4.105526149,5.138957351,6.462032297,7.980937179,8.52,8.827,9.133,9.34,9.774,10.25,10.654,11.185,11.618
p53077,0.26775,0.5355,1.071,2.616,4.328,6.485,10.837,11.60317834,13.28813134,15.69826528,18.68633725,23.41569539,25.753,26.667,27.446,28.437,29.485,30.191,31.052,32.378,33.469
p53001,0.02025,0.0405,0.081,0.214,0.352,0.531,0.871,0.918567923,1.065847563,1.316789917,1.710278671,2.305579465,2.651,2.699,2.817,2.93,3.039,3.12,3.225,3.311,3.395
p53019,0.0125,0.025,0.05,0.125,0.204,0.298,0.484,0.501687264,0.540340216,0.585602117,0.66780211,0.910272008,1.117,1.18,1.229,1.264,1.307,1.346,1.389,1.448,1.501
p53021,0.0845,0.169,0.338,0.958,1.484,2.137,3.369,3.444374268,3.577899821,3.727645385,3.883390487,4.316594023,4.452,4.691,4.881,5.062,5.221,5.398,5.543,5.731,5.98
p53043,0.01525,0.0305,0.061,0.151,0.245,0.357,0.585,0.598755064,0.624039975,0.655135578,0.689841783,0.790674226,0.851,0.89,0.928,0.962,0.985,1.02,1.051,1.086,1.118
p53047,0.05625,0.1125,0.225,0.545,0.873,1.269,2.079,2.124252181,2.202680997,2.265269784,2.369264911,2.515982971,2.713,2.858,2.983,3.128,3.262,3.376,3.543,3.675,3.901
p53051,0.02075,0.0415,0.083,0.197,0.315,0.458,0.749,0.765302974,0.793558474,0.813758786,0.825385776,0.829432766,0.755,0.755,0.757,0.76,0.765,0.773,0.78,0.789,0.8
p53063,0.68375,1.3675,2.735,6.653,11.116,16.466,26.634,27.65001841,30.57795876,36.09547148,45.25185782,58.04368284,64.651,65.815,67.232,68.639,69.952,71.441,73.328,75.919,79.446
p53065,0.063,0.126,0.252,0.666,1.11,1.66,2.744,2.879337492,3.106426495,3.704829718,4.63604534,6.000929454,6.517,6.669,6.774,6.954,7.068,7.292,7.552,7.919,8.261
p53075,0.05625,0.1125,0.225,0.584,0.99,1.461,2.386,2.485957459,2.673094832,3.050780601,3.63875011,4.448373061,4.711,4.794,4.835,4.922,5.061,5.187,5.399,5.497,5.678
p53017,0.04225,0.0845,0.169,0.409,0.656,0.953,1.561,1.594977227,1.653864856,1.700310413,1.755460001,1.829403111,1.766,1.805,1.844,1.88,1.923,1.957,2.034,2.103,2.149
p53025,0.093,0.186,0.372,0.889,1.42,2.063,3.372,3.445396034,3.572602367,3.886268593,4.359447436,4.922334642,5.024,5.051,5.09,5.139,5.194,5.246,5.298,5.338,5.393
p41003,0.25375,0.5075,1.015,1.682,2.544,3.621,6.749,7.001142831,8.294752056,12.77351408,19.91835501,29.75880738,28.617,28.971,29.421,29.66,30.229,30.587,31.118,31.727,32.561
p41005,1.05325,2.1065,4.213,6.69,9.845,13.671,26.083,26.9950662,33.81046463,53.49947947,86.61150928,127.9131501,120.198,121.188,122.094,122.979,123.983,125.153,126.4,127.759,129.201
p41007,0.146,0.292,0.584,0.952,1.411,1.963,3.72,3.848993731,4.101288186,4.915146524,7.287418073,12.02732881,12.061,12.396,12.605,12.83,13.036,13.196,13.513,13.892,14.256
p41009,0.12525,0.2505,0.501,0.797,1.181,1.636,3.143,3.244108069,3.626636389,6.139587313,9.321679945,13.44146184,13.078,13.163,13.299,13.425,13.606,13.948,14.248,14.59,14.943
p41013,0.08225,0.1645,0.329,0.709,1.407,1.924,3.878,4.011454576,4.564285587,5.20197205,5.980465429,8.367415197,8.014,8.07,8.138,8.223,8.374,8.493,8.629,8.891,9.088
p41017,0.71475,1.4295,2.859,6.124,9.776,14.181,26.203,27.50492759,32.11422015,41.56145339,55.71960079,80.02974178,80.068,81.082,81.864,82.552,83.21,84.613,86.948,89.786,93.556
p41021,0.00625,0.0125,0.025,0.039,0.059,0.081,0.155,0.159395546,0.166340027,0.173833652,0.272189969,0.456243391,0.444,0.454,0.463,0.468,0.475,0.484,0.493,0.497,0.506
p41023,0.025,0.05,0.1,0.158,0.232,0.316,0.603,0.616125092,0.642051315,0.666000181,0.690943767,1.137286317,1.127,1.17,1.194,1.222,1.254,1.294,1.314,1.339,1.361
p41027,0.05275,0.1055,0.211,0.341,0.494,0.673,1.273,1.300708527,1.350850539,1.389582759,1.487677967,1.555878554,1.534,1.559,1.583,1.61,1.637,1.674,1.717,1.762,1.863
p41031,0.07,0.14,0.28,0.556,0.863,1.244,2.427,2.761834365,3.547174593,5.158513637,7.367862881,10.32195302,10.077,10.198,10.275,10.343,10.441,10.564,10.741,10.962,11.231
p41039,1.233,2.466,4.932,8.025,11.508,15.984,28.777,29.89075195,34.96954737,48.815749,70.84542877,100.7622388,99.924,100.844,101.853,102.991,104.176,105.693,108.006,110.683,114.978
p41041,0.17525,0.3505,0.701,1.121,1.652,2.282,4.414,4.733843365,6.283838862,8.748178561,11.62923377,16.01170677,16.625,17.003,17.396,17.816,18.354,19.105,19.809,20.579,21.307
p41043,0.383,0.766,1.532,2.437,3.581,5.028,9.47,9.833479072,11.25284986,16.21324747,25.49769838,38.293438,36.413,36.908,37.509,37.792,38.179,38.562,39.105,39.444,40.103
p41047,0.96475,1.9295,3.859,6.036,8.67,12.059,22.249,23.04696113,28.88595224,43.86800866,66.56422218,94.92963213,88.92,89.407,90.017,90.554,91.418,92.339,93.618,94.688,96.318
p41049,0.025,0.05,0.1,0.166,0.248,0.34,0.653,0.667213408,0.699263809,0.742052404,0.916850421,1.927960542,2.018,2.085,2.146,2.204,2.267,2.331,2.392,2.473,2.557
p41051,2.69425,5.3885,10.777,16.745,23.9,33.174,60.526,62.37168153,70.982693,101.0169084,157.4999154,229.2235454,215.735,217.508,219.439,221.287,223.151,225.936,228.435,230.195,233.665
p41053,0.18,0.36,0.72,1.192,1.797,2.509,4.848,5.034242663,7.395244521,12.85282568,19.67371463,29.36789982,28.25,28.417,28.697,28.94,29.257,29.688,30.242,30.872,31.478
p41055,0.0055,0.011,0.022,0.037,0.056,0.079,0.154,0.164504378,0.238385389,0.380261115,0.577439448,0.822788445,0.787,0.791,0.802,0.811,0.824,0.837,0.851,0.867,0.886
p41057,0.16775,0.3355,0.671,1.889,3.097,4.576,7.21,7.581506101,8.14748286,8.6786451,9.14646454,10.03513982,9.474,9.602,9.712,9.817,9.912,10.025,10.172,10.336,10.496
p41059,0.19225,0.3845,0.769,1.532,2.458,3.56,7.191,8.615533618,11.00281008,15.17241848,20.62913448,31.88609756,31.57,31.694,32.02,32.293,32.865,33.369,34.063,34.949,35.954
p41061,0.0685,0.137,0.274,0.433,0.635,0.866,1.642,1.677740299,1.74498105,1.810042906,1.874474239,4.354245177,4.377,4.535,4.638,4.765,4.892,5.01,5.16,5.265,5.415
p41063,0.03225,0.0645,0.129,0.263,0.514,0.763,1.615,1.753351007,2.198443035,2.979074219,3.994690838,5.367504164,5.054,5.068,5.094,5.124,5.18,5.241,5.305,5.343,5.371
p41065,0.06625,0.1325,0.265,0.411,0.596,0.812,1.532,1.565346004,1.6263181,1.672062445,1.701462801,1.738597387,1.607,1.624,1.639,1.655,1.674,1.711,1.754,1.796,1.855
p41067,1.47025,2.9405,5.881,9.348,13.814,19.22,36.802,38.1200579,45.70324683,71.54232614,112.1025958,162.3861034,152.635,153.587,154.624,156.251,157.81,159.15,160.801,162.374,164.629
