47      0.125
18338 2      0.625       0.097 Solve Fini transmission (44977)
18338 8      0.860       0.097 GAMS Fini   
18028 1      0.203       0.033 Assignment net_load_day (297840)
18048 5      0.125       0.039 Assignment cap_max_model (75920)
18079 10      0.594       0.097 Assignment net_load_day (297840)
18338 7      0.250       0.097 Other      
18052 9      0.547       0.039 Assignment avail_day (75861)
18055 6      0.687       0.053 Assignment gen_low (381768)
18204 3      0.406       0.099 Equation   eq_mingen (0)
18061 4      0.563       0.097 Assignment hydro_gen_day (8760)
