r,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p53007,0.09275,0.1855,0.371,0.887,1.416,2.058,3.365,3.438230991,3.565043627,3.655170662,3.706058034,3.72196482,3.365,3.365,3.365,3.365,3.365,3.365,3.365,3.365,3.365
p53029,0.112,0.224,0.448,1.134,1.855,2.708,4.454,4.555017461,4.760101342,4.980373695,5.362495266,6.592246755,7.337,7.741,8.133,8.5,8.792,9.085,9.439,9.841,10.158
p53033,2.59325,5.1865,10.373,25.569,42.081,61.676,100.468,103.5249819,110.832068,127.0294006,148.0506857,188.6145768,211.644,217.218,222.089,227.193,233.161,239.729,246.033,253.231,261.182
p53035,0.29675,0.5935,1.187,2.844,4.564,6.631,10.817,11.05240554,11.48441989,11.8996715,12.33517087,14.2231042,15.312,15.959,16.533,17.094,17.701,18.368,18.91,19.54,20.21
p53037,0.0605,0.121,0.242,0.611,1.007,1.48,2.441,2.512514118,2.646501926,2.789443762,3.132252318,4.126790712,4.88,5.227,5.53,5.827,6.104,6.352,6.628,6.851,7.25
p53053,0.93325,1.8665,3.733,8.839,14.114,20.494,33.352,34.10439049,35.44914109,36.67227837,38.73353789,45.93225352,49.999,51.284,52.527,53.91,55.79,58.208,60.701,63.695,66.769
p53055,0.0345,0.069,0.138,0.348,0.568,0.83,1.364,1.401858223,1.474752074,1.558742912,1.657538586,1.965507128,2.151,2.289,2.379,2.439,2.512,2.613,2.683,2.8,2.886
p53057,0.13975,0.2795,0.559,1.379,2.24,3.257,5.321,5.436798545,5.656394628,5.897153499,6.145558345,7.482642499,8.426,9.049,9.481,9.874,10.338,10.802,11.21,11.618,12.112
p53061,0.85125,1.7025,3.405,8.349,13.605,19.935,32.695,33.5638781,36.07315615,40.56207514,47.25141392,62.49361437,76.903,79.653,81.818,83.513,85.464,87.272,89.562,91.798,94.772
p53067,0.32225,0.6445,1.289,3.102,4.992,7.257,11.825,12.08234219,12.57247332,13.09995786,13.65899903,17.35331532,19.795,20.693,21.628,22.309,23.106,24.004,24.723,25.712,26.863
