,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17
p1,0.004,0.348,0.413,0.05,0.0,0.241,0.244,0.005,0.0,0.112,0.114,0.0,0.002,0.283,0.304,0.024,0.391
p10,0.003,0.448,0.488,0.029,0.0,0.401,0.367,0.003,0.0,0.295,0.27,0.001,0.001,0.426,0.448,0.017,0.47
p100,0.002,0.347,0.363,0.039,0.0,0.287,0.276,0.008,0.0,0.221,0.24,0.002,0.001,0.329,0.352,0.028,0.345
p101,0.0,0.349,0.353,0.029,0.0,0.322,0.32,0.011,0.0,0.283,0.328,0.008,0.0,0.38,0.428,0.031,0.262
p102,0.0,0.348,0.364,0.027,0.0,0.326,0.32,0.008,0.0,0.288,0.33,0.006,0.0,0.383,0.424,0.024,0.282
p103,0.001,0.334,0.406,0.06,0.0,0.246,0.286,0.016,0.0,0.142,0.201,0.005,0.0,0.305,0.374,0.043,0.399
p104,0.001,0.338,0.409,0.062,0.0,0.241,0.283,0.017,0.0,0.128,0.188,0.006,0.0,0.299,0.365,0.044,0.405
p105,0.002,0.342,0.416,0.054,0.0,0.271,0.306,0.015,0.0,0.157,0.213,0.005,0.001,0.309,0.373,0.037,0.386
p106,0.0,0.319,0.436,0.063,0.0,0.265,0.346,0.021,0.0,0.157,0.252,0.007,0.0,0.287,0.394,0.046,0.365
p107,0.001,0.338,0.418,0.052,0.0,0.291,0.332,0.015,0.0,0.177,0.244,0.006,0.001,0.305,0.376,0.037,0.378
p108,0.005,0.395,0.342,0.024,0.0,0.358,0.264,0.003,0.0,0.227,0.199,0.001,0.002,0.365,0.315,0.014,0.333
p109,0.001,0.337,0.395,0.051,0.0,0.285,0.314,0.016,0.0,0.185,0.242,0.006,0.0,0.308,0.36,0.038,0.361
p11,0.002,0.439,0.436,0.018,0.0,0.405,0.344,0.001,0.0,0.331,0.277,0.0,0.001,0.437,0.418,0.01,0.455
p110,0.001,0.317,0.392,0.051,0.0,0.268,0.325,0.015,0.0,0.179,0.25,0.006,0.0,0.292,0.354,0.036,0.391
p111,0.001,0.332,0.397,0.051,0.0,0.262,0.292,0.012,0.0,0.156,0.198,0.003,0.0,0.307,0.358,0.034,0.371
p112,0.001,0.338,0.395,0.05,0.0,0.276,0.299,0.013,0.0,0.161,0.204,0.004,0.0,0.309,0.351,0.035,0.377
p113,0.001,0.345,0.389,0.052,0.0,0.28,0.299,0.015,0.0,0.167,0.21,0.005,0.0,0.308,0.341,0.036,0.366
p114,0.001,0.345,0.376,0.049,0.0,0.286,0.285,0.016,0.0,0.178,0.21,0.006,0.0,0.313,0.323,0.035,0.336
p115,0.001,0.328,0.381,0.045,0.0,0.268,0.288,0.009,0.0,0.171,0.213,0.002,0.001,0.303,0.346,0.03,0.342
p116,0.001,0.336,0.382,0.043,0.0,0.283,0.291,0.01,0.0,0.193,0.232,0.003,0.001,0.313,0.345,0.029,0.35
p117,0.001,0.327,0.377,0.045,0.0,0.283,0.3,0.012,0.0,0.191,0.239,0.004,0.0,0.304,0.343,0.031,0.375
p118,0.001,0.336,0.383,0.043,0.0,0.289,0.319,0.012,0.0,0.226,0.28,0.005,0.0,0.327,0.37,0.032,0.364
p119,0.002,0.339,0.369,0.04,0.0,0.275,0.272,0.008,0.0,0.189,0.213,0.002,0.001,0.325,0.341,0.027,0.314
p12,0.005,0.506,0.453,0.03,0.0,0.455,0.353,0.004,0.0,0.295,0.244,0.0,0.003,0.476,0.418,0.017,0.371
p120,0.003,0.352,0.356,0.037,0.0,0.278,0.263,0.008,0.0,0.202,0.209,0.002,0.001,0.33,0.341,0.027,0.294
p121,0.002,0.359,0.358,0.037,0.0,0.299,0.275,0.007,0.0,0.226,0.229,0.002,0.001,0.336,0.337,0.027,0.311
p122,0.003,0.364,0.344,0.033,0.0,0.298,0.254,0.006,0.0,0.22,0.205,0.001,0.002,0.346,0.327,0.022,0.318
p123,0.003,0.375,0.353,0.032,0.0,0.311,0.268,0.006,0.0,0.234,0.229,0.002,0.001,0.355,0.34,0.023,0.34
p124,0.003,0.367,0.374,0.035,0.0,0.307,0.276,0.006,0.0,0.214,0.214,0.002,0.002,0.349,0.35,0.025,0.369
p125,0.003,0.373,0.335,0.032,0.0,0.319,0.261,0.005,0.0,0.247,0.217,0.001,0.002,0.368,0.338,0.021,0.362
p126,0.003,0.369,0.334,0.029,0.0,0.315,0.253,0.004,0.0,0.234,0.201,0.001,0.002,0.355,0.324,0.019,0.343
