# Parent report: https://www.epa.gov/environmental-economics/scghg
# Raw data: https://github.com/USEPA/scghg/blob/main/EPA/output/scghg_annual.csv
gas,emission.year,2.5% Ramsey,2.0% Ramsey,1.5% Ramsey
CH4,2072,"5,160","6,099","7,444"
CH4,2073,"5,234","6,184","7,545"
CH4,2074,"5,309","6,270","7,645"
CH4,2075,"5,383","6,355","7,745"
CH4,2076,"5,458","6,441","7,845"
CH4,2077,"5,532","6,527","7,946"
CH4,2078,"5,607","6,612","8,046"
CH4,2079,"5,681","6,698","8,146"
CH4,2080,"5,756","6,783","8,246"
N2O,2020,"35,232","54,139","87,284"
N2O,2021,"36,180","55,364","88,869"
N2O,2022,"37,128","56,590","90,454"
N2O,2023,"38,076","57,816","92,040"
N2O,2024,"39,024","59,041","93,625"
N2O,2025,"39,972","60,267","95,210"
N2O,2026,"40,920","61,492","96,796"
N2O,2027,"41,868","62,718","98,381"
N2O,2028,"42,816","63,944","99,966"
N2O,2029,"43,764","65,169","101,552"
N2O,2030,"44,712","66,395","103,137"
N2O,2031,"45,693","67,645","104,727"
N2O,2032,"46,674","68,895","106,316"
N2O,2033,"47,655","70,145","107,906"
N2O,2034,"48,636","71,394","109,495"
N2O,2035,"49,617","72,644","111,085"
N2O,2036,"50,598","73,894","112,674"
N2O,2037,"51,578","75,144","114,264"
N2O,2038,"52,559","76,394","115,853"
N2O,2039,"53,540","77,644","117,443"
N2O,2040,"54,521","78,894","119,032"
N2O,2041,"55,632","80,304","120,809"
N2O,2042,"56,744","81,714","122,586"
N2O,2043,"57,855","83,124","124,362"
N2O,2044,"58,966","84,535","126,139"
N2O,2045,"60,078","85,945","127,916"
N2O,2046,"61,189","87,355","129,693"
N2O,2047,"62,301","88,765","131,469"
N2O,2048,"63,412","90,176","133,246"
N2O,2049,"64,523","91,586","135,023"
N2O,2050,"65,635","92,996","136,799"
N2O,2051,"66,673","94,319","138,479"
N2O,2052,"67,712","95,642","140,158"
N2O,2053,"68,750","96,965","141,838"
N2O,2054,"69,789","98,288","143,517"
N2O,2055,"70,827","99,612","145,196"
N2O,2056,"71,866","100,935","146,876"
N2O,2057,"72,904","102,258","148,555"
N2O,2058,"73,943","103,581","150,235"
N2O,2059,"74,981","104,904","151,914"
N2O,2060,"76,020","106,227","153,594"
N2O,2061,"76,920","107,385","155,085"
N2O,2062,"77,820","108,542","156,576"
N2O,2063,"78,720","109,700","158,066"
N2O,2064,"79,620","110,857","159,557"
N2O,2065,"80,520","112,015","161,048"
N2O,2066,"81,419","113,172","162,539"
N2O,2067,"82,319","114,330","164,030"
N2O,2068,"83,219","115,487","165,521"
N2O,2069,"84,119","116,645","167,012"
N2O,2070,"85,019","117,802","168,503"
N2O,2071,"86,012","119,027","170,013"
N2O,2072,"87,006","120,252","171,523"
N2O,2073,"87,999","121,477","173,033"
N2O,2074,"88,992","122,702","174,543"
N2O,2075,"89,985","123,926","176,053"
N2O,2076,"90,978","125,151","177,563"
N2O,2077,"91,971","126,376","179,073"
N2O,2078,"92,964","127,601","180,582"
N2O,2079,"93,958","128,826","182,092"
N2O,2080,"94,951","130,050","183,602"
