# Parent report: https://www.epa.gov/environmental-economics/scghg
# Raw data: https://github.com/USEPA/scghg/blob/main/EPA/output/scghg_annual.csv
gas,emission.year,2.5% Ramsey,2.0% Ramsey,1.5% Ramsey
CO2,2020,117,193,337
CO2,2021,119,197,341
CO2,2022,122,200,346
CO2,2023,125,204,351
CO2,2024,128,208,356
CO2,2025,130,212,360
CO2,2026,133,215,365
CO2,2027,136,219,370
CO2,2028,139,223,375
CO2,2029,141,226,380
CO2,2030,144,230,384
CO2,2031,147,234,389
CO2,2032,150,237,394
CO2,2033,153,241,398
CO2,2034,155,245,403
CO2,2035,158,248,408
CO2,2036,161,252,412
CO2,2037,164,256,417
CO2,2038,167,259,422
CO2,2039,170,263,426
CO2,2040,173,267,431
CO2,2041,176,271,436
CO2,2042,179,275,441
CO2,2043,182,279,446
CO2,2044,186,283,451
CO2,2045,189,287,456
CO2,2046,192,291,462
CO2,2047,195,296,467
CO2,2048,199,300,472
CO2,2049,202,304,477
CO2,2050,205,308,482
CO2,2051,208,312,487
CO2,2052,211,315,491
CO2,2053,214,319,496
CO2,2054,217,323,500
CO2,2055,220,326,505
CO2,2056,222,330,510
CO2,2057,225,334,514
CO2,2058,228,338,519
CO2,2059,231,341,523
CO2,2060,234,345,528
CO2,2061,236,348,532
CO2,2062,239,351,535
CO2,2063,241,354,539
CO2,2064,244,357,543
CO2,2065,246,360,547
CO2,2066,248,363,550
CO2,2067,251,366,554
CO2,2068,253,369,558
CO2,2069,256,372,562
CO2,2070,258,375,565
CO2,2071,261,378,569
CO2,2072,263,382,573
CO2,2073,266,385,576
CO2,2074,269,388,580
CO2,2075,271,391,583
CO2,2076,274,394,587
CO2,2077,276,398,591
CO2,2078,279,401,594
CO2,2079,282,404,598
CO2,2080,284,407,601
CH4,2020,"1,257","1,648","2,305"
CH4,2021,"1,324","1,723","2,391"
CH4,2022,"1,390","1,799","2,478"
CH4,2023,"1,457","1,874","2,564"
CH4,2024,"1,524","1,950","2,650"
CH4,2025,"1,590","2,025","2,737"
CH4,2026,"1,657","2,101","2,823"
CH4,2027,"1,724","2,176","2,910"
CH4,2028,"1,791","2,252","2,996"
CH4,2029,"1,857","2,327","3,083"
CH4,2030,"1,924","2,403","3,169"
CH4,2031,"2,002","2,490","3,270"
CH4,2032,"2,080","2,578","3,371"
CH4,2033,"2,157","2,666","3,471"
CH4,2034,"2,235","2,754","3,572"
CH4,2035,"2,313","2,842","3,673"
CH4,2036,"2,391","2,929","3,774"
CH4,2037,"2,468","3,017","3,875"
CH4,2038,"2,546","3,105","3,975"
CH4,2039,"2,624","3,193","4,076"
CH4,2040,"2,702","3,280","4,177"
CH4,2041,"2,786","3,375","4,285"
CH4,2042,"2,871","3,471","4,394"
CH4,2043,"2,955","3,566","4,502"
CH4,2044,"3,040","3,661","4,610"
CH4,2045,"3,124","3,756","4,718"
CH4,2046,"3,209","3,851","4,827"
CH4,2047,"3,293","3,946","4,935"
CH4,2048,"3,378","4,041","5,043"
CH4,2049,"3,462","4,136","5,151"
CH4,2050,"3,547","4,231","5,260"
CH4,2051,"3,624","4,320","5,363"
CH4,2052,"3,701","4,409","5,466"
CH4,2053,"3,779","4,497","5,569"
CH4,2054,"3,856","4,586","5,672"
CH4,2055,"3,933","4,675","5,774"
CH4,2056,"4,011","4,763","5,877"
CH4,2057,"4,088","4,852","5,980"
CH4,2058,"4,165","4,941","6,083"
CH4,2059,"4,243","5,029","6,186"
CH4,2060,"4,320","5,118","6,289"
CH4,2061,"4,389","5,199","6,385"
CH4,2062,"4,458","5,280","6,480"
CH4,2063,"4,527","5,361","6,576"
CH4,2064,"4,596","5,442","6,671"
CH4,2065,"4,666","5,523","6,767"
CH4,2066,"4,735","5,604","6,862"
CH4,2067,"4,804","5,685","6,958"
CH4,2068,"4,873","5,765","7,053"
CH4,2069,"4,942","5,846","7,149"
CH4,2070,"5,011","5,927","7,244"
CH4,2071,"5,085","6,013","7,344"
