level,region1,region2,x,y,angle,drop
transreg,CAISO,NorthernGrid,-1.8,-0.1,55,90
transreg,CAISO,WestConnect,-1.63,-0.58,100,90
transreg,MISO,PJM,0.9,0,85,90
transreg,MISO,SERTP,0.55,-0.7,80,90
transreg,MISO,SPP,-0.05,0.3,90,90
transreg,NorthernGrid,SPP,-0.73,0.9,95,90
transreg,NorthernGrid,WestConnect,-1.07,-0.05,100,90
transreg,NYISO,ISONE,1.72,0.6,80,90
transreg,PJM,NYISO,1.5,0.39,20,0
transreg,SERTP,FRCC,1.,-1.05,-30,0
transreg,SERTP,PJM,1.3,-0.3,-10,0
transreg,SPP,ERCOT,-0.2,-0.7,10,0
transreg,WestConnect,SPP,-0.5,-0.2,90,90
transreg,NorthernGrid,NorthernGrid,-1.5,0.5,90,90
transreg,CAISO,CAISO,-2.0,-0.3,90,90
transreg,WestConnect,WestConnect,-1.0,-0.5,90,90
transreg,SPP,SPP,-0.15,-0.2,90,90
transreg,MISO,MISO,0.45,-0.1,90,90
transreg,ERCOT,ERCOT,-0.3,-1.05,90,90
transreg,PJM,PJM,1.3,0,90,90
transreg,SERTP,SERTP,1.1,-0.7,90,90
transreg,FRCC,FRCC,1.4,-1.35,90,90
transreg,NYISO,NYISO,1.5,0.5,90,90
transreg,ISONE,ISONE,1.9,0.8,90,90
