r,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p53007,0.09275,0.1855,0.371,0.887,1.416,2.058,3.365,3.438216256,3.564934854,3.654908782,3.705586824,3.721035925,3.365,3.365,3.365,3.365,3.365,3.365,3.365,3.365,3.365
p53029,0.112,0.224,0.448,1.134,1.855,2.708,4.454,4.55499794,4.759956106,4.980016869,5.361813446,6.595024741,7.343,7.744,8.125,8.448,8.74,8.978,9.365,9.797,10.099
p53033,2.59325,5.1865,10.373,25.569,42.081,61.676,100.468,103.5276035,110.8604689,127.0985025,148.1805256,188.8362148,211.92,217.495,222.527,227.224,233.123,239.389,245.656,252.757,260.515
p53035,0.29675,0.5935,1.187,2.844,4.564,6.631,10.817,11.05235817,11.48406948,11.89881893,12.3336025,14.22618935,15.307,15.958,16.522,17.04,17.641,18.303,18.861,19.453,20.189
p53037,0.0605,0.121,0.242,0.611,1.007,1.48,2.441,2.513525108,2.647480594,2.789243908,3.132955279,4.133501422,4.94,5.286,5.605,5.854,6.12,6.36,6.649,6.822,7.174
p53053,0.93325,1.8665,3.733,8.839,14.114,20.494,33.352,34.10424433,35.4480595,36.67073708,38.73632158,45.98492687,50.107,51.37,52.579,53.942,55.841,58.158,60.593,63.501,66.678
p53055,0.0345,0.069,0.138,0.348,0.568,0.83,1.364,1.401852215,1.474707078,1.558631234,1.658429051,1.966122399,2.151,2.288,2.371,2.465,2.53,2.613,2.68,2.773,2.859
p53057,0.13975,0.2795,0.559,1.379,2.24,3.257,5.321,5.436775244,5.656222046,5.896730988,6.144776962,7.482986658,8.44,9.04,9.489,9.845,10.274,10.688,11.154,11.647,12.06
p53061,0.85125,1.7025,3.405,8.349,13.605,19.935,32.695,33.56373426,36.07629319,40.57980594,47.29055589,62.59412735,76.499,79.201,81.258,83.008,84.97,86.76,88.884,91.134,94.284
p53067,0.32225,0.6445,1.289,3.102,4.992,7.257,11.825,12.08229041,12.57208972,13.10010544,13.65836356,17.36004249,19.862,20.765,21.684,22.386,23.183,23.952,24.701,25.678,26.678
p53073,0.24975,0.4995,0.999,2.451,3.97,5.784,9.468,9.677071666,10.08669978,10.49224928,10.97250137,12.41819716,13.049,13.604,14.034,14.484,14.929,15.316,15.699,16.148,16.747
p53003,0.03525,0.0705,0.141,0.361,0.58,0.86,1.394,1.446809574,1.544628534,1.79215438,2.429279208,3.583916027,4.252,4.347,4.431,4.52,4.608,4.705,4.859,4.977,5.132
p53005,0.2,0.4,0.8,1.969,3.208,4.682,7.659,7.836885195,8.217889944,9.12695349,10.18623421,12.38502299,14.121,14.828,15.323,15.776,16.251,16.629,17.191,17.62,18.213
p53009,0.09075,0.1815,0.363,0.879,1.411,2.055,3.369,3.45252087,3.591420254,3.704871873,3.789279127,3.928927382,3.719,3.786,3.845,3.897,3.949,4.027,4.167,4.375,4.638
p53011,0.4845,0.969,1.938,4.673,7.511,10.907,17.788,18.17605616,18.86290195,19.52905197,20.94950482,23.58241074,25.114,26.139,26.97,27.791,28.733,29.662,30.707,31.737,32.84
p53013,0.00575,0.0115,0.023,0.056,0.09,0.132,0.215,0.220699766,0.229893273,0.238953917,0.25878541,0.296355907,0.313,0.323,0.331,0.338,0.347,0.354,0.36,0.37,0.384
p53015,0.12425,0.2485,0.497,1.169,1.864,2.712,4.418,4.526388711,4.708044722,4.871401452,5.069991601,5.325559885,5.262,5.395,5.562,5.772,6.037,6.292,6.554,6.856,7.109
p53023,0.003,0.006,0.012,0.03,0.048,0.07,0.115,0.11750219,0.12183284,0.12490773,0.129943312,0.134908286,0.141,0.146,0.152,0.159,0.166,0.173,0.181,0.191,0.2
p53027,0.10225,0.2045,0.409,1.007,1.629,2.367,3.875,3.959312924,4.108415264,4.262068963,4.453311476,4.821312521,5.109,5.412,5.695,5.97,6.224,6.402,6.582,6.761,7.059
p53031,0.04675,0.0935,0.187,0.475,0.776,1.13,1.855,1.895361413,1.974751432,2.063692923,2.145165864,2.547776158,2.841,3.034,3.204,3.329,3.451,3.54,3.627,3.776,3.968
p53039,0.027,0.054,0.108,0.272,0.449,0.661,1.091,1.118825201,1.178070597,1.243646525,1.397441212,1.788087694,2.049,2.179,2.298,2.389,2.472,2.556,2.662,2.782,2.928
p53041,0.095,0.19,0.38,0.9,1.434,2.082,3.398,3.471934275,3.599895582,3.746145732,3.866364142,4.508369529,4.809,4.81,4.819,4.836,4.863,4.905,4.957,5.019,5.082
