long,lat,order,hole,piece,group,id
-121.3796713,47.08676581,1,FALSE,1,p1.1,p1
-121.4553973,46.78373381,2,FALSE,1,p1.1,p1
-123.1605863,46.7934338,3,FALSE,1,p1.1,p1
-122.9634129,47.10059369,4,FALSE,1,p1.1,p1
-122.6851774,47.17981914,5,FALSE,1,p1.1,p1
-122.8670452,47.27478749,6,FALSE,1,p1.1,p1
-122.7842345,47.59784767,7,FALSE,1,p1.1,p1
-122.496369,47.55331513,8,FALSE,1,p1.1,p1
-122.3547375,47.3425193,9,FALSE,1,p1.1,p1
-122.1502823,48.0174158,10,FALSE,1,p1.1,p1
-122.5474315,48.09758612,11,FALSE,1,p1.1,p1
-122.3743293,48.2976258,12,FALSE,1,p1.1,p1
-122.6071646,48.56913007,13,FALSE,1,p1.1,p1
-122.789769,48.97597378,14,FALSE,1,p1.1,p1
-121.946301,49.00051955,15,FALSE,1,p1.1,p1
-120.8504885,48.99984521,16,FALSE,1,p1.1,p1
-120.7015583,48.53161981,17,FALSE,1,p1.1,p1
-119.8701243,47.96015682,18,FALSE,1,p1.1,p1
-120.3167793,47.47057381,19,FALSE,1,p1.1,p1
-120.0315663,47.09825282,20,FALSE,1,p1.1,p1
-119.9235378,46.68287882,21,FALSE,1,p1.1,p1
-121.3796713,47.08676581,22,FALSE,1,p1.1,p1
-117.5527877,33.44581888,1,FALSE,1,p10.1,p10
-119.2691552,34.25020086,2,FALSE,1,p10.1,p10
-119.4766542,34.37319586,3,FALSE,1,p10.1,p10
-119.4423532,34.90127386,4,FALSE,1,p10.1,p10
-120.1939192,35.61435885,5,FALSE,1,p10.1,p10
-120.1941462,35.78920385,6,FALSE,1,p10.1,p10
-119.5381162,35.78956785,7,FALSE,1,p10.1,p10
-119.5728212,36.48885385,8,FALSE,1,p10.1,p10
-118.3605872,36.74477286,9,FALSE,1,p10.1,p10
-119.6392052,38.32687984,10,FALSE,1,p10.1,p10
-119.5854372,38.71321284,11,FALSE,1,p10.1,p10
-119.1569782,38.41474685,12,FALSE,1,p10.1,p10
-118.4281452,37.89621985,13,FALSE,1,p10.1,p10
-117.1660022,36.97111186,14,FALSE,1,p10.1,p10
-115.8983572,36.00417988,15,FALSE,1,p10.1,p10
-115.6472032,35.80899588,16,FALSE,1,p10.1,p10
-114.6330132,35.00208589,17,FALSE,1,p10.1,p10
-114.1382832,34.30323089,18,FALSE,1,p10.1,p10
-114.6271252,33.43355389,19,FALSE,1,p10.1,p10
-114.4689712,32.8451559,20,FALSE,1,p10.1,p10
-114.7770292,32.60376561,21,FALSE,1,p10.1,p10
-116.1060512,32.61687524,22,FALSE,1,p10.1,p10
-116.0851652,33.42593288,23,FALSE,1,p10.1,p10
-117.5527877,33.44581888,24,FALSE,1,p10.1,p10
-78.23161134,38.53221807,1,FALSE,1,p100.1,p100
-78.09406834,38.31136407,2,FALSE,1,p100.1,p100
-78.36979634,38.18475707,3,FALSE,1,p100.1,p100
-78.66317534,38.27792307,4,FALSE,1,p100.1,p100
-78.30054434,38.94353107,5,FALSE,1,p100.1,p100
-78.54409035,39.05665307,6,FALSE,1,p100.1,p100
-78.22876735,39.39123307,7,FALSE,1,p100.1,p100
-77.82815735,39.13232907,8,FALSE,1,p100.1,p100
-78.23161134,38.53221807,9,FALSE,1,p100.1,p100
-80.87315827,27.64230609,1,FALSE,1,p101.1,p101
-80.67772727,27.3030031,2,FALSE,1,p101.1,p101
-80.88564027,26.9589201,3,FALSE,1,p101.1,p101
-80.93017,25.21348893,4,FALSE,1,p101.1,p101
-81.10636006,25.23039845,5,FALSE,1,p101.1,p101
-81.3001528,25.76270852,6,FALSE,1,p101.1,p101
-81.51305643,25.87665393,7,FALSE,1,p101.1,p101
-81.68922489,25.93756535,8,FALSE,1,p101.1,p101
-81.97219234,26.45305572,9,FALSE,1,p101.1,p101
-82.06231427,26.95192609,10,FALSE,1,p101.1,p101
-82.31222092,26.86514194,11,FALSE,1,p101.1,p101
-82.45676839,27.09844217,12,FALSE,1,p101.1,p101
-82.57244293,27.35892127,13,FALSE,1,p101.1,p101
-82.64044809,27.51046991,14,FALSE,1,p101.1,p101
-82.61606359,27.67876921,15,FALSE,1,p101.1,p101
-82.43689334,27.84313526,16,FALSE,1,p101.1,p101
-82.76947364,28.05814399,17,FALSE,1,p101.1,p101
-82.66080566,28.77494219,18,FALSE,1,p101.1,p101
-82.7840299,29.04788186,19,FALSE,1,p101.1,p101
-83.99988528,30.10562907,20,FALSE,1,p101.1,p101
-84.69785885,29.81462608,21,FALSE,1,p101.1,p101
-85.14710532,29.67939655,22,FALSE,1,p101.1,p101
-84.86469428,30.71154307,23,FALSE,1,p101.1,p101
-84.00739128,30.67209707,24,FALSE,1,p101.1,p101
-82.21483929,30.56859108,25,FALSE,1,p101.1,p101
-82.05007028,30.36233908,26,FALSE,1,p101.1,p101
-82.02286729,30.78799208,27,FALSE,1,p101.1,p101
-81.49045352,30.77753659,28,FALSE,1,p101.1,p101
-81.26874827,29.85758357,29,FALSE,1,p101.1,p101
-81.21912885,29.68932933,30,FALSE,1,p101.1,p101
-81.12584211,29.34342042,31,FALSE,1,p101.1,p101
-80.97756048,29.14819265,32,FALSE,1,p101.1,p101
-80.81862862,28.73016956,33,FALSE,1,p101.1,p101
-80.86888227,27.82252209,34,FALSE,1,p101.1,p101
-80.87315827,27.64230609,35,FALSE,1,p101.1,p101
-80.58458918,28.42516105,1,FALSE,1,p102.1,p102
-80.60116483,28.16674455,2,FALSE,1,p102.1,p102
-80.42324444,27.78247932,3,FALSE,1,p102.1,p102
-80.31099527,27.4164081,4,FALSE,1,p102.1,p102
-80.25117099,27.22452527,5,FALSE,1,p102.1,p102
-80.0396286,26.74634089,6,FALSE,1,p102.1,p102
-80.37249376,25.23183878,7,FALSE,1,p102.1,p102
-80.93017,25.21348893,8,FALSE,1,p102.1,p102
-80.88564027,26.9589201,9,FALSE,1,p102.1,p102
-80.67772727,27.3030031,10,FALSE,1,p102.1,p102
-80.87315827,27.64230609,11,FALSE,1,p102.1,p102
-80.86888227,27.82252209,12,FALSE,1,p102.1,p102
-80.81862862,28.73016956,13,FALSE,1,p102.1,p102
-80.6225951,28.62350757,14,FALSE,1,p102.1,p102
-80.58458918,28.42516105,15,FALSE,1,p102.1,p102
-83.90976538,43.91047904,1,FALSE,1,p103.1,p103
-83.67646852,43.59391836,2,FALSE,1,p103.1,p103
-83.51710288,43.70372354,3,FALSE,1,p103.1,p103
-83.36362311,43.89348954,4,FALSE,1,p103.1,p103
-82.74596738,43.99675004,5,FALSE,1,p103.1,p103
-82.48110654,42.8550901,6,FALSE,1,p103.1,p103
-82.64987425,42.63544902,7,FALSE,1,p103.1,p103
-83.00818862,42.33240308,8,FALSE,1,p103.1,p103
-83.13948377,42.14300191,9,FALSE,1,p103.1,p103
-83.37914536,41.89337804,10,FALSE,1,p103.1,p103
-83.46883477,41.73575568,11,FALSE,1,p103.1,p103
-83.76303936,41.72355104,12,FALSE,1,p103.1,p103
-84.39943036,41.70576104,13,FALSE,1,p103.1,p103
-84.80608236,41.69609003,14,FALSE,1,p103.1,p103
-85.25391516,41.75987123,15,FALSE,1,p103.1,p103
-85.29954236,42.41956703,16,FALSE,1,p103.1,p103
