name,color,path
Scenario 1,#1f77b4,/path/to/Scen1
Scenario 2,#ff7f0e,/path/to/Scen2
Scenario 3,#2ca02c,/path/to/Scen3
Scenario 4,#d62728,/path/to/Scen4
Scenario 5,#9467bd,/path/to/Scen5
Scenario 6,#8c564b,/path/to/Scen6
Scenario 7,#e377c2,/path/to/Scen7
Scenario 8,#7f7f7f,/path/to/Scen8
Scenario 9,#bcbd22,/path/to/Scen9
Scenario 10,#17becf,/path/to/Scen10
Scenario 11,#aec7e8,/path/to/Scen11
Scenario 12,#ffbb78,/path/to/Scen12
Scenario 13,#98df8a,/path/to/Scen13
Scenario 14,#ff9896,/path/to/Scen14
Scenario 15,#c5b0d5,/path/to/Scen15
Scenario 16,#c49c94,/path/to/Scen16
Scenario 17,#f7b6d2,/path/to/Scen17
Scenario 18,#c7c7c7,/path/to/Scen18
Scenario 19,#dbdb8d,/path/to/Scen19
Scenario 20,#9edae5,/path/to/Scen20
