,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p1,0.016797146,10.33332393,23.153,58.001,94.71,102.753,112.728,114.1,121.042,141.928,203.79,271.736,330.508,374.226,407.711,436.665,463.939,492.535,508.702,524.806,541.252
p10,534.6252872,865.8653054,1210.295,2457.643,3709.208,5040.555,5567.002,5905.584,6433.752,7461.823,9024.513,10080.29,10755.661,11221.806,11572.904,11871.345,12133.7,12381.316,12631.291,12893.54,13180.68
p100,0,0,0.253,0.818,2.277,5.376,11.881,19.483,34.161,41.876,56.185,70.626,83.087,93.364,101.264,108.242,114.53,120.208,126.221,128.644,131.023
p101,8.377123095,26.91038637,40.542,81.179,217.397,429.829,764.587,1114.231,1745.392,2714.046,4263.103,6001.29,7746.019,8142.536,8474.443,8775.517,9046.831,9307.912,9561.993,9820.157,10115.902
p102,5.087078563,14.23755315,15.299,26.031,64.373,117.476,222.404,296.742,514.136,854.34,1403.682,2062.607,2776.172,2981.988,3150.62,3289.37,3402.074,3498.187,3585.762,3671.116,3762.037
p103,0,0,10.037,18.933,35.672,35.672,35.672,35.672,35.672,36.067,37.629,39.089,41.269,60.27,106.466,191.485,318.127,461.533,676.649,969.9,1346.398
p104,0,0,0.661,1.272,2.37,2.37,2.37,2.37,2.37,2.396,2.45,2.529,2.643,2.801,3.491,4.437,7.377,11.612,25.267,44.255,69.004
p105,0,0,3.244,9.132,41.244,49.187,60.956,63.391,71.398,90.079,135.528,191.829,260.074,341.302,435.881,544.095,667.991,739.595,820.802,914.145,1020.974
p106,0,0,0.142,0.513,1.923,2.966,4.736,4.86,5.562,7.591,14.932,24.527,36.72,52.168,71.416,95.167,124.701,140.728,160.944,186.341,217.123
p107,0,0,0.324,1.221,4.869,7.654,12.017,12.665,15.11,20.995,37.117,57.97,84.279,117.051,157.189,205.902,265.424,299.395,340.817,390.726,450.495
p108,0,0,0.084,0.438,1.679,1.679,1.679,1.679,1.697,1.741,4.772,9.414,16.22,25.397,36.738,49.418,63.385,76.802,91.281,108.168,125.047
p109,0,0,0.139,0.479,4.608,4.608,4.608,4.608,4.611,4.633,8.576,14.325,22.327,33.382,48.177,67.784,95.526,131.572,184.415,264.847,318.43
p11,107.3777754,132.949176,217.22,445.761,659.598,862.375,938.247,967.299,1055.314,1217.868,1488.066,1665.295,1778.351,1861.704,1923.565,1972.385,2021.866,2062.187,2107.67,2143.067,2178.71
p110,0,0,0.084,0.355,1.911,1.911,1.911,1.911,1.911,1.932,1.971,2.036,2.14,5.098,9.061,16.341,25.683,34.774,44.798,55.818,73.745
p111,0.030012846,18.41141759,18.561,24.054,35.693,38.676,48.214,59.037,79.122,108.92,159.216,224.913,309.824,420.272,561.998,739.206,958.087,1223.246,1531.755,1874.241,1962.184
p112,0,15.96889695,13.221,17.021,25.786,29.39,35.852,43.763,58.682,82.392,118.451,167.045,229.948,310.103,410.651,534.171,681.528,853.136,1046.512,1255.741,1303.542
p113,0.00074308,3.858751976,4.473,5.505,7.823,8.29,9.639,10.64,14.891,21.418,31.515,45.693,65.198,92.002,128.423,176.527,238.639,316.061,408.567,513.826,540.903
p114,0,5.660933492,5.868,7.114,9.835,10.031,11.23,11.631,16.091,22.913,33.527,48.836,70.865,102.463,146.908,207.795,288.673,392.276,518.62,665.566,704.339
