i,t,capcost,fom,vom,heatrate
Gas-CT,2010,895.2647106,12.52,7.315,10.2225
Gas-CT,2011,894.2706523,12.52,7.315,10.16785714
Gas-CT,2012,893.2765939,12.52,7.315,10.11321429
Gas-CT,2013,934.3272236,12.52,7.315,10.05857143
Gas-CT,2014,934.3272236,12.52,7.315,10.00392857
Gas-CT,2015,922.134528,12.52,7.315,9.949285714
Gas-CT,2016,922.134528,12.52,7.315,9.894642857
Gas-CT,2017,920.6912451,12.52,7.315,9.82
Gas-CT,2018,919.2479623,12.52,7.315,9.757916667
Gas-CT,2019,917.8046794,12.52,7.315,9.695833333
Gas-CT,2020,924.3789458,12.52,7.315,9.63375
Gas-CT,2021,913.2663949,12.52,7.315,9.571666667
Gas-CT,2022,906.4537795,12.52,7.315,9.509583333
Gas-CT,2023,888.5867417,12.52,7.315,9.4475
Gas-CT,2024,880.3211352,12.52,7.315,9.385416667
Gas-CT,2025,875.4109998,12.52,7.315,9.323333333
Gas-CT,2026,870.5512336,12.52,7.315,9.26125
Gas-CT,2027,865.6212292,12.52,7.315,9.199166667
Gas-CT,2028,861.8624011,12.52,7.315,9.137083333
Gas-CT,2029,856.3535339,12.52,7.315,9.075
Gas-CT,2030,853.2906692,12.52,7.315,9.012916667
Gas-CT,2031,850.5093055,12.52,7.315,9.075
Gas-CT,2032,846.614052,12.52,7.315,9.075
Gas-CT,2033,843.6410679,12.52,7.315,9.075
Gas-CT,2034,840.9157028,12.52,7.315,9.075
Gas-CT,2035,837.6573213,12.52,7.315,9.075
Gas-CT,2036,834.4423268,12.52,7.315,9.075
Gas-CT,2037,831.6856825,12.52,7.315,9.075
Gas-CT,2038,830.013578,12.52,7.315,9.075
Gas-CT,2039,827.899034,12.52,7.315,9.075
Gas-CT,2040,825.8885808,12.52,7.315,9.075
Gas-CT,2041,824.7293529,12.52,7.315,9.075
Gas-CT,2042,821.710332,12.52,7.315,9.075
Gas-CT,2043,820.9805161,12.52,7.315,9.075
Gas-CT,2044,818.1372238,12.52,7.315,9.075
Gas-CT,2045,817.2269655,12.52,7.315,9.075
Gas-CT,2046,814.7031782,12.52,7.315,9.075
Gas-CT,2047,812.9382516,12.52,7.315,9.075
Gas-CT,2048,811.1603014,12.52,7.315,9.075
Gas-CT,2049,809.3099568,12.52,7.315,9.075
Gas-CT,2050,801.2361531,12.52,7.315,9.075
Gas-CC,2010,1053.870249,10.815,2.835,6.5375
Gas-CC,2011,1052.767362,10.815,2.835,6.525
Gas-CC,2012,1051.664476,10.815,2.835,6.5125
Gas-CC,2013,1092.852657,10.815,2.835,6.5
Gas-CC,2014,1092.852657,10.815,2.835,6.4875
Gas-CC,2015,1078.437376,10.815,2.835,6.475
Gas-CC,2016,1078.437376,10.815,2.835,6.4625
Gas-CC,2017,1081.80555,10.815,2.835,6.45
Gas-CC,2018,1085.173724,10.815,2.835,6.435416667
Gas-CC,2019,1088.541898,10.815,2.835,6.420833333
Gas-CC,2020,1091.910072,10.815,2.835,6.40625
Gas-CC,2021,901.8152439,10.815,2.835,6.391666667
Gas-CC,2022,895.2210485,10.815,2.835,6.377083333
Gas-CC,2023,881.6572088,10.815,2.835,6.3625
Gas-CC,2024,874.8324254,10.815,2.835,6.347916667
