t,wind-ofs_1*wind-ofs_7,wind-ofs_8*wind-ofs_14
2010,1.0,1.0
2011,1.0,1.0
2012,1.0,1.0
2013,1.0,1.0
2014,1.0,1.0
2015,1.0,1.0
2016,1.0,1.0
2017,1.0,1.0
2018,1.0,1.0
2019,1.0,1.0
2020,1.0,1.0
2021,0.9549109780316025,0.9554310710913784
2022,0.9247840813478563,0.9255032757724925
2023,0.9034087078763304,0.9042691678720449
2024,0.8868286801221944,0.8877987139018689
2025,0.8732818110852342,0.8743413731062972
2026,0.8618280965326579,0.8629633536220519
2027,0.8519064377210583,0.8531072648370909
2028,0.8431549142941379,0.8444135784327392
2029,0.8353264099669223,0.8366368108669149
2030,0.8282446663306219,0.829601868957169
2031,0.8217795409299619,0.8231794700713432
2032,0.8158322020867238,0.8172714359301574
2033,0.8103258262700359,0.8118014505870977
2034,0.8051995131758259,0.8067090161011672
2035,0.8004041674584361,0.8019453618021367
2036,0.7958996325927378,0.797470596365506
2037,0.7916526441388656,0.7932516753055953
2038,0.7876353376844445,0.7892609183803591
2039,0.7838241397043001,0.7854749078319607
2040,0.7801989295862896,0.78187365582135
2041,0.7767423960679997,0.7784399658300252
2042,0.7734395381665559,0.7751589357574052
2043,0.7702772706673398,0.7720175670363889
2044,0.7672441119501642,0.7690044538617848
2045,0.7643299318241017,0.7661095328030135
2046,0.7615257473477693,0.7633238806320373
2047,0.7588235561147636,0.7606395475521437
2048,0.7562161984162502,0.7580494213102883
2049,0.7536972429132037,0.7555471130662129
2050,0.751260891202251,0.7531268627135967
