,hydD,hydND,hydSD,hydSND,hydUD,hydUND,hydNPD,hydNPND,pumped-hydro,pumped-hydro-flex
2010,1,1,1,1,1,1,1,1,1,1
2011,1,1,1,1,1,1,1,1,1,1
2012,1,1,1,1,1,1,1,1,1,1
2013,1,1,1,1,1,1,1,1,1,1
2014,1,1,1,1,1,1,1,1,1,1
2015,0.991162165,0.991162165,0.991162165,0.991162165,1,1,1,1,1,1
2016,0.98232433,0.98232433,0.98232433,0.98232433,1,1,1,1,0.99,0.99
2017,0.965114545,0.965114545,0.965114545,0.965114545,1,1,1,1,0.99,0.99
2018,0.94790476,0.94790476,0.94790476,0.94790476,1,1,1,1,0.98,0.98
2019,0.93129799,0.93129799,0.93129799,0.93129799,1,1,1,1,0.97,0.97
2020,0.91469122,0.91469122,0.91469122,0.91469122,1,1,1,1,0.97,0.97
2021,0.89866633,0.89866633,0.89866633,0.89866633,1,1,1,1,0.96,0.96
2022,0.88264144,0.88264144,0.88264144,0.88264144,1,1,1,1,0.96,0.96
2023,0.867178045,0.867178045,0.867178045,0.867178045,1,1,1,1,0.95,0.95
2024,0.85171465,0.85171465,0.85171465,0.85171465,1,1,1,1,0.94,0.94
2025,0.836793075,0.836793075,0.836793075,0.836793075,1,1,1,1,0.94,0.94
2026,0.8218715,0.8218715,0.8218715,0.8218715,1,1,1,1,0.93,0.93
2027,0.807472765,0.807472765,0.807472765,0.807472765,1,1,1,1,0.93,0.93
2028,0.79307403,0.79307403,0.79307403,0.79307403,1,1,1,1,0.92,0.92
2029,0.779179805,0.779179805,0.779179805,0.779179805,1,1,1,1,0.91,0.91
2030,0.76528558,0.76528558,0.76528558,0.76528558,1,1,1,1,0.91,0.91
2031,0.751878195,0.751878195,0.751878195,0.751878195,1,1,1,1,0.9,0.9
2032,0.73847081,0.73847081,0.73847081,0.73847081,1,1,1,1,0.9,0.9
2033,0.725533205,0.725533205,0.725533205,0.725533205,1,1,1,1,0.89,0.89
2034,0.7125956,0.7125956,0.7125956,0.7125956,1,1,1,1,0.89,0.89
2035,0.70445884,0.70445884,0.70445884,0.70445884,1,1,1,1,0.88,0.88
2036,0.69632208,0.69632208,0.69632208,0.69632208,1,1,1,1,0.88,0.88
2037,0.692673095,0.692673095,0.692673095,0.692673095,1,1,1,1,0.88,0.88
2038,0.68902411,0.68902411,0.68902411,0.68902411,1,1,1,1,0.87,0.87
2039,0.685413365,0.685413365,0.685413365,0.685413365,1,1,1,1,0.87,0.87
2040,0.68180262,0.68180262,0.68180262,0.68180262,1,1,1,1,0.87,0.87
2041,0.678229725,0.678229725,0.678229725,0.678229725,1,1,1,1,0.87,0.87
2042,0.67465683,0.67465683,0.67465683,0.67465683,1,1,1,1,0.86,0.86
2043,0.671121375,0.671121375,0.671121375,0.671121375,1,1,1,1,0.86,0.86
2044,0.66758592,0.66758592,0.66758592,0.66758592,1,1,1,1,0.86,0.86
2045,0.664087525,0.664087525,0.664087525,0.664087525,1,1,1,1,0.86,0.86
2046,0.66058913,0.66058913,0.66058913,0.66058913,1,1,1,1,0.86,0.86
2047,0.657127395,0.657127395,0.657127395,0.657127395,1,1,1,1,0.85,0.85
2048,0.65366566,0.65366566,0.65366566,0.65366566,1,1,1,1,0.85,0.85
2049,0.65024021,0.65024021,0.65024021,0.65024021,1,1,1,1,0.85,0.85
2050,0.64681476,0.64681476,0.64681476,0.64681476,1,1,1,1,0.85,0.85
