tech,years_from_now
battery_2,0
battery_4,0
battery_6,0
battery_8,0
battery_10,0
battery_12,0
battery_24,0
battery_48,0
battery_72,0
battery_100,0
biopower,2
beccs_mod,4
beccs_max,4
caes,2
can-imports,500
coal-CCS_mod,4
coal-CCS_max,4
coal-CCS-F1*coal-CCS-F3,4
Coal-IGCC,2
coal-new,2
CoalOldScr,500
CoalOldUns,500
CofireNew,2
CofireOld,500
csp1_1*csp1_12,2
csp2_1*csp2_12,2
csp3_1*csp3_12,2
csp4_1*csp4_12,2
dr1_1*dr1_20,0
dr2_1*dr2_20,0
evmc_storage_1*evmc_storage_10,0
evmc_shape_1*evmc_shape_10,0
egs_allkm_1*egs_allkm_10,8
distpv,0
dupv_1*dupv_10,0
Gas-CC,0
Gas-CC-CCS_mod,4
Gas-CC-CCS_max,4
Gas-CC-CCS-F1*Gas-CC-CCS-F3,4
Gas-CT,0
H2-CT,2
H2-CC,2
geohydro_allkm_1*geohydro_allkm_10,2
geothermal,2
pvb1_1*pvb1_10,0
pvb2_1*pvb2_10,0
pvb3_1*pvb3_10,0
hydD,2
hydED,2
hydEND,2
hydND,2
hydNPD,2
hydNPND,2
Hydro,2
hydSD,2
hydSND,2
hydUD,2
hydUND,2
ice,2
lfill-gas,500
MHKwave,2
egs_nearfield_1*egs_nearfield_10,2
Nuclear,8
Nuclear-SMR,8
Ocean,500
o-g-s,500
pumped-hydro,2
pumped-hydro-flex,2
upv_1*upv_10,0
wind-ofs_1*wind-ofs_10,4
wind-ons_1*wind-ons_10,0
electrolyzer,0
smr,0
smr_ccs,0
dac,2
dac_gas,2
