i,t,capcost,fom,vom,rte,,,,
battery_2,2010,2500,62.5,0,0.85,,,,
battery_2,2011,2500,62.5,0,0.85,,,,
battery_2,2012,2500,62.5,0,0.85,,,,
battery_2,2013,2500,62.5,0,0.85,,,,
battery_2,2014,2500,62.5,0,0.85,,,,
battery_2,2015,2500,62.5,0,0.85,,,,
battery_2,2016,2500,62.5,0,0.85,,,,
battery_2,2017,2500,62.5,0,0.85,,,,
battery_2,2018,1076.171875,26.90429688,0,0.85,,,,
battery_2,2019,959.2449363,23.98112341,0,0.85,,,,
battery_2,2020,842.3179977,21.05794994,0,0.85,,,,
battery_2,2021,777.9955324,19.44988831,0,0.85,,,,
battery_2,2022,713.6730671,17.84182668,0,0.85,,,,
battery_2,2023,649.3506018,16.23376505,0,0.85,,,,
battery_2,2024,585.0281366,14.62570341,0,0.85,,,,
battery_2,2025,520.7056713,13.01764178,0,0.85,,,,
battery_2,2026,487.0129514,12.17532378,0,0.85,,,,
battery_2,2027,453.3202315,11.33300579,0,0.85,,,,
battery_2,2028,419.6275116,10.49068779,0,0.85,,,,
battery_2,2029,385.9347917,9.648369791,0,0.85,,,,
battery_2,2030,352.2420717,8.806051794,0,0.85,,,,
battery_2,2031,345.350379,8.633759476,0,0.85,,,,
battery_2,2032,338.4586863,8.461467158,0,0.85,,,,
battery_2,2033,331.5669936,8.289174841,0,0.85,,,,
battery_2,2034,324.6753009,8.116882523,0,0.85,,,,
battery_2,2035,317.7836082,7.944590205,0,0.85,,,,
battery_2,2036,310.8919155,7.772297887,0,0.85,,,,
battery_2,2037,304.0002228,7.60000557,0,0.85,,,,
battery_2,2038,297.1085301,7.427713252,0,0.85,,,,
battery_2,2039,290.2168374,7.255420934,0,0.85,,,,
battery_2,2040,283.3251447,7.083128617,0,0.85,,,,
battery_2,2041,276.433452,6.910836299,0,0.85,,,,
battery_2,2042,269.5417593,6.738543981,0,0.85,,,,
battery_2,2043,262.6500665,6.566251664,0,0.85,,,,
battery_2,2044,255.7583738,6.393959346,0,0.85,,,,
battery_2,2045,248.8666811,6.221667028,0,0.85,,,,
battery_2,2046,241.9749884,6.04937471,0,0.85,,,,
battery_2,2047,235.0832957,5.877082393,0,0.85,,,,
battery_2,2048,228.191603,5.704790075,0,0.85,,,,
battery_2,2049,221.2999103,5.532497757,0,0.85,,,,
battery_2,2050,214.4082176,5.36020544,0,0.85,,,,
battery_4,2010,3843.426862,96.08567155,0,0.85,,,,
battery_4,2011,3564.986893,89.12467233,0,0.85,,,,
battery_4,2012,3286.546922,82.16367305,0,0.85,,,,
battery_4,2013,3008.106951,75.20267378,0,0.85,,,,
battery_4,2014,2729.666981,68.24167453,0,0.85,,,,
battery_4,2015,2451.22701,61.28067525,0,0.85,,,,
battery_4,2016,2321.018417,58.02546043,0,0.85,,,,
battery_4,2017,2190.809824,54.7702456,0,0.85,,,,
battery_4,2018,1484.375,37.109375,0,0.85,,,,
battery_4,2019,1323.096464,33.0774116,0,0.85,,,,
battery_4,2020,1161.817928,29.0454482,0,0.85,,,,
battery_4,2021,1073.097286,26.82743215,0,0.85,,,,
battery_4,2022,984.3766443,24.60941611,0,0.85,,,,
battery_4,2023,895.6560025,22.39140006,0,0.85,,,,
battery_4,2024,806.9353608,20.17338402,0,0.85,,,,
battery_4,2025,718.214719,17.95536798,0,0.85,,,,
battery_4,2026,671.7420019,16.79355005,0,0.85,,,,
battery_4,2027,625.2692848,15.63173212,0,0.85,,,,
battery_4,2028,578.7965677,14.46991419,0,0.85,,,,
