i,t,capcost,fom,vom,heatrate
H2-CC,2010,1255.37976,31.24999,1.991758,6.5375
H2-CC,2011,1250.34313,31.24999,1.991758,6.518111
H2-CC,2012,1245.3065,31.24999,1.991758,6.498722
H2-CC,2013,1240.26987,31.24999,1.991758,6.479333
H2-CC,2014,1235.23324,31.24999,1.991758,6.459944
H2-CC,2015,1230.19661,31.24999,1.991758,6.440556
H2-CC,2016,1225.15999,31.24999,1.991758,6.421167
H2-CC,2017,1220.12336,31.24999,1.991758,6.401778
H2-CC,2018,1215.08673,31.24999,1.991758,6.382389
H2-CC,2019,1210.0501,31.24999,1.991758,6.363
H2-CC,2020,1177.89045,31.66068,1.967485,6.363
H2-CC,2021,1326.2832,33.588,2.1168,6.363
H2-CC,2022,1369.94,34.5,2.17,6.363
H2-CC,2023,1358.17,34.1,2.15,6.348
H2-CC,2024,1346.29,33.8,2.14,6.332
H2-CC,2025,1334.41,33.5,2.12,6.316
H2-CC,2026,1322.64,33.1,2.1,6.3
H2-CC,2027,1310.76,32.8,2.09,6.285
H2-CC,2028,1298.88,32.4,2.07,6.269
H2-CC,2029,1287.11,32.1,2.06,6.253
H2-CC,2030,1275.23,31.8,2.04,6.238
H2-CC,2031,1263.35,31.4,2.02,6.222
H2-CC,2032,1251.58,31.1,2.01,6.206
H2-CC,2033,1239.7,30.7,1.99,6.19
H2-CC,2034,1227.82,30.4,1.98,6.175
H2-CC,2035,1216.05,30.1,1.96,6.159
H2-CC,2036,1206.04,29.8,1.95,6.159
H2-CC,2037,1196.03,29.6,1.94,6.159
H2-CC,2038,1186.02,29.4,1.93,6.159
H2-CC,2039,1175.9,29.2,1.91,6.159
H2-CC,2040,1165.89,29,1.9,6.159
H2-CC,2041,1155.88,28.7,1.89,6.159
H2-CC,2042,1145.87,28.5,1.88,6.159
H2-CC,2043,1135.86,28.3,1.87,6.159
H2-CC,2044,1125.85,28.1,1.86,6.159
H2-CC,2045,1115.84,27.8,1.85,6.159
H2-CC,2046,1105.83,27.6,1.83,6.159
H2-CC,2047,1095.82,27.4,1.82,6.159
H2-CC,2048,1085.81,27.2,1.81,6.159
H2-CC,2049,1075.8,27,1.8,6.159
H2-CC,2050,1065.79,26.7,1.79,6.159
H2-CT,2010,1165.9796,23.92399,5.654761,10.2225
H2-CT,2011,1155.90634,23.92399,5.654761,10.16633
H2-CT,2012,1145.83308,23.92399,5.654761,10.11017
H2-CT,2013,1135.75982,23.92399,5.654761,10.054
H2-CT,2014,1125.68656,23.92399,5.654761,9.997833
H2-CT,2015,1115.61331,23.92399,5.654761,9.941667
H2-CT,2016,1105.54005,23.92399,5.654761,9.8855
H2-CT,2017,1095.46679,23.92399,5.654761,9.829333
H2-CT,2018,1085.39353,23.92399,5.654761,9.773167
H2-CT,2019,1075.32027,23.92399,5.654761,9.717
H2-CT,2020,1046.04632,23.74551,5.585849,9.717
H2-CT,2021,1191.0888,25.92,6.9552,9.717
H2-CT,2022,1221.44,26.1,6.94,9.717
H2-CT,2023,1211.76,26,6.94,9.717
H2-CT,2024,1202.08,25.8,6.94,9.717
H2-CT,2025,1192.4,25.7,6.94,9.717
H2-CT,2026,1182.72,25.6,6.94,9.717
H2-CT,2027,1173.04,25.4,6.94,9.717
H2-CT,2028,1163.36,25.3,6.94,9.717
H2-CT,2029,1153.79,25.1,6.94,9.717
H2-CT,2030,1144.11,25,6.94,9.717
H2-CT,2031,1134.43,24.8,6.94,9.717
H2-CT,2032,1124.75,24.7,6.94,9.717
H2-CT,2033,1115.07,24.5,6.94,9.717
H2-CT,2034,1105.39,24.4,6.94,9.717
H2-CT,2035,1095.71,24.2,6.94,9.717
H2-CT,2036,1086.03,24.1,6.94,9.717
H2-CT,2037,1076.46,23.9,6.94,9.717
H2-CT,2038,1066.78,23.8,6.94,9.717
H2-CT,2039,1057.1,23.7,6.94,9.717
H2-CT,2040,1047.42,23.5,6.94,9.717
H2-CT,2041,1037.74,23.4,6.94,9.717
H2-CT,2042,1028.06,23.2,6.94,9.717
H2-CT,2043,1018.38,23.1,6.94,9.717
H2-CT,2044,1008.7,22.9,6.94,9.717
H2-CT,2045,999.13,22.8,6.94,9.717
H2-CT,2046,989.45,22.6,6.94,9.717
H2-CT,2047,979.77,22.5,6.94,9.717
H2-CT,2048,970.09,22.3,6.94,9.717
H2-CT,2049,960.41,22.2,6.94,9.717
H2-CT,2050,950.73,22,6.94,9.717
