i,pre2010,post2010
Geothermal,1,1
Hydro,1,1
Biopower,1,1
beccs_mod,1,1
beccs_max,1,1
Nuclear,1,1
Nuclear-SMR,1,1
nuclear-stor1,1,1
nuclear-stor2,1,1
nuclear-stor3,1,1
nuclear-stor4,1,1
gas-CT ,1,1.039104223
gas-CC ,1,1.076422072
Gas-CC-CCS_mod,1,1.076422072
Gas-CC-CCS_max,1,1.076422072
gas-CC-CCS-F1,1,1
gas-CC-CCS-F2,1,1
gas-CC-CCS-F3,1,1
CoalOldScr,1,1.066148263
CoalOldUns,1,1.066148263
coal-new,1,1.066148263
coal-IGCC,1,1.066148263
coal-CCS_mod,1,1.066148263
coal-CCS_max,1,1.066148263
coal-CCS-F1,1,1.066148263
coal-CCS-F2,1,1.066148263
coal-CCS-F3,1,1.066148263
o-g-s,1,0.874765767
CofireOld,1,1.066148263
CofireNew,1,1.066148263
lfill-gas,1,1
ocean,1,1
distpv,1,1
H2-CT,1,1.039104223
H2-CC ,1,1.199888
