,stor_eff,stor_dur,co2_eff_90,co2_eff_95,pow_lim
Gas-CC-CCS-F1,0,0,3.131594797,3.305572286,0.098086124
Gas-CC-CCS-F2,1,1,3.131594797,3.305572286,0.098086124
Gas-CC-CCS-F3,0,0,3.131594797,3.305572286,0.098086124
coal-CCS-F1,0,0,3.131594797,3.305572286,0.098086124
coal-CCS-F2,1,1,3.131594797,3.305572286,0.098086124
coal-CCS-F3,0,0,3.131594797,3.305572286,0.098086124
