Turbine,Year,CF_mult,Overnight Cap Cost $/kW,Fixed O&M $/(kW-yr),Var O&M $/MWh
115hh_170rd,2010,0.61277,2639.12325,47.01292,0.0
115hh_170rd,2011,0.60304,2466.78385,47.01292,0.0
115hh_170rd,2012,0.69848,2294.44446,47.01292,0.0
115hh_170rd,2013,0.79294,2157.98645,47.01292,0.0
115hh_170rd,2014,0.87144,2021.52845,47.01292,0.0
115hh_170rd,2015,0.82324,1909.53503,47.01292,0.0
115hh_170rd,2016,0.89312,1797.54161,47.01292,0.0
115hh_170rd,2017,0.85843,1795.05224,47.01292,0.0
115hh_170rd,2018,0.92017,1649.67472,47.01292,0.0
115hh_170rd,2019,0.85963,1504.29721,47.01292,0.0
115hh_170rd,2020,0.83469,1517.57908,46.44,0.0
115hh_170rd,2021,0.76975,1386.59368,32.724,0.0
115hh_170rd,2022,0.93873,1471.55594,32.44305,0.0
115hh_170rd,2023,0.94588,1585.2649,32.04564,0.0
115hh_170rd,2024,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2025,0.96019,1380.33787,31.25082,0.0
115hh_170rd,2026,0.96735,1349.93185,30.85341,0.0
115hh_170rd,2027,0.97451,1319.52583,30.456,0.0
115hh_170rd,2028,0.98166,1289.1198,30.05859,0.0
115hh_170rd,2029,0.98882,1258.71378,29.66118,0.0
115hh_170rd,2030,0.99597,1228.30776,29.26377,0.0
115hh_170rd,2031,0.99678,1214.48436,29.06326,0.0
115hh_170rd,2032,0.99758,1200.66096,28.86275,0.0
115hh_170rd,2033,0.99839,1186.83756,28.66224,0.0
115hh_170rd,2034,0.99919,1173.01416,28.46173,0.0
115hh_170rd,2035,1.0,1159.19077,28.26122,0.0
115hh_170rd,2036,1.00081,1145.36737,28.06071,0.0
115hh_170rd,2037,1.00161,1131.54397,27.8602,0.0
115hh_170rd,2038,1.00242,1117.72057,27.65968,0.0
115hh_170rd,2039,1.00322,1103.89717,27.45917,0.0
115hh_170rd,2040,1.00403,1090.07377,27.25866,0.0
115hh_170rd,2041,1.00483,1076.25037,27.05815,0.0
115hh_170rd,2042,1.00564,1062.42698,26.85764,0.0
115hh_170rd,2043,1.00644,1048.60358,26.65713,0.0
115hh_170rd,2044,1.00725,1034.78018,26.45662,0.0
115hh_170rd,2045,1.00805,1020.95678,26.25611,0.0
115hh_170rd,2046,1.00886,1007.13338,26.0556,0.0
115hh_170rd,2047,1.00966,993.30998,25.85509,0.0
115hh_170rd,2048,1.01047,979.48658,25.65457,0.0
115hh_170rd,2049,1.01127,965.66318,25.45406,0.0
115hh_170rd,2050,1.01208,951.83978,25.25355,0.0
