t,capcost,fom,vom,cf_improvement
2010,6605.993722,33.02996861,0,1
2011,6135.395108,32.46821112,0,1
2012,5664.796491,31.90645362,0,1
2013,3931.582865,31.3446961,0,1
2014,2958.484284,30.78293861,0,1
2015,2953.824676,30.22118111,0,1
2016,2572.117079,29.65942361,0,1
2017,1573.779998,28.5359086,0,1
2018,1508.455989,26.39723605,0,1
2019,1443.131979,24.25856349,0,1
2020,1363.978252,23.68655638,0,1
2021,1245.815082,22.52890893,0,1
2022,1325.335194,22.00463197,0,1.003893008
2023,1284.948348,21.49550771,0,1.007786016
2024,1244.561503,20.98833559,0,1.011679024
2025,1204.174657,20.48303681,0,1.015572032
2026,1163.787811,19.97953676,0,1.01946504
2027,1123.400966,19.47776475,0,1.023358048
2028,1083.01412,18.97765372,0,1.027251056
2029,1042.627274,18.47914006,0,1.031144064
2030,1002.240428,17.98216336,0,1.035037072
2031,961.8535827,17.48666621,0,1.03893008
2032,921.466737,16.99259403,0,1.042823088
2033,881.0798913,16.4998949,0,1.046716096
2034,840.6930455,16.00851938,0,1.050609104
2035,800.3061998,15.51842039,0,1.054502113
2036,787.6474367,15.38361428,0,1.055862702
2037,774.9886735,15.24881067,0,1.057223292
2038,762.3299103,15.11400957,0,1.058583881
2039,749.6711472,14.97921098,0,1.059944471
2040,737.012384,14.84441491,0,1.06130506
2041,724.3536208,14.70962135,0,1.06266565
2042,711.6948576,14.57483032,0,1.064026239
2043,699.0360945,14.44004181,0,1.065386829
2044,686.3773313,14.30525584,0,1.066747419
2045,673.7185681,14.1704724,0,1.068108008
2046,661.059805,14.0356915,0,1.069468598
2047,648.4010418,13.90091314,0,1.070829187
2048,635.7422786,13.76613733,0,1.072189777
2049,623.0835155,13.63136407,0,1.073550366
2050,610.4247523,13.49659337,0,1.074910956
