prime_mover,month,outage_frac
combined_cycle,1,0.0496
combined_cycle,2,0.06961
combined_cycle,3,0.17743
combined_cycle,4,0.23327
combined_cycle,5,0.15447
combined_cycle,6,0.04521
combined_cycle,7,0.01808
combined_cycle,8,0.01515
combined_cycle,9,0.05695
combined_cycle,10,0.19701
combined_cycle,11,0.17632
combined_cycle,12,0.07656
combustion_turbine,1,0.04457
combustion_turbine,2,0.05451
combustion_turbine,3,0.1017
combustion_turbine,4,0.12688
combustion_turbine,5,0.0932
combustion_turbine,6,0.03464
combustion_turbine,7,0.01639
combustion_turbine,8,0.0155
combustion_turbine,9,0.05378
combustion_turbine,10,0.13647
combustion_turbine,11,0.11799
combustion_turbine,12,0.07181
hydro_and_psh,1,0.11685
hydro_and_psh,2,0.12327
hydro_and_psh,3,0.13783
hydro_and_psh,4,0.13129
hydro_and_psh,5,0.11009
hydro_and_psh,6,0.08876
hydro_and_psh,7,0.08487
hydro_and_psh,8,0.09808
hydro_and_psh,9,0.1363
hydro_and_psh,10,0.18336
hydro_and_psh,11,0.1696
hydro_and_psh,12,0.12906
nuclear,1,0.01335
nuclear,2,0.04917
nuclear,3,0.11843
nuclear,4,0.16695
nuclear,5,0.10408
nuclear,6,0.02935
nuclear,7,0.00917
nuclear,8,0.01137
nuclear,9,0.05637
nuclear,10,0.15546
nuclear,11,0.09816
nuclear,12,0.02846
steam,1,0.07354
steam,2,0.09885
steam,3,0.20531
steam,4,0.26494
steam,5,0.19819
steam,6,0.07222
steam,7,0.03739
steam,8,0.03939
steam,9,0.10394
steam,10,0.21942
steam,11,0.20269
steam,12,0.109
