,reg,flex,spin
biopower,3.24,0,0
beccs_mod,3.24,0,0
beccs_max,3.24,0,0
coal-CCS_mod,10.13,0,0
coal-CCS_max,10.13,0,0
coal-CCS-F1,10.13,0,0
coal-CCS-F2,10.13,0,0
coal-CCS-F3,10.13,0,0
Coal-IGCC,10.13,0,0
coal-new,10.13,0,0
CoalOldScr,10.13,0,0
CoalOldUns,10.13,0,0
CofireNew,10.13,0,0
CofireOld,10.13,0,0
Gas-CC,4.86,0,0
Gas-CC-CCS_mod,4.86,0,0
Gas-CC-CCS_max,4.86,0,0
Gas-CC-CCS-F1,4.86,0,0
Gas-CC-CCS-F2,4.86,0,0
Gas-CC-CCS-F3,4.86,0,0
Gas-CT,3.24,0,0
geothermal,3.24,0,0
Hydro,1.62,0,0
lfill-gas,3.24,0,0
nuclear,10.13,0,0
nuclear-SMR,10.13,0,0
o-g-s,3.24,0,0
pumped-hydro,1.62,0,0
pumped-hydro-flex,1.62,0,0
hydD,1.62,0,0
hydND,1.62,0,0
hydSD,1.62,0,0
hydSND,1.62,0,0
hydUD,1.62,0,0
hydUND,1.62,0,0
hydNPD,1.62,0,0
hydNPND,1.62,0,0
hydED,1.62,0,0
hydEND,1.62,0,0
RE-CT,3.24,0,0
csp1_1,3.24,0,0
csp1_2,3.24,0,0
csp1_3,3.24,0,0
csp1_4,3.24,0,0
csp1_5,3.24,0,0
csp1_6,3.24,0,0
csp1_7,3.24,0,0
csp1_8,3.24,0,0
csp1_9,3.24,0,0
csp1_10,3.24,0,0
csp1_11,3.24,0,0
csp1_12,3.24,0,0
csp2_1,3.24,0,0
csp2_2,3.24,0,0
csp2_3,3.24,0,0
csp2_4,3.24,0,0
csp2_5,3.24,0,0
csp2_6,3.24,0,0
csp2_7,3.24,0,0
csp2_8,3.24,0,0
csp2_9,3.24,0,0
csp2_10,3.24,0,0
csp2_11,3.24,0,0
csp2_12,3.24,0,0
csp3_1,3.24,0,0
csp3_2,3.24,0,0
csp3_3,3.24,0,0
csp3_4,3.24,0,0
csp3_5,3.24,0,0
csp3_6,3.24,0,0
csp3_7,3.24,0,0
csp3_8,3.24,0,0
csp3_9,3.24,0,0
csp3_10,3.24,0,0
csp3_11,3.24,0,0
csp3_12,3.24,0,0
csp4_1,3.24,0,0
csp4_2,3.24,0,0
csp4_3,3.24,0,0
csp4_4,3.24,0,0
csp4_5,3.24,0,0
csp4_6,3.24,0,0
csp4_7,3.24,0,0
csp4_8,3.24,0,0
csp4_9,3.24,0,0
csp4_10,3.24,0,0
csp4_11,3.24,0,0
csp4_12,3.24,0,0
