t,capcost,fom,vom,cf_improvement
2010,6605.993722,33.02996861,0,1
2011,6135.395108,32.46821112,0,1
2012,5664.796491,31.90645362,0,1
2013,3931.582865,31.3446961,0,1
2014,2958.484284,30.78293861,0,1
2015,2953.824676,30.22118111,0,1
2016,2572.117079,29.65942361,0,1
2017,1573.779998,28.5359086,0,1
2018,1508.455989,26.39723605,0,1
2019,1443.131979,24.25856349,0,1
2020,1363.978252,23.68655638,0,1
2021,1245.815082,22.52890893,0,1
2022,1325.335194,22.00463197,0,1
2023,1305.158609,21.74324228,0,1
2024,1284.982024,21.48255441,0,1
2025,1264.805439,21.22255122,0,1
2026,1244.628854,20.96321616,0,1
2027,1224.452269,20.70453318,0,1
2028,1204.275683,20.44648675,0,1
2029,1184.099098,20.18906182,0,1
2030,1163.922513,19.93224383,0,1
2031,1143.745928,19.67601865,0,1
2032,1123.569343,19.42037261,0,1
2033,1103.392758,19.16529242,0,1
2034,1083.216173,18.91076524,0,1
2035,1063.039588,18.65677857,0,1
2036,1045.524029,18.46594929,0,1.003633474
2037,1028.008469,18.2751205,0,1.007266948
2038,1010.49291,18.08429219,0,1.010900423
2039,992.977351,17.89346437,0,1.014533897
2040,975.4617918,17.70263703,0,1.018167371
2041,957.9462326,17.51181017,0,1.021800845
2042,940.4306734,17.3209838,0,1.025434319
2043,922.9151142,17.1301579,0,1.029067793
2044,905.399555,16.9393325,0,1.032701268
2045,887.8839958,16.74850757,0,1.036334742
2046,870.3684366,16.55768313,0,1.039968216
2047,852.8528774,16.36685916,0,1.04360169
2048,835.3373182,16.17603568,0,1.047235164
2049,817.821759,15.98521268,0,1.050868638
2050,800.3061998,15.79439016,0,1.054502113
