*r,i,MMBtu/MWh
p60,biopower,9.737
p60,coal-new,14.8277838
p60,CoalOldScr,9.790193
p60,Coal-IGCC,7.8215742
p61,biopower,21.818
p62,biopower,7.5605628
p62,coal-new,11.988
p62,Coal-IGCC,12.3228176
p63,biopower,10.0
p63,coal-new,10.3443546
p63,CoalOldScr,10.6065844
p63,CoalOldUns,7.4466354
p63,Gas-CC,10.8749042
p63,Gas-CT,10.7791527
p63,Coal-IGCC,9.7798318
p63,CofireOld,9.7837838
p63,CofireNew,12.1141487
p64,biopower,10.8938412
p64,coal-new,10.9324766
p64,CoalOldScr,10.1742424
p64,CoalOldUns,10.4493038
p64,Coal-IGCC,7.4220237
p65,biopower,10.15
p65,coal-new,10.758139
p65,CoalOldScr,7.497408
p65,CoalOldUns,10.2130512
p65,Gas-CC,10.3680857
p65,Coal-IGCC,11.1178749
p65,CofireOld,10.6084386
p65,CofireNew,10.0540541
p67,biopower,9.998
p67,coal-new,7.9672947
p67,CoalOldScr,13.4139693
p67,CoalOldUns,9.2413255
p67,Coal-IGCC,10.2894596
p67,CofireNew,10.3183239
p1,biopower,10.2164948
p1,coal-new,10.8883212
p1,CoalOldScr,9.2941176
p1,CoalOldUns,12.0
p1,Coal-IGCC,7.8818888
p10,biopower,10.7109453
p10,coal-new,7.3827015
p10,CoalOldScr,11.9319452
p10,CoalOldUns,21.0
p10,Coal-IGCC,10.4352679
p10,CofireOld,10.4837219
p10,CofireNew,11.0260979
p101,biopower,13.7352992
p101,coal-new,10.245
p101,CoalOldScr,9.7761897
p101,CoalOldUns,9.9449102
p101,Gas-CC,11.7229566
p101,Gas-CT,10.5978535
p101,lfill-gas,10.5039278
p101,Coal-IGCC,9.35
p101,geothermal,10.67
p101,CofireOld,7.3764828
p101,CofireNew,10.0
p102,biopower,10.3570067
p102,coal-new,7.2437056
p102,CoalOldScr,14.1597539
p102,CoalOldUns,10.6383803
p102,Coal-IGCC,10.0
p102,CofireOld,10.2493687
p102,CofireNew,10.1852191
p103,biopower,13.6707655
p103,coal-new,10.2613593
p103,CoalOldScr,8.2288587
p103,CoalOldUns,12.1122168
p103,Gas-CC,10.2544899
p103,Coal-IGCC,9.6465317
p103,CofireOld,10.615
p103,CofireNew,10.0397606
p104,biopower,7.1
p104,coal-new,10.6587437
p104,Coal-IGCC,13.0116316
p105,biopower,8.9
p105,coal-new,10.2039817
p105,CoalOldScr,7.2863392
p105,CoalOldUns,12.439767
p105,Gas-CC,11.4850746
p105,Coal-IGCC,10.8801084
p105,CofireOld,10.9604588
p105,CofireNew,9.254902
p106,biopower,10.0
p106,coal-new,8.8
p106,CoalOldScr,11.7601506
p106,CoalOldUns,9.5418848
p106,Coal-IGCC,10.6045022
p107,biopower,9.8882313
p107,coal-new,7.174
p107,CoalOldScr,11.7439097
p107,CoalOldUns,11.5565678
p107,Coal-IGCC,10.1851762
p107,CofireNew,10.6126154
p108,biopower,10.4577573
p108,coal-new,13.2
p108,Coal-IGCC,10.3956637
p109,biopower,8.6789621
p109,coal-new,10.2083836
p109,CoalOldScr,11.437159
p109,CoalOldUns,9.1904762
p109,Coal-IGCC,9.9319537
p109,CofireNew,10.385
p11,biopower,7.2314022
p11,coal-new,9.8553345
p11,CoalOldScr,9.949
p11,CoalOldUns,11.0952254
p11,Coal-IGCC,12.1250114
p110,biopower,9.24
p110,coal-new,9.574
p110,Coal-IGCC,11.611
p111,biopower,10.5
p111,coal-new,10.1731675
p111,CoalOldScr,7.1
p111,CoalOldUns,12.062495
p111,Gas-CC,9.9424908
p111,Coal-IGCC,9.5245155
p111,CofireOld,10.5031856
p111,CofireNew,8.8024691
p112,biopower,9.0
p112,coal-new,10.2532419
p112,CoalOldScr,7.101808
p112,CoalOldUns,11.5639381
p112,Coal-IGCC,9.611392
p112,CofireOld,9.9616812
p112,CofireNew,9.0
p113,biopower,11.9332082
p113,coal-new,10.4
p113,Coal-IGCC,13.6997599
p114,biopower,9.4467851
p114,coal-new,12.5174166
p114,CoalOldScr,13.2968938
p114,Coal-IGCC,9.6616738
p115,biopower,9.4900916
p115,coal-new,7.4353346
p115,CoalOldScr,10.7369261
p115,CoalOldUns,9.0
p115,Coal-IGCC,10.4736074
p115,CofireOld,13.5048107
p115,CofireNew,11.1154908
p116,biopower,9.3427717
p116,coal-new,10.8457731
p116,Coal-IGCC,10.8605911
p117,biopower,9.534693
p117,coal-new,11.2199
p117,Coal-IGCC,9.3969437
p118,biopower,9.5927094
p118,coal-new,9.0
p118,Coal-IGCC,10.2350303
p119,biopower,13.5
p12,biopower,9.789
p12,coal-new,9.798
p12,CoalOldScr,7.3893029
p12,CoalOldUns,11.7408692
p12,Coal-IGCC,10.557
p12,CofireOld,10.8022325
p12,CofireNew,21.0
p120,biopower,10.1301352
p120,Coal-IGCC,9.0
p121,biopower,10.0
p121,coal-new,10.0
p121,Coal-IGCC,11.1252696
p122,biopower,11.0
p122,coal-new,9.7787601
p122,CoalOldScr,10.3280257
p122,CoalOldUns,10.5
p122,Gas-CC,10.3996752
p122,Gas-CT,10.930874
p122,Coal-IGCC,9.9940269
p122,geothermal,11.0313641
p122,CofireOld,13.0187825
p122,CofireNew,7.579979
p123,biopower,9.959241
p123,coal-new,7.837
p123,CoalOldScr,12.6593872
p123,CoalOldUns,10.56401
p123,Coal-IGCC,10.4909245
p123,CofireOld,10.842262
p123,CofireNew,11.1663603
p124,biopower,10.8828389
p124,Coal-IGCC,9.6434437
p125,biopower,9.043
p125,coal-new,8.3065
p125,CoalOldScr,12.2968206
p125,CoalOldUns,9.0
p125,Coal-IGCC,11.2031547
p125,CofireNew,10.7869
p126,biopower,7.1
p126,coal-new,11.5116471
p126,CoalOldScr,7.9061082
p126,CoalOldUns,13.7495227
p126,Gas-CC,11.3386804
p126,Coal-IGCC,10.4515142
p126,CofireOld,10.9440463
p126,CofireNew,10.2750269
p127,biopower,11.7441365
p127,coal-new,9.8951173
p127,CoalOldScr,11.0395016
p127,CoalOldUns,10.413
p127,Gas-CC,10.2436852
p127,Gas-CT,10.5333125
p127,Coal-IGCC,10.0
p127,geothermal,10.5856682
p127,CofireOld,13.405272
p127,CofireNew,7.5413959
p128,biopower,7.6884964
p128,coal-new,10.852551
p128,CoalOldScr,10.5546362
p128,Coal-IGCC,12.5092597
p129,biopower,13.6741667
p129,coal-new,9.0
p129,CoalOldScr,10.145
p129,CoalOldUns,9.9528038
p129,Coal-IGCC,14.6790937
p13,biopower,11.039
p13,coal-new,7.4802433
p13,CoalOldScr,10.8135081
p13,CoalOldUns,10.0
p13,Coal-IGCC,10.46877
p130,biopower,12.3803229
p130,coal-new,12.5948182
p130,CoalOldScr,7.1
p130,CoalOldUns,14.3644417
p130,Gas-CC,9.114
p130,Coal-IGCC,10.0784276
p130,CofireOld,10.399
p130,CofireNew,10.5802057
p131,biopower,10.6678634
p131,coal-new,10.1798207
p131,CoalOldScr,7.6158527
p131,CoalOldUns,13.7466695
p131,Gas-CC,10.6851272
p131,Coal-IGCC,9.924888
p131,CofireOld,10.201
p131,CofireNew,10.8043553
p132,biopower,10.1446952
p132,coal-new,11.9440612
p132,CoalOldScr,10.7876856
p132,CoalOldUns,10.3344045
p132,Coal-IGCC,7.4032298
p132,CofireNew,11.1118464
p133,biopower,7.6654184
p133,coal-new,9.7675112
p133,Coal-IGCC,9.6455696
p134,biopower,10.8748866
p134,coal-new,10.8744881
p134,CoalOldScr,11.0
p134,CoalOldUns,10.105553
p134,Coal-IGCC,7.1015639
p136,biopower,7.1421795
p137,biopower,10.5
p137,coal-new,9.63
p137,Coal-IGCC,7.3
p139,biopower,10.5
p14,biopower,11.0
p14,coal-new,10.2555
p14,Coal-IGCC,7.1
p140,biopower,10.0
p140,coal-new,10.0
p140,Coal-IGCC,7.3525469
p141,biopower,8.797
p141,coal-new,7.9268341
p141,CoalOldScr,11.1991328
p141,CoalOldUns,12.6
p141,Coal-IGCC,9.9711721
p142,biopower,10.0
p142,coal-new,7.9792523
p142,CoalOldScr,10.7660017
p142,CoalOldUns,10.0
p142,Coal-IGCC,10.1789742
p143,biopower,10.0
p143,coal-new,12.6
p143,Coal-IGCC,11.0
p144,biopower,10.0
p144,coal-new,12.7
p144,Coal-IGCC,10.0
p145,biopower,7.5386996
p145,Coal-IGCC,9.5
p146,biopower,10.0
p146,coal-new,12.3385834
p146,CoalOldScr,10.5
p146,Coal-IGCC,7.2472832
p147,biopower,8.3493871
p147,coal-new,10.0
p147,Coal-IGCC,9.0
p148,biopower,13.075
p148,Coal-IGCC,10.5
p15,biopower,10.2340426
p15,coal-new,10.4098096
p15,CoalOldScr,11.0
p15,CoalOldUns,13.317
p15,Coal-IGCC,7.8
p150,biopower,7.1
p150,coal-new,11.6778523
p150,Coal-IGCC,10.5
p152,biopower,10.8109037
p152,coal-new,7.3
p152,CoalOldScr,12.6205626
p152,CoalOldUns,10.5
p152,Coal-IGCC,9.9537192
p152,CofireNew,10.1059964
p153,biopower,9.5
p153,coal-new,10.5
p153,Coal-IGCC,10.0
p155,biopower,10.4780328
p156,biopower,11.3513514
p156,Coal-IGCC,12.5
p157,biopower,7.2023299
p157,Coal-IGCC,10.5
p158,biopower,7.1
p159,biopower,10.8677686
p16,biopower,21.0
p160,biopower,10.5
p162,biopower,10.0795455
p163,biopower,7.1
p163,Coal-IGCC,10.25
p165,biopower,7.2972222
p165,coal-new,10.0
p165,Coal-IGCC,11.0
p166,biopower,7.0
p167,biopower,7.3769231
p167,Coal-IGCC,10.0
p168,biopower,10.0
p168,Coal-IGCC,10.0
p17,biopower,9.078
p171,biopower,7.2079615
p171,Coal-IGCC,9.9326024
p172,biopower,7.4702169
p172,Coal-IGCC,12.5
p173,biopower,7.406
p174,biopower,9.5
p175,biopower,7.1240148
p175,coal-new,9.0447876
p175,Coal-IGCC,11.0
p176,biopower,7.15
p18,biopower,9.5
p181,biopower,10.0
p182,biopower,10.0288684
p183,biopower,10.0
p185,biopower,9.0
p185,Coal-IGCC,10.0
p186,biopower,7.4738707
p187,biopower,8.0
p187,coal-new,9.9699916
p187,Coal-IGCC,9.3
p188,biopower,7.3247339
p188,Coal-IGCC,10.0
p189,biopower,8.0
p189,Coal-IGCC,10.5
p190,biopower,7.0
p194,biopower,9.3
p197,biopower,7.4
p197,Coal-IGCC,9.5
p198,biopower,7.246783
p198,Coal-IGCC,11.9329897
p2,biopower,11.4915
p2,coal-new,9.8
p2,CoalOldScr,10.611
p2,Coal-IGCC,7.1863123
p20,biopower,10.5
p20,coal-new,10.908
p20,Coal-IGCC,11.0088718
p200,biopower,13.2
p201,biopower,7.1
