t,capcost,fom,vom,cf_improvement
2010,6122.472678,30.61236339,0,1
2011,5686.319196,30.09172334,0,1
2012,5250.165713,29.57108328,0,1
2013,3643.813434,29.05044321,0,1
2014,2741.940117,28.52980316,0,1
2015,2737.621565,28.0091631,0,1
2016,2383.852786,27.48852305,0,1
2017,1458.588283,26.44724293,0,1
2018,1565.881911,18.76,0,1
2019,1375.377679,16.08,0,1.019
2020,1296.39509,15.51241988,0,1.038
2021,1217.412501,14.56732907,0,1.057
2022,1138.429912,13.62223827,0,1.076
2023,1059.447324,12.67714746,0,1.095
2024,980.4647347,11.73205665,0,1.114
2025,901.4821459,10.78696585,0,1.133
2026,822.499557,9.841875041,0,1.153
2027,743.5169682,8.896784235,0,1.172
2028,664.5343793,7.951693428,0,1.191
2029,585.5517905,7.006602621,0,1.21
2030,506.5692017,6.061511815,0,1.229
2031,500.6082044,5.990183643,0,1.229
2032,494.6472072,5.91885547,0,1.229
2033,488.6862099,5.847527298,0,1.229
2034,482.7252127,5.776199126,0,1.229
2035,476.7642154,5.704870954,0,1.229
2036,470.8032182,5.633542782,0,1.229
2037,464.842221,5.56221461,0,1.229
2038,458.8812237,5.490886438,0,1.229
2039,452.9202265,5.419558265,0,1.229
2040,446.9592292,5.348230093,0,1.229
2041,440.998232,5.276901921,0,1.229
2042,435.0372347,5.205573749,0,1.229
2043,429.0762375,5.134245577,0,1.229
2044,423.1152403,5.062917405,0,1.229
2045,417.154243,4.991589233,0,1.229
2046,411.1932458,4.920261061,0,1.229
2047,405.2322485,4.848932888,0,1.229
2048,399.2712513,4.777604716,0,1.229
2049,393.310254,4.706276544,0,1.229
2050,387.3492568,4.634948372,0,1.229
