t,capcost,fom,vom
2010,4504.616308,22.52308154,0
2011,4183.715882,21.39692746,0
2012,3862.815456,20.27077339,0
2013,2680.939921,19.14461931,0
2014,2017.385591,17.341547,0
2015,2014.208212,15.6864632,0
2016,1753.922426,14.0313794,0
2017,1195.512312,9.564098492,0
2018,1200.612582,9.201855722,0
2019,1193.458962,8.804804563,0
2020,1084.254765,8.089227824,0
2021,993.9705613,7.532913875,0
2022,913.1676899,7.451479,0
2023,881.2555156,7.370044125,0
2024,871.0761562,7.28860925,0
2025,860.8967968,7.207174375,0
2026,850.7174375,7.1257395,0
2027,840.5380781,7.044304625,0
2028,830.3587187,6.96286975,0
2029,820.1793594,6.881434875,0
2030,810,6.8,0
2031,803,6.744,0
2032,796,6.688,0
2033,789,6.632,0
2034,782,6.576,0
2035,775,6.52,0
2036,768,6.464,0
2037,761,6.408,0
2038,754,6.352,0
2039,747,6.296,0
2040,740,6.24,0
2041,732,6.176,0
2042,724,6.112,0
2043,716,6.048,0
2044,708,5.984,0
2045,700,5.92,0
2046,692,5.856,0
2047,684,5.792,0
2048,676,5.728,0
2049,668,5.664,0
2050,660,5.6,0
