t,capcost,fom,vom,cf_improvement
2010,4599.21325,22.99606625,0,1
2011,4271.573915,22.60496044,0,1
2012,3943.93458,22.21385463,0,1
2013,2737.239659,21.82274881,0,1
2014,2059.750689,21.431643,0,1
2015,2056.506584,21.04053719,0,1
2016,1790.754797,20.64943138,0,1
2017,1095.694323,19.86721975,0,1
2018,1099.66478,13.8028681,0,1
2019,1080.311553,12.96373863,0,1
2020,1060,12.72,0,1
2021,1040,12.48,0,1
2022,1018.888889,12.22666667,0,1
2023,997.7777778,11.97333333,0,1
2024,976.6666667,11.72,0,1
2025,955.5555556,11.46666667,0,1
2026,934.4444444,11.21333333,0,1
2027,913.3333333,10.96,0,1
2028,892.2222222,10.70666667,0,1
2029,871.1111111,10.45333333,0,1
2030,850,10.2,0,1
2031,840.5764624,10.08691755,0,1
2032,831.1529247,9.973835096,0,1
2033,821.7293871,9.860752645,0,1
2034,812.3058494,9.747670193,0,1
2035,802.8823118,9.634587741,0,1
2036,793.4587741,9.521505289,0,1
2037,784.0352365,9.408422838,0,1
2038,774.6116988,9.295340386,0,1
2039,765.1881612,9.182257934,0,1
2040,755.7646235,9.069175482,0,1
2041,747.5941952,8.971130342,0,1
2042,739.4237668,8.873085202,0,1
2043,731.2533384,8.775040061,0,1
2044,723.0829101,8.676994921,0,1
2045,714.9124817,8.578949781,0,1
2046,706.7420534,8.48090464,0,1
2047,698.571625,8.3828595,0,1
2048,690.4011966,8.28481436,0,1
2049,682.2307683,8.186769219,0,1
2050,674.0603399,8.088724079,0,1
