type,t,capcost,fom,vom
csp1,2010,9729.55,68.7,4.2
csp1,2011,9729.55,68.7,4.2
csp1,2012,9729.55,68.7,4.2
csp1,2013,9729.55,68.7,4.2
csp1,2014,9310.57,68.3,4.2
csp1,2015,9240.44,68.3,4.1
csp1,2016,8818.94,68.3,4.1
csp1,2017,8205.65,63.8,4
csp1,2018,7590.86,59.4,3.8
csp1,2019,6977.57,54.9,3.6
csp1,2020,6362.61,50.4,3.4
csp1,2021,6010.72,49.4,3.4
csp1,2022,5658.56,48.4,3.3
csp1,2023,5305,47.3,3.3
csp1,2024,4953.11,46.3,3.3
csp1,2025,4599.65,45.2,3.2
csp1,2026,4247.49,44.2,3.2
csp1,2027,3895.6,43.1,3.1
csp1,2028,3542.04,42.1,3.1
csp1,2029,3189.98,41,3
csp1,2030,2838.09,40,3
csp1,2031,2779.45,40,3
csp1,2032,2722.38,40,3
csp1,2033,2665.41,40,3
csp1,2034,2607.04,40,3
csp1,2035,2550.07,40,3
csp1,2036,2491.43,40,3
csp1,2037,2434.36,40,3
csp1,2038,2377.39,40,3
csp1,2039,2319.02,40,3
csp1,2040,2262.05,40,3
csp1,2041,2203.41,40,3
csp1,2042,2146.34,40,3
csp1,2043,2089.37,40,3
csp1,2044,2031,40,3
csp1,2045,1974.03,40,3
csp1,2046,1916.79,40,3
csp1,2047,1858.32,40,3
csp1,2048,1801.35,40,3
csp1,2049,1742.98,40,3
csp1,2050,1686.01,40,3
csp2,2010,8566,68.7,4.2
csp2,2011,8566,68.7,4.2
csp2,2012,8566,68.7,4.2
csp2,2013,8566,68.7,4.2
csp2,2014,8299.94,68.3,4.2
csp2,2015,8236.48,68.3,4.1
csp2,2016,7863.78,68.3,4.1
csp2,2017,7316.8,63.8,4
csp2,2018,6768.72,59.4,3.8
csp2,2019,6221.74,54.9,3.6
csp2,2020,5673.52,50.4,3.4
csp2,2021,5362.84,49.4,3.4
csp2,2022,5051.92,48.4,3.3
csp2,2023,4740,47.3,3.3
csp2,2024,4429.32,46.3,3.3
csp2,2025,4117.5,45.2,3.2
csp2,2026,3806.58,44.2,3.2
csp2,2027,3495.9,43.1,3.1
csp2,2028,3183.98,42.1,3.1
csp2,2029,2873.16,41,3
csp2,2030,2562.48,40,3
csp2,2031,2509.7,40,3
csp2,2032,2458.06,40,3
csp2,2033,2406.52,40,3
csp2,2034,2353.98,40,3
csp2,2035,2302.44,40,3
csp2,2036,2249.66,40,3
csp2,2037,2198.02,40,3
csp2,2038,2146.48,40,3
csp2,2039,2093.94,40,3
csp2,2040,2042.4,40,3
csp2,2041,1989.62,40,3
csp2,2042,1937.98,40,3
csp2,2043,1886.44,40,3
csp2,2044,1833.9,40,3
csp2,2045,1782.36,40,3
csp2,2046,1730.58,40,3
csp2,2047,1677.94,40,3
csp2,2048,1626.4,40,3
csp2,2049,1573.86,40,3
csp2,2050,1522.32,40,3
csp3,2010,5819.7,68.7,4.2
csp3,2011,5819.7,68.7,4.2
csp3,2012,5819.7,68.7,4.2
csp3,2013,5819.7,68.7,4.2
csp3,2014,5812.8,68.3,4.2
csp3,2015,5768.8,68.3,4.1
csp3,2016,5534.5,68.3,4.1
csp3,2017,5149.6,63.8,4
csp3,2018,4763.7,59.4,3.8
csp3,2019,4378.8,54.9,3.6
csp3,2020,3993.0,50.4,3.4
csp3,2021,3789.1,49.4,3.4
csp3,2022,3585.0,48.4,3.3
csp3,2023,3380.2,47.3,3.3
csp3,2024,3176.3,46.3,3.3
csp3,2025,2971.6,45.2,3.2
csp3,2026,2767.5,44.2,3.2
csp3,2027,2563.6,43.1,3.1
csp3,2028,2358.8,42.1,3.1
csp3,2029,2154.8,41,3
csp3,2030,1950.9,40,3
csp3,2031,1910.8,40,3
csp3,2032,1871.4,40,3
csp3,2033,1832.2,40,3
csp3,2034,1792.2,40,3
csp3,2035,1752.9,40,3
csp3,2036,1712.8,40,3
csp3,2037,1673.4,40,3
csp3,2038,1634.2,40,3
csp3,2039,1594.2,40,3
csp3,2040,1555.0,40,3
csp3,2041,1514.8,40,3
csp3,2042,1475.5,40,3
csp3,2043,1436.2,40,3
csp3,2044,1396.2,40,3
csp3,2045,1357.0,40,3
csp3,2046,1317.6,40,3
