i,t,capcost,capcost_energy,fom,fom_energy,vom,rte
tes_ms,2010,0.1,0.1,0.1,0.1,0.1,0.377
tes_ms,2011,0.1,0.1,0.1,0.1,0.1,0.379
tes_ms,2012,0.1,0.1,0.1,0.1,0.1,0.381
tes_ms,2013,0.1,0.1,0.1,0.1,0.1,0.383
tes_ms,2014,0.1,0.1,0.1,0.1,0.1,0.385
tes_ms,2015,0.1,0.1,0.1,0.1,0.1,0.387
tes_ms,2016,0.1,0.1,0.1,0.1,0.1,0.389
tes_ms,2017,0.1,0.1,0.1,0.1,0.1,0.391
tes_ms,2018,0.1,0.1,0.1,0.1,0.1,0.393
tes_ms,2019,0.1,0.1,0.1,0.1,0.1,0.395
tes_ms,2020,0.1,0.1,0.1,0.1,0.1,0.397
tes_ms,2021,0.1,0.1,0.1,0.1,0.1,0.4045
tes_ms,2022,0.1,0.1,0.1,0.1,0.1,0.412
tes_ms,2023,0.1,0.1,0.1,0.1,0.1,0.41925
tes_ms,2024,0.1,0.1,0.1,0.1,0.1,0.4265
tes_ms,2025,0.1,0.1,0.1,0.1,0.1,0.43375
tes_ms,2026,0.1,0.1,0.1,0.1,0.1,0.441
tes_ms,2027,0.1,0.1,0.1,0.1,0.1,0.44825
tes_ms,2028,0.1,0.1,0.1,0.1,0.1,0.4555
tes_ms,2029,0.1,0.1,0.1,0.1,0.1,0.46275
tes_ms,2030,0.1,0.1,0.1,0.1,0.1,0.47
tes_ms,2031,0.1,0.1,0.1,0.1,0.1,0.47
tes_ms,2032,0.1,0.1,0.1,0.1,0.1,0.47
tes_ms,2033,0.1,0.1,0.1,0.1,0.1,0.47
tes_ms,2034,0.1,0.1,0.1,0.1,0.1,0.47
tes_ms,2035,0.1,0.1,0.1,0.1,0.1,0.47
tes_ms,2036,0.1,0.1,0.1,0.1,0.1,0.47
tes_ms,2037,0.1,0.1,0.1,0.1,0.1,0.47
tes_ms,2038,0.1,0.1,0.1,0.1,0.1,0.47
tes_ms,2039,0.1,0.1,0.1,0.1,0.1,0.47
tes_ms,2040,0.1,0.1,0.1,0.1,0.1,0.47
tes_ms,2041,0.1,0.1,0.1,0.1,0.1,0.47
tes_ms,2042,0.1,0.1,0.1,0.1,0.1,0.47
tes_ms,2043,0.1,0.1,0.1,0.1,0.1,0.47
tes_ms,2044,0.1,0.1,0.1,0.1,0.1,0.47
tes_ms,2045,0.1,0.1,0.1,0.1,0.1,0.47
tes_ms,2046,0.1,0.1,0.1,0.1,0.1,0.47
tes_ms,2047,0.1,0.1,0.1,0.1,0.1,0.47
tes_ms,2048,0.1,0.1,0.1,0.1,0.1,0.47
tes_ms,2049,0.1,0.1,0.1,0.1,0.1,0.47
tes_ms,2050,0.1,0.1,0.1,0.1,0.1,0.47
