Turbine,Year,CF_mult,Overnight Cap Cost $/kW,Fixed O&M $/(kW-yr),Var O&M $/MWh,rsc_mult
fixed,2010,0.94619,5237.4605,90.9107,0.0,1.0
fixed,2011,0.94619,5237.4605,90.9107,0.0,1.0
fixed,2012,0.94619,5237.4605,90.9107,0.0,1.0
fixed,2013,0.94619,5237.4605,90.9107,0.0,1.0
fixed,2014,0.94619,5237.4605,90.9107,0.0,1.0
fixed,2015,0.94619,5237.4605,90.9107,0.0,1.0
fixed,2016,0.94619,5237.4605,90.9107,0.0,1.0
fixed,2017,0.94619,5237.4605,90.9107,0.0,1.0
fixed,2018,0.94619,5237.4605,90.9107,0.0,1.0
fixed,2019,0.94619,5237.4605,90.9107,0.0,1.0
fixed,2020,0.94619,5237.4605,90.9107,0.0,1.0
fixed,2021,0.94619,5237.4605,90.9107,0.0,1.0
fixed,2022,0.94619,6359.77347,90.9107,0.0,1.0
fixed,2023,0.94742,6328.72545,90.40735,0.0,1.0
fixed,2024,0.94854,6300.43738,89.94874,0.0,1.0
fixed,2025,0.94957,6274.47476,89.52783,0.0,1.0
fixed,2026,0.95052,6250.4971,89.13911,0.0,1.0
fixed,2027,0.9514,6228.2328,88.77816,0.0,1.0
fixed,2028,0.95223,6207.46182,88.44142,0.0,1.0
fixed,2029,0.953,6188.00345,88.12596,0.0,1.0
fixed,2030,0.95373,5733.25253,87.82934,0.0,1.0
fixed,2031,0.95576,5245.4103,86.99625,0.0,1.0
fixed,2032,0.9575,4765.08577,86.28504,0.0,1.0
fixed,2033,0.95902,4290.42013,85.66556,0.0,1.0
fixed,2034,0.96036,3820.16243,85.11755,0.0,1.0
fixed,2035,0.96156,3353.43158,84.62672,0.0,1.0
fixed,2036,0.96237,3333.06052,84.29646,0.0,1.0
fixed,2037,0.96312,3314.04412,83.98817,0.0,1.0
fixed,2038,0.96383,3296.21978,83.6992,0.0,1.0
fixed,2039,0.9645,3279.45218,83.42736,0.0,1.0
fixed,2040,0.96512,3263.62756,83.17081,0.0,1.0
fixed,2041,0.96572,3248.64933,82.92798,0.0,1.0
fixed,2042,0.96628,3234.43487,82.69754,0.0,1.0
fixed,2043,0.96682,3220.91295,82.47832,0.0,1.0
fixed,2044,0.96733,3208.02171,82.26933,0.0,1.0
fixed,2045,0.96782,3195.70716,82.06968,0.0,1.0
fixed,2046,0.96829,3183.92184,81.87862,0.0,1.0
fixed,2047,0.96873,3172.62385,81.69545,0.0,1.0
fixed,2048,0.96916,3161.77603,81.51959,0.0,1.0
fixed,2049,0.96958,3151.34525,81.35048,0.0,1.0
fixed,2050,0.96998,3141.30185,81.18766,0.0,1.0
floating,2010,0.94619,15115.56463,81.5295,0.0,1.0
floating,2011,0.94619,15115.56463,81.5295,0.0,1.0
floating,2012,0.94619,15115.56463,81.5295,0.0,1.0
floating,2013,0.94619,15115.56463,81.5295,0.0,1.0
floating,2014,0.94619,15115.56463,81.5295,0.0,1.0
floating,2015,0.94619,15115.56463,81.5295,0.0,1.0
floating,2016,0.94619,15115.56463,81.5295,0.0,1.0
floating,2017,0.94619,15115.56463,81.5295,0.0,1.0
floating,2018,0.94619,15115.56463,81.5295,0.0,1.0
floating,2019,0.94619,15115.56463,81.5295,0.0,1.0
floating,2020,0.94619,15115.56463,81.5295,0.0,1.0
floating,2021,0.94619,15115.56463,81.5295,0.0,1.0
floating,2022,0.94619,16679.24373,81.5295,0.0,1.0
floating,2023,0.94742,15201.41551,77.74446,0.0,1.0
floating,2024,0.94854,14509.81355,75.97312,0.0,1.0
floating,2025,0.94957,14064.92972,74.83367,0.0,1.0
floating,2026,0.95052,13740.20065,74.00197,0.0,1.0
floating,2027,0.9514,13486.1424,73.35127,0.0,1.0
floating,2028,0.95223,13278.40941,72.81922,0.0,1.0
floating,2029,0.953,13103.27806,72.37067,0.0,1.0
floating,2030,0.95373,12344.17704,71.98392,0.0,1.0
floating,2031,0.95576,11044.99548,70.2139,0.0,1.0
floating,2032,0.9575,10030.90113,69.17406,0.0,1.0
floating,2033,0.95902,9138.74526,68.44652,0.0,1.0
floating,2034,0.96036,8313.83734,67.89122,0.0,1.0
floating,2035,0.96156,7531.32197,67.4445,0.0,1.0
floating,2036,0.96237,7140.82026,66.44434,0.0,1.0
floating,2037,0.96312,6876.09696,65.76633,0.0,1.0
floating,2038,0.96383,6677.53887,65.25778,0.0,1.0
floating,2039,0.9645,6519.5689,64.85318,0.0,1.0
floating,2040,0.96512,6388.92632,64.51858,0.0,1.0
floating,2041,0.96572,6277.87652,64.23416,0.0,1.0
floating,2042,0.96628,6181.52694,63.98738,0.0,1.0
floating,2043,0.96682,6096.59298,63.76985,0.0,1.0
floating,2044,0.96733,6020.76664,63.57564,0.0,1.0
floating,2045,0.96782,5952.3664,63.40045,0.0,1.0
floating,2046,0.96829,5890.1307,63.24105,0.0,1.0
floating,2047,0.96873,5833.08973,63.09496,0.0,1.0
floating,2048,0.96916,5780.48248,62.96022,0.0,1.0
floating,2049,0.96958,5731.70126,62.83528,0.0,1.0
floating,2050,0.96998,5686.25339,62.71888,0.0,1.0
