tech,hours
battery_li,24
beccs_max,38
beccs_mid,38
beccs_mod,38
beccs,38
biopower,38
can-imports,24
coal-ccs_mod,55
coal-igcc_coal-ccs_max,55
coal-igcc_coal-ccs_mod,55
coal-igcc,55
coal-new_coal-ccs_max,55
coal-new_coal-ccs_mod,55
coal-new,55
coaloldscr_coal-ccs_max,55
coaloldscr_coal-ccs_mod,55
coaloldscr,55
coalolduns_coal-ccs_max,55
coalolduns_coal-ccs_mod,55
coalolduns_coal-ccs,55
coalolduns,55
cofirenew,55
cofireold,55
csp-ns,24
csp1_1,24
csp1_10,24
csp1_11,24
csp1_12,24
csp1_2,24
csp1_3,24
csp1_4,24
csp1_5,24
csp1_6,24
csp1_7,24
csp1_8,24
csp1_9,24
csp2_1,24
csp2_10,24
csp2_11,24
csp2_12,24
csp2_2,24
csp2_3,24
csp2_4,24
csp2_5,24
csp2_6,24
csp2_7,24
csp2_8,24
csp2_9,24
egs_nearfield_1,24
egs_nearfield_2,24
egs_nearfield_3,24
egs_nearfield_4,24
egs_nearfield_5,24
egs_nearfield_6,24
egs_nearfield_7,24
egs_nearfield_8,24
egs_nearfield_9,24
gas-cc_gas-cc-ccs_max,48
gas-cc_gas-cc-ccs_mod,48
gas-cc_gas-cc-ccs,48
gas-cc_h2-ct,48
gas-cc_re-cc,48
gas-cc-ccs_max,48
gas-cc-ccs_mod,48
gas-cc-ccs,48
gas-cc-nsp,48
gas-cc,48
gas-ct_h2-ct,48
gas-ct_re-ct,48
gas-ct-nsp,48
gas-ct,48
geohydro_allkm_1,24
geohydro_allkm_2,24
geohydro_allkm_3,24
geohydro_allkm_4,24
geohydro_allkm_5,24
geohydro_allkm_6,24
geohydro_allkm_7,24
geohydro_allkm_8,24
geohydro_allkm_9,24
geothermal,24
h2-cc,48
h2-ct,48
hydd,24
hyded,24
hydend,24
hydnd,24
hydnpd,24
hydnpnd,24
hydsd,24
hydsnd,24
hydud,24
hydund,24
lfill-gas,38
nuclear-smr,298
nuclear,298
o-g-s,48
pumped-hydro,24
re-cc,48
re-ct,48
