,geohydro_pflash,geohydro_pbinary,undisc_pflash,undisc_pbinary,NF-EGS_pflash,NF-EGS_pbinary,deep-egs_pflash,deep-egs_pbinary
2010,1,1,1,1,1,1,1,1
2011,1,1,1,1,1,1,1,1
2012,1,1,1,1,1,1,1,1
2013,1,1,1,1,1,1,1,1
2014,1,1,1,1,1,1,1,1
2015,1,1,1,1,1,1,1,1
2016,1,1,1,1,1,1,1,1
2017,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998
2018,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
2019,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993
2020,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
2021,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988
2022,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985
2023,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983
2024,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
2025,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978
2026,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
2027,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973
2028,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
2029,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.968
2030,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965
2031,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963
2032,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
2033,0.958,0.958,0.958,0.958,0.958,0.958,0.958,0.958
2034,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955
2035,0.953,0.953,0.953,0.953,0.953,0.953,0.953,0.953
2036,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
2037,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948
2038,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945
2039,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943
2040,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94
2041,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938
2042,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935
2043,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933
2044,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
2045,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928
2046,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925
2047,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923
2048,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
2049,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918
2050,0.915,0.915,0.915,0.915,0.915,0.915,0.915,0.915
