Turbine,Year,CF_mult,Overnight Cap Cost $/kW,Fixed O&M $/(kW-yr),Var O&M $/MWh
115hh_170rd,2010,0.61277,2639.12325,47.01292,0.0
115hh_170rd,2011,0.60304,2466.78385,47.01292,0.0
115hh_170rd,2012,0.69848,2294.44446,47.01292,0.0
115hh_170rd,2013,0.79294,2157.98645,47.01292,0.0
115hh_170rd,2014,0.87144,2021.52845,47.01292,0.0
115hh_170rd,2015,0.82324,1909.53503,47.01292,0.0
115hh_170rd,2016,0.89312,1797.54161,47.01292,0.0
115hh_170rd,2017,0.85843,1795.05224,47.01292,0.0
115hh_170rd,2018,0.92017,1649.67472,47.01292,0.0
115hh_170rd,2019,0.85963,1504.29721,47.01292,0.0
115hh_170rd,2020,0.83469,1517.57908,46.44,0.0
115hh_170rd,2021,0.76975,1386.59368,32.724,0.0
115hh_170rd,2022,0.94599,1471.55594,32.44305,0.0
115hh_170rd,2023,0.9605,1576.66682,31.67697,0.0
115hh_170rd,2024,0.97509,1464.86657,30.9109,0.0
115hh_170rd,2025,0.98977,1356.88856,30.14482,0.0
115hh_170rd,2026,1.00453,1318.6661,29.37875,0.0
115hh_170rd,2027,1.01938,1280.44364,28.61268,0.0
115hh_170rd,2028,1.03431,1242.22117,27.8466,0.0
115hh_170rd,2029,1.04933,1203.99871,27.08053,0.0
115hh_170rd,2030,1.06444,1165.77625,26.31445,0.0
115hh_170rd,2031,1.06516,1150.13924,25.81844,0.0
115hh_170rd,2032,1.06587,1134.50222,25.32242,0.0
115hh_170rd,2033,1.06659,1118.8652,24.82641,0.0
115hh_170rd,2034,1.0673,1103.22819,24.3304,0.0
115hh_170rd,2035,1.06802,1087.59117,23.83438,0.0
115hh_170rd,2036,1.06873,1071.95415,23.33837,0.0
115hh_170rd,2037,1.06945,1056.31714,22.84235,0.0
115hh_170rd,2038,1.07016,1040.68012,22.34634,0.0
115hh_170rd,2039,1.07088,1025.0431,21.85032,0.0
115hh_170rd,2040,1.07159,1009.40609,21.35431,0.0
115hh_170rd,2041,1.07231,993.76907,20.85829,0.0
115hh_170rd,2042,1.07302,978.13205,20.36228,0.0
115hh_170rd,2043,1.07374,962.49504,19.86627,0.0
115hh_170rd,2044,1.07445,946.85802,19.37025,0.0
115hh_170rd,2045,1.07517,931.221,18.87424,0.0
115hh_170rd,2046,1.07588,915.58399,18.37822,0.0
115hh_170rd,2047,1.0766,899.94697,17.88221,0.0
115hh_170rd,2048,1.07731,884.30995,17.38619,0.0
115hh_170rd,2049,1.07803,868.67294,16.89018,0.0
115hh_170rd,2050,1.07875,853.03592,16.39416,0.0
