type,t,capcost,fom,vom
csp1,2010,10118.39247,83.63396315,4.892457604
csp1,2011,10118.39247,83.63396315,4.892457604
csp1,2012,10118.39247,83.63396315,4.892457604
csp1,2013,10118.39247,83.63396315,4.892457604
csp1,2014,10118.39247,83.63396315,4.892457604
csp1,2015,10118.39247,83.63396315,4.892457604
csp1,2016,10118.39247,83.63396315,4.892457604
csp1,2017,10118.39247,83.63396315,4.892457604
csp1,2018,9655.056558,83.63396315,4.807945152
csp1,2019,9205.528937,83.63396315,4.807945152
csp1,2020,8731.09044,83.63396315,4.621539781
csp1,2021,8256.651943,83.63396315,4.43513441
csp1,2022,8233.260436,83.63375731,4.435123494
csp1,2023,8233.260436,83.63375731,4.435123494
csp1,2024,8233.260436,83.63375731,4.435123494
csp1,2025,8233.260436,83.63375731,4.435123494
csp1,2026,8233.260436,83.63375731,4.435123494
csp1,2027,8233.260436,83.63375731,4.435123494
csp1,2028,8233.260436,83.63375731,4.435123494
csp1,2029,8233.260436,83.63375731,4.435123494
csp1,2030,8233.260436,83.63375731,4.435123494
csp1,2031,8233.260436,83.63375731,4.435123494
csp1,2032,8233.260436,83.63375731,4.435123494
csp1,2033,8233.260436,83.63375731,4.435123494
csp1,2034,8233.260436,83.63375731,4.435123494
csp1,2035,8233.260436,83.63375731,4.435123494
csp1,2036,8233.260436,83.63375731,4.435123494
csp1,2037,8233.260436,83.63375731,4.435123494
csp1,2038,8233.260436,83.63375731,4.435123494
csp1,2039,8233.260436,83.63375731,4.435123494
csp1,2040,8233.260436,83.63375731,4.435123494
csp1,2041,8233.260436,83.63375731,4.435123494
csp1,2042,8233.260436,83.63375731,4.435123494
csp1,2043,8233.260436,83.63375731,4.435123494
csp1,2044,8233.260436,83.63375731,4.435123494
csp1,2045,8233.260436,83.63375731,4.435123494
csp1,2046,8233.260436,83.63375731,4.435123494
csp1,2047,8233.260436,83.63375731,4.435123494
csp1,2048,8233.260436,83.63375731,4.435123494
csp1,2049,8233.260436,83.63375731,4.435123494
csp1,2050,8233.260436,83.63375731,4.435123494
csp2,2010,9022.519272,78.75663459,4.892457604
csp2,2011,9022.519272,78.75663459,4.892457604
csp2,2012,9022.519272,78.75663459,4.892457604
csp2,2013,9022.519272,78.75663459,4.892457604
csp2,2014,9022.519272,78.75663459,4.892457604
csp2,2015,9022.519272,78.75663459,4.892457604
csp2,2016,9022.519272,78.75663459,4.892457604
csp2,2017,9022.519272,78.75663459,4.892457604
csp2,2018,8605.929835,77.39619026,4.807945152
csp2,2019,7448.628019,75.10677024,4.006648147
csp2,2020,7408.195726,74.86846512,3.982154074
csp2,2021,7367.763433,74.63016,3.95766
csp2,2022,7346.908275,74.63016,3.95766
csp2,2023,7346.908275,74.63016,3.95766
csp2,2024,7346.908275,74.63016,3.95766
csp2,2025,7346.908275,74.63016,3.95766
csp2,2026,7346.908275,74.63016,3.95766
csp2,2027,7346.908275,74.63016,3.95766
csp2,2028,7346.908275,74.63016,3.95766
csp2,2029,7346.908275,74.63016,3.95766
csp2,2030,7346.908275,74.63016,3.95766
csp2,2031,7346.908275,74.63016,3.95766
csp2,2032,7346.908275,74.63016,3.95766
csp2,2033,7346.908275,74.63016,3.95766
csp2,2034,7346.908275,74.63016,3.95766
csp2,2035,7346.908275,74.63016,3.95766
csp2,2036,7346.908275,74.63016,3.95766
csp2,2037,7346.908275,74.63016,3.95766
csp2,2038,7346.908275,74.63016,3.95766
csp2,2039,7346.908275,74.63016,3.95766
csp2,2040,7346.908275,74.63016,3.95766
csp2,2041,7346.908275,74.63016,3.95766
csp2,2042,7346.908275,74.63016,3.95766
csp2,2043,7346.908275,74.63016,3.95766
csp2,2044,7346.908275,74.63016,3.95766
csp2,2045,7346.908275,74.63016,3.95766
csp2,2046,7346.908275,74.63016,3.95766
csp2,2047,7346.908275,74.63016,3.95766
csp2,2048,7346.908275,74.63016,3.95766
csp2,2049,7346.908275,74.63016,3.95766
csp2,2050,7346.908275,74.63016,3.95766
csp3,2010,6378.213448,78.75663459,4.892457604
csp3,2011,6378.213448,78.75663459,4.892457604
csp3,2012,6378.213448,78.75663459,4.892457604
csp3,2013,6378.213448,78.75663459,4.892457604
csp3,2014,6378.213448,78.75663459,4.892457604
csp3,2015,6378.213448,78.75663459,4.892457604
