i,t,capcost,fom,vom,heatrate
coal-CCS_mod,2010,5125.032,131.868,15.8652,10.938
coal-CCS_mod,2011,5125.032,131.868,15.8652,10.938
coal-CCS_mod,2012,5125.032,131.868,15.8652,10.938
coal-CCS_mod,2013,5125.032,131.868,15.8652,10.938
coal-CCS_mod,2014,5125.032,131.868,15.8652,10.938
coal-CCS_mod,2015,5125.032,131.868,15.8652,10.938
coal-CCS_mod,2016,5125.032,131.868,15.8652,10.938
coal-CCS_mod,2017,5125.032,131.868,15.8652,10.938
coal-CCS_mod,2018,5125.032,131.868,15.8652,10.938
coal-CCS_mod,2019,5125.032,131.868,15.8652,10.938
coal-CCS_mod,2020,5125.032,131.868,15.8652,10.938
coal-CCS_mod,2021,5125.032,131.868,15.8652,10.938
coal-CCS_mod,2022,5312.5,137.2,16.12,10.938
coal-CCS_mod,2023,5236.4,135.5,15.88,10.825
coal-CCS_mod,2024,5160.3,133.7,15.64,10.713
coal-CCS_mod,2025,5084.3,132.0,15.4,10.601
coal-CCS_mod,2026,5008.2,130.3,15.16,10.488
coal-CCS_mod,2027,4932.1,128.5,14.92,10.376
coal-CCS_mod,2028,4856.0,126.8,14.68,10.263
coal-CCS_mod,2029,4779.9,125.0,14.44,10.151
coal-CCS_mod,2030,4703.8,123.3,14.2,10.038
coal-CCS_mod,2031,4627.7,121.5,13.95,9.926
coal-CCS_mod,2032,4551.6,119.8,13.71,9.813
coal-CCS_mod,2033,4399.4,116.3,13.23,9.588
coal-CCS_mod,2034,4323.3,114.5,12.99,9.476
coal-CCS_mod,2035,4323.3,114.5,12.99,9.476
coal-CCS_mod,2036,4274.2,113.4,12.94,9.476
coal-CCS_mod,2037,4225.0,112.2,12.89,9.476
coal-CCS_mod,2038,4175.8,111.1,12.83,9.476
coal-CCS_mod,2039,4126.6,110.0,12.78,9.476
coal-CCS_mod,2040,4077.4,108.8,12.73,9.476
coal-CCS_mod,2041,4028.2,107.7,12.68,9.476
coal-CCS_mod,2042,3979.0,106.5,12.62,9.476
coal-CCS_mod,2043,3929.8,105.4,12.57,9.476
coal-CCS_mod,2044,3880.6,104.3,12.52,9.476
coal-CCS_mod,2045,3831.4,103.1,12.47,9.476
coal-CCS_mod,2046,3782.2,102.0,12.41,9.476
coal-CCS_mod,2047,3733.0,100.8,12.36,9.476
coal-CCS_mod,2048,3683.8,99.7,12.31,9.476
coal-CCS_mod,2049,3634.6,98.6,12.26,9.476
coal-CCS_mod,2050,3585.4,97.4,12.2,9.476
