i,t,capcost,fom,vom,heatrate
RE-CT,2010,1196.138603,11.6,4.58,10.2225
RE-CT,2011,1190.654453,11.6,4.58,10.16785714
RE-CT,2012,1185.170303,11.6,4.58,10.11321429
RE-CT,2013,1179.686152,11.6,4.58,10.05857143
RE-CT,2014,1174.202002,11.6,4.58,10.00392857
RE-CT,2015,1168.717851,11.6,4.58,9.949285714
RE-CT,2016,1163.233701,11.6,4.58,9.894642857
RE-CT,2017,1157.749551,11.6,4.58,9.5145
RE-CT,2018,1152.2654,11.6,4.58,9.5145
RE-CT,2019,1146.78125,11.6,4.58,9.5145
RE-CT,2020,1141.297099,11.6,4.58,9.5145
RE-CT,2021,1135.812949,11.6,4.58,9.5145
RE-CT,2022,1130.328799,11.6,4.58,9.5145
RE-CT,2023,1117.33955,11.6,4.58,9.5145
RE-CT,2024,1097.255984,11.6,4.58,9.5145
RE-CT,2025,1083.994842,11.6,4.58,9.5145
RE-CT,2026,1075.995127,11.6,4.58,9.5145
RE-CT,2027,1067.360579,11.6,4.58,9.5145
RE-CT,2028,1061.725644,11.6,4.58,9.5145
RE-CT,2029,1057.93173,11.6,4.58,9.5145
RE-CT,2030,1052.657981,11.6,4.58,9.5145
RE-CT,2031,1048.138658,11.6,4.58,9.5145
RE-CT,2032,1043.304086,11.6,4.58,9.5145
RE-CT,2033,1037.786172,11.6,4.58,9.5145
RE-CT,2034,1033.797629,11.6,4.58,9.5145
RE-CT,2035,1030.921686,11.6,4.58,9.5145
RE-CT,2036,1027.032385,11.6,4.58,9.5145
RE-CT,2037,1024.643304,11.6,4.58,9.5145
RE-CT,2038,1021.866439,11.6,4.58,9.5145
RE-CT,2039,1018.293345,11.6,4.58,9.5145
RE-CT,2040,1014.523942,11.6,4.58,9.5145
RE-CT,2041,1012.530767,11.6,4.58,9.5145
RE-CT,2042,1009.144685,11.6,4.58,9.5145
RE-CT,2043,1006.452236,11.6,4.58,9.5145
RE-CT,2044,1003.712307,11.6,4.58,9.5145
RE-CT,2045,1001.53632,11.6,4.58,9.5145
RE-CT,2046,997.5336449,11.6,4.58,9.5145
RE-CT,2047,994.848271,11.6,4.58,9.5145
RE-CT,2048,992.1218268,11.6,4.58,9.5145
RE-CT,2049,989.3746092,11.6,4.58,9.5145
RE-CT,2050,978.1061698,11.6,4.58,9.5145
RE-CC,2010,1682.242732,11.6,4.58,9.5145
RE-CC,2011,1668.870731,11.6,4.58,9.5145
RE-CC,2012,1655.49873,11.6,4.58,9.5145
RE-CC,2013,1642.126729,11.6,4.58,9.5145
RE-CC,2014,1628.754728,11.6,4.58,9.5145
RE-CC,2015,1615.382728,11.6,4.58,9.5145
RE-CC,2016,1602.010727,11.6,4.58,9.5145
RE-CC,2017,1588.638726,11.6,4.58,9.5145
RE-CC,2018,1575.266726,11.6,4.58,9.5145
RE-CC,2019,1561.894725,11.6,4.58,9.5145
RE-CC,2020,1548.522724,11.6,4.58,9.5145
RE-CC,2021,1535.150723,11.6,4.58,9.5145
RE-CC,2022,1521.778722,11.6,4.58,9.5145
RE-CC,2023,1505.071123,11.6,4.58,9.5145
RE-CC,2024,1482.283139,11.6,4.58,9.5145
RE-CC,2025,1466.456827,11.6,4.58,9.5145
RE-CC,2026,1457.026149,11.6,4.58,9.5145
RE-CC,2027,1446.731189,11.6,4.58,9.5145
RE-CC,2028,1439.909837,11.6,4.58,9.5145
RE-CC,2029,1435.077562,11.6,4.58,9.5145
RE-CC,2030,1428.335565,11.6,4.58,9.5145
RE-CC,2031,1422.502043,11.6,4.58,9.5145
RE-CC,2032,1416.23177,11.6,4.58,9.5145
RE-CC,2033,1409.160256,11.6,4.58,9.5145
RE-CC,2034,1404.066427,11.6,4.58,9.5145
RE-CC,2035,1400.143028,11.6,4.58,9.5145
RE-CC,2036,1394.741858,11.6,4.58,9.5145
RE-CC,2037,1391.378029,11.6,4.58,9.5145
RE-CC,2038,1387.487489,11.6,4.58,9.5145
RE-CC,2039,1382.515989,11.6,4.58,9.5145
RE-CC,2040,1377.278031,11.6,4.58,9.5145
RE-CC,2041,1374.451508,11.6,4.58,9.5145
RE-CC,2042,1369.734167,11.6,4.58,9.5145
RE-CC,2043,1365.958266,11.6,4.58,9.5145
RE-CC,2044,1362.117939,11.6,4.58,9.5145
RE-CC,2045,1359.042851,11.6,4.58,9.5145
RE-CC,2046,1353.489063,11.6,4.58,9.5145
RE-CC,2047,1349.722708,11.6,4.58,9.5145
RE-CC,2048,1345.900517,11.6,4.58,9.5145
RE-CC,2049,1342.050236,11.6,4.58,9.5145
RE-CC,2050,1326.642339,11.6,4.58,9.5145
