Tech,Wind class,Year,CF_mult,Overnight Cap Cost $/kW,Fixed O&M $/(kW-yr),Var O&M $/MWh,rsc_mult
OFFSHORE,1,2010,0.93898,2531.73762,115.33675,0,1
OFFSHORE,1,2011,0.93898,2531.73762,115.33675,0,1
OFFSHORE,1,2012,0.93898,2531.73762,115.33675,0,1
OFFSHORE,1,2013,0.93898,2531.73762,115.33675,0,1
OFFSHORE,1,2014,0.93898,2531.73762,115.33675,0,1
OFFSHORE,1,2015,0.93898,2531.73762,115.33675,0,1
OFFSHORE,1,2016,0.93898,2531.73762,115.33675,0,1
OFFSHORE,1,2017,0.93898,2531.73762,115.33675,0,1
OFFSHORE,1,2018,0.93898,2531.73762,115.33675,0,1
OFFSHORE,1,2019,0.93898,2531.73762,115.33675,0,1
OFFSHORE,1,2020,0.9522,2351.31768,107.2328,0,1
OFFSHORE,1,2021,0.96784,2242.18083,107.29677,0,1
OFFSHORE,1,2022,0.98138,2450.20827,103.43711,0,0.98471
OFFSHORE,1,2023,0.99359,2267.61802,100.28353,0,0.9194
OFFSHORE,1,2024,1.00488,2003.29533,97.61722,0,0.89346
OFFSHORE,1,2025,1.01549,1955.7624,95.30755,0,0.87226
OFFSHORE,1,2026,1.0256,1915.57389,93.27029,0,0.85434
OFFSHORE,1,2027,1.0353,1880.76102,91.44789,0,0.83881
OFFSHORE,1,2028,1.04467,1850.05388,89.79933,0,0.82511
OFFSHORE,1,2029,1.05377,1822.58542,88.29431,0,0.81286
OFFSHORE,1,2030,1.06264,1797.73717,86.90983,0,0.80178
OFFSHORE,1,2031,1.06714,1775.0525,85.628,0,0.79166
OFFSHORE,1,2032,1.07148,1754.18462,84.43465,0,0.78236
OFFSHORE,1,2033,1.07567,1734.86398,83.31834,0,0.77374
OFFSHORE,1,2034,1.07974,1716.8769,82.26973,0,0.76572
OFFSHORE,1,2035,1.08369,1700.05111,81.28107,0,0.75821
OFFSHORE,1,2036,1.08754,1684.24571,80.34588,0,0.75116
OFFSHORE,1,2037,1.0913,1669.34398,79.45867,0,0.74452
OFFSHORE,1,2038,1.09498,1655.24815,78.61476,0,0.73823
OFFSHORE,1,2039,1.09858,1641.87551,77.81011,0,0.73227
OFFSHORE,1,2040,1.10212,1629.15546,77.04124,0,0.72659
OFFSHORE,1,2041,1.1056,1617.02726,76.3051,0,0.72119
OFFSHORE,1,2042,1.10902,1605.43828,75.59901,0,0.71602
OFFSHORE,1,2043,1.11238,1594.34259,74.92061,0,0.71107
OFFSHORE,1,2044,1.1157,1583.69992,74.26783,0,0.70632
OFFSHORE,1,2045,1.11897,1573.47471,73.63879,0,0.70176
OFFSHORE,1,2046,1.12221,1563.63546,73.03182,0,0.69737
OFFSHORE,1,2047,1.1254,1554.15408,72.44543,0,0.69314
OFFSHORE,1,2048,1.12856,1545.00544,71.87827,0,0.68906
OFFSHORE,1,2049,1.13168,1536.16699,71.32912,0,0.68512
OFFSHORE,1,2050,1.13477,1527.61838,70.79687,0,0.68131
OFFSHORE,2,2010,0.93898,2539.49232,117.81637,0,1
OFFSHORE,2,2011,0.93898,2539.49232,117.81637,0,1
OFFSHORE,2,2012,0.93898,2539.49232,117.81637,0,1
OFFSHORE,2,2013,0.93898,2539.49232,117.81637,0,1
OFFSHORE,2,2014,0.93898,2539.49232,117.81637,0,1
OFFSHORE,2,2015,0.93898,2539.49232,117.81637,0,1
OFFSHORE,2,2016,0.93898,2539.49232,117.81637,0,1
OFFSHORE,2,2017,0.93898,2539.49232,117.81637,0,1
OFFSHORE,2,2018,0.93898,2539.49232,117.81637,0,1
OFFSHORE,2,2019,0.93898,2539.49232,117.81637,0,1
OFFSHORE,2,2020,0.9522,2358.51977,109.53818,0,1
OFFSHORE,2,2021,0.968,2249.04863,109.60352,0,1
OFFSHORE,2,2022,0.98171,2457.71326,105.66088,0,0.98471
OFFSHORE,2,2023,0.99408,2274.56373,102.43951,0,0.9194
OFFSHORE,2,2024,1.00553,2009.43142,99.71587,0,0.89346
OFFSHORE,2,2025,1.01631,1961.7529,97.35655,0,0.87226
OFFSHORE,2,2026,1.02658,1921.44129,95.27549,0,0.85434
OFFSHORE,2,2027,1.03644,1886.52179,93.41391,0,0.83881
OFFSHORE,2,2028,1.04598,1855.7206,91.72991,0,0.82511
OFFSHORE,2,2029,1.05524,1828.168,90.19254,0,0.81286
OFFSHORE,2,2030,1.06428,1803.24364,88.77829,0,0.80178
OFFSHORE,2,2031,1.06884,1780.48948,87.4689,0,0.79166
OFFSHORE,2,2032,1.07323,1759.55769,86.24989,0,0.78236
OFFSHORE,2,2033,1.07748,1740.17787,85.10958,0,0.77374
OFFSHORE,2,2034,1.0816,1722.13569,84.03843,0,0.76572
OFFSHORE,2,2035,1.0856,1705.25836,83.02852,0,0.75821
OFFSHORE,2,2036,1.08951,1689.40455,82.07322,0,0.75116
OFFSHORE,2,2037,1.09332,1674.45718,81.16694,0,0.74452
OFFSHORE,2,2038,1.09705,1660.31818,80.30488,0,0.73823
OFFSHORE,2,2039,1.10071,1646.90458,79.48294,0,0.73227
OFFSHORE,2,2040,1.10431,1634.14557,78.69754,0,0.72659
OFFSHORE,2,2041,1.10784,1621.98022,77.94557,0,0.72119
OFFSHORE,2,2042,1.11131,1610.35573,77.2243,0,0.71602
OFFSHORE,2,2043,1.11473,1599.22606,76.53132,0,0.71107
OFFSHORE,2,2044,1.1181,1588.55079,75.8645,0,0.70632
OFFSHORE,2,2045,1.12143,1578.29426,75.22193,0,0.70176
OFFSHORE,2,2046,1.12472,1568.42487,74.60192,0,0.69737
OFFSHORE,2,2047,1.12797,1558.91445,74.00292,0,0.69314
OFFSHORE,2,2048,1.13118,1549.73779,73.42357,0,0.68906
OFFSHORE,2,2049,1.13436,1540.87227,72.86261,0,0.68512
OFFSHORE,2,2050,1.1375,1532.29748,72.31892,0,0.68131
OFFSHORE,3,2010,0.93898,2671.58092,119.92223,0,1
OFFSHORE,3,2011,0.93898,2671.58092,119.92223,0,1
OFFSHORE,3,2012,0.93898,2671.58092,119.92223,0,1
OFFSHORE,3,2013,0.93898,2671.58092,119.92223,0,1
OFFSHORE,3,2014,0.93898,2671.58092,119.92223,0,1
OFFSHORE,3,2015,0.93898,2671.58092,119.92223,0,1
OFFSHORE,3,2016,0.93898,2671.58092,119.92223,0,1
OFFSHORE,3,2017,0.93898,2671.58092,119.92223,0,1
OFFSHORE,3,2018,0.93898,2671.58092,119.92223,0,1
OFFSHORE,3,2019,0.93898,2671.58092,119.92223,0,1
OFFSHORE,3,2020,0.9522,2481.19531,111.49606,0,1
OFFSHORE,3,2021,0.96796,2366.03016,111.56257,0,1
OFFSHORE,3,2022,0.98161,2585.54822,107.54946,0,0.98471
OFFSHORE,3,2023,0.99393,2392.8724,104.2705,0,0.9194
OFFSHORE,3,2024,1.00534,2113.94955,101.49819,0,0.89346
OFFSHORE,3,2025,1.01607,2063.7911,99.0967,0,0.87226
OFFSHORE,3,2026,1.02629,2021.38272,96.97844,0,0.85434
OFFSHORE,3,2027,1.03611,1984.64692,95.08359,0,0.83881
OFFSHORE,3,2028,1.0456,1952.24365,93.36948,0,0.82511
OFFSHORE,3,2029,1.05481,1923.25793,91.80463,0,0.81286
OFFSHORE,3,2030,1.0638,1897.03716,90.36511,0,0.80178
OFFSHORE,3,2031,1.06835,1873.09948,89.03232,0,0.79166
OFFSHORE,3,2032,1.07272,1851.07894,87.79152,0,0.78236
OFFSHORE,3,2033,1.07695,1830.69111,86.63083,0,0.77374
OFFSHORE,3,2034,1.08105,1811.71049,85.54053,0,0.76572
OFFSHORE,3,2035,1.08505,1793.9553,84.51256,0,0.75821
OFFSHORE,3,2036,1.08893,1777.27687,83.54019,0,0.75116
OFFSHORE,3,2037,1.09273,1761.55203,82.61771,0,0.74452
OFFSHORE,3,2038,1.09645,1746.67761,81.74025,0,0.73823
OFFSHORE,3,2039,1.10009,1732.56632,80.90361,0,0.73227
OFFSHORE,3,2040,1.10367,1719.14366,80.10417,0,0.72659
OFFSHORE,3,2041,1.10718,1706.34555,79.33876,0,0.72119
OFFSHORE,3,2042,1.11064,1694.11643,78.6046,0,0.71602
OFFSHORE,3,2043,1.11405,1682.40786,77.89924,0,0.71107
OFFSHORE,3,2044,1.1174,1671.17733,77.2205,0,0.70632
OFFSHORE,3,2045,1.12072,1660.38732,76.56644,0,0.70176
OFFSHORE,3,2046,1.12399,1650.00458,75.93535,0,0.69737
OFFSHORE,3,2047,1.12722,1639.99949,75.32565,0,0.69314
OFFSHORE,3,2048,1.13041,1630.34552,74.73594,0,0.68906
OFFSHORE,3,2049,1.13358,1621.01887,74.16496,0,0.68512
OFFSHORE,3,2050,1.13671,1611.99807,73.61154,0,0.68131
OFFSHORE,4,2010,0.93898,2789.63843,121.03924,0,1
OFFSHORE,4,2011,0.93898,2789.63843,121.03924,0,1
OFFSHORE,4,2012,0.93898,2789.63843,121.03924,0,1
OFFSHORE,4,2013,0.93898,2789.63843,121.03924,0,1
OFFSHORE,4,2014,0.93898,2789.63843,121.03924,0,1
OFFSHORE,4,2015,0.93898,2789.63843,121.03924,0,1
OFFSHORE,4,2016,0.93898,2789.63843,121.03924,0,1
OFFSHORE,4,2017,0.93898,2789.63843,121.03924,0,1
OFFSHORE,4,2018,0.93898,2789.63843,121.03924,0,1
OFFSHORE,4,2019,0.93898,2789.63843,121.03924,0,1
OFFSHORE,4,2020,0.9522,2590.83972,112.53459,0,1
OFFSHORE,4,2021,0.96798,2470.5854,112.60172,0,1
OFFSHORE,4,2022,0.98167,2699.80401,108.55122,0,0.98471
OFFSHORE,4,2023,0.99402,2498.6138,105.24173,0,0.9194
OFFSHORE,4,2024,1.00546,2207.36531,102.44359,0,0.89346
OFFSHORE,4,2025,1.01622,2154.99035,100.01973,0,0.87226
OFFSHORE,4,2026,1.02647,2110.70794,97.88174,0,0.85434
OFFSHORE,4,2027,1.03631,2072.34878,95.96924,0,0.83881
OFFSHORE,4,2028,1.04583,2038.5136,94.23917,0,0.82511
OFFSHORE,4,2029,1.05508,2008.247,92.65974,0,0.81286
OFFSHORE,4,2030,1.06409,1980.86753,91.20681,0,0.80178
OFFSHORE,4,2031,1.06865,1955.87204,89.86161,0,0.79166
OFFSHORE,4,2032,1.07303,1932.87841,88.60925,0,0.78236
OFFSHORE,4,2033,1.07727,1911.58963,87.43775,0,0.77374
OFFSHORE,4,2034,1.08139,1891.77026,86.33729,0,0.76572
OFFSHORE,4,2035,1.08539,1873.23047,85.29975,0,0.75821
OFFSHORE,4,2036,1.08928,1855.81502,84.31833,0,0.75116
OFFSHORE,4,2037,1.09309,1839.39529,83.38725,0,0.74452
OFFSHORE,4,2038,1.09682,1823.86356,82.50162,0,0.73823
OFFSHORE,4,2039,1.10047,1809.12869,81.65719,0,0.73227
OFFSHORE,4,2040,1.10406,1795.11289,80.8503,0,0.72659
OFFSHORE,4,2041,1.10758,1781.74922,80.07776,0,0.72119
OFFSHORE,4,2042,1.11105,1768.9797,79.33676,0,0.71602
OFFSHORE,4,2043,1.11446,1756.75373,78.62483,0,0.71107
OFFSHORE,4,2044,1.11783,1745.02691,77.93976,0,0.70632
OFFSHORE,4,2045,1.12115,1733.7601,77.27962,0,0.70176
OFFSHORE,4,2046,1.12443,1722.91855,76.64264,0,0.69737
OFFSHORE,4,2047,1.12768,1712.47132,76.02726,0,0.69314
OFFSHORE,4,2048,1.13088,1702.39074,75.43206,0,0.68906
OFFSHORE,4,2049,1.13405,1692.65195,74.85576,0,0.68512
OFFSHORE,4,2050,1.13719,1683.23251,74.2972,0,0.68131
OFFSHORE,5,2010,0.93898,2838.86604,124.37763,0,1
OFFSHORE,5,2011,0.93898,2838.86604,124.37763,0,1
OFFSHORE,5,2012,0.93898,2838.86604,124.37763,0,1
OFFSHORE,5,2013,0.93898,2838.86604,124.37763,0,1
OFFSHORE,5,2014,0.93898,2838.86604,124.37763,0,1
OFFSHORE,5,2015,0.93898,2838.86604,124.37763,0,1
OFFSHORE,5,2016,0.93898,2838.86604,124.37763,0,1
OFFSHORE,5,2017,0.93898,2838.86604,124.37763,0,1
OFFSHORE,5,2018,0.93898,2838.86604,124.37763,0,1
OFFSHORE,5,2019,0.93898,2838.86604,124.37763,0,1
OFFSHORE,5,2020,0.9522,2636.55916,115.63842,0,1
OFFSHORE,5,2021,0.96809,2514.18276,115.70741,0,1
OFFSHORE,5,2022,0.98188,2747.44629,111.54519,0,0.98471
OFFSHORE,5,2023,0.99434,2542.70577,108.14442,0,0.9194
OFFSHORE,5,2024,1.00588,2246.31774,105.26911,0,0.89346
OFFSHORE,5,2025,1.01674,2193.01854,102.77839,0,0.87226
OFFSHORE,5,2026,1.0271,2147.9547,100.58143,0,0.85434
OFFSHORE,5,2027,1.03705,2108.91863,98.61618,0,0.83881
