Tech,Geo class,Depth,Year,Cap cost 1000$/MW,Fixed O&M 1000$/MW-yr,Var O&M $/MWh
egs,3,nearfield,2013,5433.089496,152.5518858,0
egs,4,nearfield,2013,5693.137729,168.8598287,0
egs,5,nearfield,2013,5115.662622,161.9890389,0
egs,6,nearfield,2013,6575.265124,209.8252199,0
egs,7,nearfield,2013,8667.29231,237.1325293,0
egs,8,nearfield,2013,10019.44829,272.9969552,0
egs,9,nearfield,2013,13270.91653,349.219675,0
egs,10,nearfield,2013,15429.6875,392.4875,0
geohydro,1,allkm,2013,2422.405264,95.77664072,0
geohydro,2,allkm,2013,3119.296988,111.0585412,0
geohydro,3,allkm,2013,3455.675765,119.8302111,0
geohydro,4,allkm,2013,3923.327241,130.7689085,0
geohydro,5,allkm,2013,3728.640842,132.0905259,0
geohydro,6,allkm,2013,4468.252255,154.1914614,0
geohydro,7,allkm,2013,5163.057742,171.4045512,0
geohydro,8,allkm,2013,6780.770135,223.9611239,0
geohydro,9,allkm,2013,10037.09397,306.9623395,0
geohydro,10,allkm,2013,18605.38583,545.3341639,0
egs,1,allkm,2014,10502.21493,176.5112197,0
egs,2,allkm,2014,11038.41954,194.1814668,0
egs,3,allkm,2014,11102.89098,205.2069648,0
egs,4,allkm,2014,11237.16083,217.9168279,0
egs,5,allkm,2014,12706.19863,248.0508805,0
egs,6,allkm,2014,14803.13139,291.4206589,0
egs,7,allkm,2014,17650.26196,301.5106438,0
egs,8,allkm,2014,21343.97866,377.5739836,0
egs,9,allkm,2014,26784.69003,493.4716052,0
egs,10,allkm,2014,31455.9375,552.9375,0
egs,1,nearfield,2014,5116.475484,140.2666761,0
egs,2,nearfield,2014,4903.806016,142.2103604,0
egs,3,nearfield,2014,5433.089496,152.5518858,0
egs,4,nearfield,2014,5693.137729,168.8598287,0
egs,5,nearfield,2014,5115.662622,161.9890389,0
egs,6,nearfield,2014,6575.265124,209.8252199,0
egs,7,nearfield,2014,8667.29231,237.1325293,0
egs,8,nearfield,2014,10019.44829,272.9969552,0
egs,9,nearfield,2014,13270.91653,349.219675,0
egs,10,nearfield,2014,15429.6875,392.4875,0
geohydro,1,allkm,2014,2422.405264,95.77664072,0
geohydro,2,allkm,2014,3119.296988,111.0585412,0
geohydro,3,allkm,2014,3455.675765,119.8302111,0
geohydro,4,allkm,2014,3923.327241,130.7689085,0
geohydro,5,allkm,2014,3728.640842,132.0905259,0
geohydro,6,allkm,2014,4468.252255,154.1914614,0
geohydro,7,allkm,2014,5163.057742,171.4045512,0
geohydro,8,allkm,2014,6780.770135,223.9611239,0
geohydro,9,allkm,2014,10037.09397,306.9623395,0
geohydro,10,allkm,2014,18605.38583,545.3341639,0
egs,1,allkm,2015,10502.21493,176.5112197,0
egs,2,allkm,2015,11038.41954,194.1814668,0
egs,3,allkm,2015,11102.89098,205.2069648,0
egs,4,allkm,2015,11237.16083,217.9168279,0
egs,5,allkm,2015,12706.19863,248.0508805,0
egs,6,allkm,2015,14803.13139,291.4206589,0
egs,7,allkm,2015,17650.26196,301.5106438,0
egs,8,allkm,2015,21343.97866,377.5739836,0
egs,9,allkm,2015,26784.69003,493.4716052,0
egs,10,allkm,2015,31455.9375,552.9375,0
egs,1,nearfield,2015,5116.475484,140.2666761,0
egs,2,nearfield,2015,4903.806016,142.2103604,0
egs,3,nearfield,2015,5433.089496,152.5518858,0
egs,4,nearfield,2015,5693.137729,168.8598287,0
egs,5,nearfield,2015,5115.662622,161.9890389,0
egs,6,nearfield,2015,6575.265124,209.8252199,0
egs,7,nearfield,2015,8667.29231,237.1325293,0
egs,8,nearfield,2015,10019.44829,272.9969552,0
egs,9,nearfield,2015,13270.91653,349.219675,0
egs,10,nearfield,2015,15429.6875,392.4875,0
geohydro,1,allkm,2015,2422.405264,95.77664072,0
geohydro,2,allkm,2015,3119.296988,111.0585412,0
geohydro,3,allkm,2015,3455.675765,119.8302111,0
geohydro,4,allkm,2015,3923.327241,130.7689085,0
geohydro,5,allkm,2015,3728.640842,132.0905259,0
geohydro,6,allkm,2015,4468.252255,154.1914614,0
geohydro,7,allkm,2015,5163.057742,171.4045512,0
geohydro,8,allkm,2015,6780.770135,223.9611239,0
geohydro,9,allkm,2015,10037.09397,306.9623395,0
geohydro,10,allkm,2015,18605.38583,545.3341639,0
egs,1,allkm,2016,10502.21493,176.5112197,0
egs,2,allkm,2016,11038.41954,194.1814668,0
egs,3,allkm,2016,11102.89098,205.2069648,0
egs,4,allkm,2016,11237.16083,217.9168279,0
egs,5,allkm,2016,12706.19863,248.0508805,0
egs,6,allkm,2016,14803.13139,291.4206589,0
egs,7,allkm,2016,17650.26196,301.5106438,0
egs,8,allkm,2016,21343.97866,377.5739836,0
egs,9,allkm,2016,26784.69003,493.4716052,0
egs,10,allkm,2016,31455.9375,552.9375,0
egs,1,nearfield,2016,5116.475484,140.2666761,0
egs,2,nearfield,2016,4903.806016,142.2103604,0
egs,3,nearfield,2016,5433.089496,152.5518858,0
egs,4,nearfield,2016,5693.137729,168.8598287,0
egs,5,nearfield,2016,5115.662622,161.9890389,0
egs,6,nearfield,2016,6575.265124,209.8252199,0
egs,7,nearfield,2016,8667.29231,237.1325293,0
egs,8,nearfield,2016,10019.44829,272.9969552,0
egs,9,nearfield,2016,13270.91653,349.219675,0
egs,10,nearfield,2016,15429.6875,392.4875,0
geohydro,1,allkm,2016,2422.405264,95.77664072,0
geohydro,2,allkm,2016,3119.296988,111.0585412,0
geohydro,3,allkm,2016,3455.675765,119.8302111,0
geohydro,4,allkm,2016,3923.327241,130.7689085,0
geohydro,5,allkm,2016,3728.640842,132.0905259,0
geohydro,6,allkm,2016,4468.252255,154.1914614,0
geohydro,7,allkm,2016,5163.057742,171.4045512,0
geohydro,8,allkm,2016,6780.770135,223.9611239,0
geohydro,9,allkm,2016,10037.09397,306.9623395,0
geohydro,10,allkm,2016,18605.38583,545.3341639,0
egs,1,allkm,2017,10502.21493,176.5112197,0
egs,2,allkm,2017,11038.41954,194.1814668,0
egs,3,allkm,2017,11102.89098,205.2069648,0
egs,4,allkm,2017,11237.16083,217.9168279,0
egs,5,allkm,2017,12706.19863,248.0508805,0
egs,6,allkm,2017,14803.13139,291.4206589,0
