i,t,capcost,fom,vom,rte
battery_2,2010,2504.21,62.61,0,0.85
battery_2,2011,2322.79,58.07,0,0.85
battery_2,2012,2141.37,53.53,0,0.85
battery_2,2013,1959.95,49.0,0,0.85
battery_2,2014,1778.53,44.46,0,0.85
battery_2,2015,1597.11,39.93,0,0.85
battery_2,2016,1512.27,37.81,0,0.85
battery_2,2017,1427.43,35.69,0,0.85
battery_2,2018,1039.05,25.98,0,0.85
battery_2,2019,904.58,22.61,0,0.85
battery_2,2020,1034.75,25.87,0,0.85
battery_2,2021,943.15,23.58,0,0.85
battery_2,2022,1060.06,26.5,0,0.85
battery_2,2023,762.48,19.06,0,0.85
battery_2,2024,719.54,17.99,0,0.85
battery_2,2025,682.77,17.07,0,0.85
battery_2,2026,653.95,16.35,0,0.85
battery_2,2027,625.11,15.63,0,0.85
battery_2,2028,596.31,14.91,0,0.85
battery_2,2029,567.53,14.19,0,0.85
battery_2,2030,538.14,13.45,0,0.85
battery_2,2031,528.63,13.22,0,0.85
battery_2,2032,519.11,12.98,0,0.85
battery_2,2033,510.19,12.75,0,0.85
battery_2,2034,500.68,12.52,0,0.85
battery_2,2035,490.54,12.26,0,0.85
battery_2,2036,481.62,12.04,0,0.85
battery_2,2037,472.1,11.8,0,0.85
battery_2,2038,462.59,11.56,0,0.85
battery_2,2039,453.08,11.33,0,0.85
battery_2,2040,444.17,11.1,0,0.85
battery_2,2041,434.65,10.87,0,0.85
battery_2,2042,424.49,10.61,0,0.85
battery_2,2043,414.98,10.37,0,0.85
battery_2,2044,406.07,10.15,0,0.85
battery_2,2045,396.56,9.91,0,0.85
battery_2,2046,387.04,9.68,0,0.85
battery_2,2047,377.53,9.44,0,0.85
battery_2,2048,368.63,9.22,0,0.85
battery_2,2049,359.11,8.98,0,0.85
battery_2,2050,348.93,8.72,0,0.85
battery_4,2010,4246.49,106.16,0,0.85
battery_4,2011,3938.85,98.47,0,0.85
battery_4,2012,3631.21,90.78,0,0.85
battery_4,2013,3323.57,83.09,0,0.85
battery_4,2014,3015.93,75.4,0,0.85
battery_4,2015,2708.29,67.71,0,0.85
battery_4,2016,2564.42,64.11,0,0.85
battery_4,2017,2420.56,60.51,0,0.85
battery_4,2018,1761.97,44.05,0,0.85
battery_4,2019,1520.19,38.0,0,0.85
battery_4,2020,1808.38,45.21,0,0.85
battery_4,2021,1587.25,39.68,0,0.85
battery_4,2022,1784.0,44.6,0,0.85
battery_4,2023,1283.41,32.09,0,0.85
battery_4,2024,1211.37,30.28,0,0.85
battery_4,2025,1149.74,28.74,0,0.85
battery_4,2026,1100.94,27.52,0,0.85
battery_4,2027,1052.13,26.3,0,0.85
battery_4,2028,1003.33,25.08,0,0.85
battery_4,2029,954.53,23.86,0,0.85
battery_4,2030,905.74,22.64,0,0.85
battery_4,2031,889.86,22.25,0,0.85
battery_4,2032,873.98,21.85,0,0.85
battery_4,2033,858.08,21.45,0,0.85
battery_4,2034,842.2,21.06,0,0.85
battery_4,2035,826.34,20.66,0,0.85
battery_4,2036,810.44,20.26,0,0.85
battery_4,2037,794.56,19.86,0,0.85
battery_4,2038,778.68,19.47,0,0.85
