Turbine,Year,CF_mult,Overnight Cap Cost $/kW,Fixed O&M $/(kW-yr),Var O&M $/MWh
115hh_170rd,2010,0.61277,2639.12325,47.01292,0.0
115hh_170rd,2011,0.60304,2466.78385,47.01292,0.0
115hh_170rd,2012,0.69848,2294.44446,47.01292,0.0
115hh_170rd,2013,0.79294,2157.98645,47.01292,0.0
115hh_170rd,2014,0.87144,2021.52845,47.01292,0.0
115hh_170rd,2015,0.82324,1909.53503,47.01292,0.0
115hh_170rd,2016,0.89312,1797.54161,47.01292,0.0
115hh_170rd,2017,0.85843,1795.05224,47.01292,0.0
115hh_170rd,2018,0.92017,1649.67472,47.01292,0.0
115hh_170rd,2019,0.85963,1504.29721,47.01292,0.0
115hh_170rd,2020,0.83469,1517.57908,46.44,0.0
115hh_170rd,2021,0.76975,1386.59368,32.724,0.0
115hh_170rd,2022,0.93285,1471.55594,32.44305,0.0
115hh_170rd,2023,0.93413,1607.24479,32.25153,0.0
115hh_170rd,2024,0.9354,1523.24269,32.06001,0.0
115hh_170rd,2025,0.93668,1440.28301,31.86849,0.0
115hh_170rd,2026,0.93796,1429.85871,31.67697,0.0
115hh_170rd,2027,0.93924,1419.4344,31.48545,0.0
115hh_170rd,2028,0.94051,1409.01009,31.29394,0.0
115hh_170rd,2029,0.94179,1398.58578,31.10242,0.0
115hh_170rd,2030,0.94307,1388.16148,30.9109,0.0
115hh_170rd,2031,0.94422,1377.73839,30.7869,0.0
115hh_170rd,2032,0.94537,1367.31531,30.66289,0.0
115hh_170rd,2033,0.94652,1356.89222,30.53889,0.0
115hh_170rd,2034,0.94767,1346.46914,30.41488,0.0
115hh_170rd,2035,0.94882,1336.04606,30.29088,0.0
115hh_170rd,2036,0.94997,1325.62297,30.16688,0.0
115hh_170rd,2037,0.95112,1315.19989,30.04287,0.0
115hh_170rd,2038,0.95227,1304.7768,29.91887,0.0
115hh_170rd,2039,0.95342,1294.35372,29.79487,0.0
115hh_170rd,2040,0.95457,1283.93064,29.67086,0.0
115hh_170rd,2041,0.95572,1273.50755,29.54686,0.0
115hh_170rd,2042,0.95687,1263.08447,29.42286,0.0
115hh_170rd,2043,0.95802,1252.66138,29.29885,0.0
115hh_170rd,2044,0.95917,1242.2383,29.17485,0.0
115hh_170rd,2045,0.96032,1231.81521,29.05084,0.0
115hh_170rd,2046,0.96147,1221.39213,28.92684,0.0
115hh_170rd,2047,0.96262,1210.96904,28.80284,0.0
115hh_170rd,2048,0.96377,1200.54596,28.67883,0.0
115hh_170rd,2049,0.96492,1190.12288,28.55483,0.0
115hh_170rd,2050,0.96607,1179.69979,28.43083,0.0
