t,capcost,fom,vom,cf_improvement
2010,6232.677186,31.16338593,0,1
2011,5788.672942,30.63337436,0,1
2012,5344.668696,30.10336278,0,1
2013,3709.402076,29.57335119,0,1
2014,2791.295039,29.04333962,0,1
2015,2786.898753,28.51332804,0,1
2016,2426.762136,27.98331646,0,1
2017,1484.842872,26.9232933,0,1
2018,1423.210439,24.90548096,0,1
2019,1361.578006,22.88766862,0,1
2020,1347.269745,23.3964,0,1.018161341
2021,1274.949937,22.52411108,0,1.036322683
2022,1202.630129,21.66026224,0,1.054484024
2023,1130.310321,20.80419505,0,1.072645366
2024,1057.990513,19.9553178,0,1.090806707
2025,985.6707049,19.11309733,0,1.108968049
2026,913.3508969,18.27705187,0,1.12712939
2027,841.0310889,17.44674509,0,1.145290732
2028,768.711281,16.62178079,0,1.163452073
2029,696.391473,15.80179845,0,1.181613414
2030,624.071665,14.98646926,0,1.199774756
2031,616.396261,14.85263371,0,1.202382962
2032,608.7208569,14.71967068,0,1.204991168
2033,601.0454529,14.58755476,0,1.207599374
2034,593.3700489,14.45626151,0,1.21020758
2035,585.6946448,14.32576743,0,1.212815786
2036,578.0192408,14.1960499,0,1.215423992
2037,570.3438368,14.06708715,0,1.218032198
2038,562.6684327,13.93885821,0,1.220640404
2039,554.9930287,13.81134289,0,1.22324861
2040,547.3176247,13.68452171,0,1.225856816
2041,539.6422206,13.55837593,0,1.228465022
2042,531.9668166,13.43288745,0,1.231073228
2043,524.2914125,13.30803882,0,1.233681434
2044,516.6160085,13.1838132,0,1.23628964
2045,508.9406045,13.06019434,0,1.238897846
2046,501.2652004,12.93716655,0,1.241506052
2047,493.5897964,12.81471467,0,1.244114258
2048,485.9143924,12.69282407,0,1.246722464
2049,478.2389883,12.57148058,0,1.24933067
2050,470.5635843,12.45067053,0,1.251938876
