t,capcost,fom,vom,cf_improvement
2010,4504.616308,22.52308154,0,1
2011,4183.715882,21.39692746,0,1
2012,3862.815456,20.27077339,0,1
2013,2680.939921,19.14461931,0,1
2014,2017.385591,17.341547,0,1
2015,2014.208212,15.6864632,0,1
2016,1753.922426,14.0313794,0,1
2017,1195.512312,9.564098492,0,1
2018,1078.156748,8.222209051,0,1
2019,1064.111144,7.770022022,0,1
2020,973.2947684,7.201547853,0,1
2021,897.6199876,6.762109285,0,1
2022,804.1894022,6.579652697,0,1
2023,759.6495138,6.39719611,0,1
2024,736.8424404,6.214739523,0,1
2025,714.035367,6.032282936,0,1
2026,691.2282936,5.849826349,0,1
2027,668.4212202,5.667369762,0,1
2028,645.6141468,5.484913174,0,1
2029,622.8070734,5.302456587,0,1
2030,600,5.12,0,1
2031,590,5.04,0,1
2032,580,4.96,0,1
2033,570,4.88,0,1
2034,561.8734254,4.814987404,0,1
2035,545.6757359,4.685405887,0,1
2036,532.9150391,4.583320312,0,1
2037,520.1543422,4.481234738,0,1
2038,507.3936453,4.379149163,0,1
2039,494.6329485,4.277063588,0,1
2040,481.8722516,4.174978013,0,1
2041,474.8272285,4.118617828,0,1
2042,462.780899,4.022247192,0,1
2043,448.4826212,3.907860969,0,1
2044,434.1843433,3.793474746,0,1
2045,433.8801373,3.791041098,0,1
2046,407.7141278,3.581713022,0,1
2047,395.5421902,3.484337521,0,1
2048,383.3702526,3.38696202,0,1
2049,371.1983149,3.28958652,0,1
2050,366.5582391,3.252465912,0,1
