,wind-ofs_1*wind-ofs_7,wind-ofs_8*wind-ofs_14
2010,1,1
2011,1,1
2012,1,1
2013,1,1
2014,1,1
2015,1,1
2016,1,1
2017,1,1
2018,1,1
2019,1,1
2020,0.920268853,0.923886879
2021,0.860939123,0.867197987
2022,0.812788229,0.821152487
2023,0.771708188,0.781839159
2024,0.735507677,0.747171641
2025,0.70287867,0.715904559
2026,0.672977466,0.687234623
2027,0.645227989,0.660613351
2028,0.619219349,0.635649534
2029,0.59464816,0.612054316
2030,0.571284027,0.589608339
2031,0.558447649,0.577386798
2032,0.546497266,0.566008816
2033,0.53531843,0.555365424
2034,0.524817527,0.545367495
2035,0.514917013,0.535941196
2036,0.50555193,0.527024682
2037,0.496667324,0.518565631
2038,0.48821629,0.510519385
2039,0.480158472,0.502847521
2040,0.4724589,0.495516744
2041,0.465087071,0.488498011
2042,0.458016218,0.481765838
2043,0.451222726,0.475297741
2044,0.444685654,0.469073782
2045,0.438386347,0.4630762
2046,0.432308115,0.457289103
2047,0.426435965,0.451698218
2048,0.420756379,0.446290673
2049,0.415257129,0.441054826
2050,0.409927113,0.435980108
