Turbine,Year,CF_mult,Overnight Cap Cost $/kW,Fixed O&M $/(kW-yr),Var O&M $/MWh
115hh_170rd,2010,0.54289,2443.63263,43.53048,0.0
115hh_170rd,2011,0.56578,2284.05912,43.53048,0.0
115hh_170rd,2012,0.69402,2124.48561,43.53048,0.0
115hh_170rd,2013,0.77201,1998.1356,43.53048,0.0
115hh_170rd,2014,0.81634,1871.7856,43.53048,0.0
115hh_170rd,2015,0.81453,1768.08799,43.53048,0.0
115hh_170rd,2016,0.8485,1664.39037,43.53048,0.0
115hh_170rd,2017,0.85039,1662.0854,43.53048,0.0
115hh_170rd,2018,0.86786,1527.47659,43.53048,0.0
115hh_170rd,2019,0.8438,1392.86778,43.53048,0.0
115hh_170rd,2020,0.8027,1405.16582,43.0,0.0
115hh_170rd,2021,0.93533,1283.88304,30.3,0.0
115hh_170rd,2022,0.94252,1450.82865,29.93333,0.0
115hh_170rd,2023,0.9497,1363.22694,29.56667,0.0
115hh_170rd,2024,0.95689,1217.00431,29.2,0.0
115hh_170rd,2025,0.96407,1194.71141,28.83333,0.0
115hh_170rd,2026,0.97126,1172.4185,28.46667,0.0
115hh_170rd,2027,0.97844,1150.1256,28.1,0.0
115hh_170rd,2028,0.98563,1127.83269,27.73333,0.0
115hh_170rd,2029,0.99281,1105.53978,27.36667,0.0
115hh_170rd,2030,1.0,1083.24688,27.0,0.0
115hh_170rd,2031,1.00081,1072.58076,26.815,0.0
115hh_170rd,2032,1.00162,1061.91465,26.63,0.0
115hh_170rd,2033,1.00242,1051.24853,26.445,0.0
115hh_170rd,2034,1.00323,1040.58242,26.26,0.0
115hh_170rd,2035,1.00404,1029.91631,26.075,0.0
115hh_170rd,2036,1.00485,1019.25019,25.89,0.0
115hh_170rd,2037,1.00566,1008.58408,25.705,0.0
115hh_170rd,2038,1.00647,997.91797,25.52,0.0
115hh_170rd,2039,1.00727,987.25185,25.335,0.0
115hh_170rd,2040,1.00808,976.58574,25.15,0.0
115hh_170rd,2041,1.00889,965.91962,24.965,0.0
115hh_170rd,2042,1.0097,955.25351,24.78,0.0
115hh_170rd,2043,1.01051,944.5874,24.595,0.0
115hh_170rd,2044,1.01132,933.92128,24.41,0.0
115hh_170rd,2045,1.01212,923.25517,24.225,0.0
115hh_170rd,2046,1.01293,912.58906,24.04,0.0
115hh_170rd,2047,1.01374,901.92294,23.855,0.0
115hh_170rd,2048,1.01455,891.25683,23.67,0.0
115hh_170rd,2049,1.01536,880.59072,23.485,0.0
115hh_170rd,2050,1.01617,869.9246,23.3,0.0
