i,t,capcost,fom,vom,heatrate
Coal-IGCC,2010,5851.647055,163.5759711,16.43772529,9.325
Coal-IGCC,2011,5803.570143,163.5759711,16.43772529,9.239333333
Coal-IGCC,2012,5755.493231,163.5759711,16.43772529,9.153666667
Coal-IGCC,2013,5707.416318,163.5759711,16.43772529,9.068
Coal-IGCC,2014,5659.339405,163.5759711,16.43772529,8.982333333
Coal-IGCC,2015,5611.262494,163.5759711,16.43772529,8.896666667
Coal-IGCC,2016,5563.185581,163.5759711,16.43772529,8.811
Coal-IGCC,2017,5515.108668,163.5759711,16.43772529,8.725333333
Coal-IGCC,2018,5467.031756,163.5759711,16.43772529,8.639666667
Coal-IGCC,2019,5418.954843,163.5759711,16.43772529,8.554
Coal-IGCC,2020,5030.656241,158.9140095,16.23740698,8.45
Coal-IGCC,2021,5402.592,162.108,15.9516,8.308
Coal-IGCC,2022,5603.2,167.5,16.44,8.308
Coal-IGCC,2023,5582.1,166.9,16.39,8.308
Coal-IGCC,2024,5560.9,166.3,16.33,8.308
Coal-IGCC,2025,5539.7,165.7,16.28,8.308
Coal-IGCC,2026,5518.6,165.2,16.22,8.308
Coal-IGCC,2027,5497.4,164.6,16.17,8.308
Coal-IGCC,2028,5476.3,164.0,16.12,8.308
Coal-IGCC,2029,5455.1,163.4,16.06,8.308
Coal-IGCC,2030,5433.9,162.8,16.01,8.308
Coal-IGCC,2031,5412.8,162.2,15.96,8.308
Coal-IGCC,2032,5391.6,161.6,15.9,8.308
Coal-IGCC,2033,5349.3,160.4,15.79,8.308
Coal-IGCC,2034,5328.1,159.8,15.74,8.308
Coal-IGCC,2035,5328.1,159.8,15.74,8.308
Coal-IGCC,2036,5306.9,159.2,15.69,8.308
Coal-IGCC,2037,5285.8,158.7,15.63,8.308
Coal-IGCC,2038,5264.6,158.1,15.58,8.308
Coal-IGCC,2039,5243.5,157.5,15.53,8.308
Coal-IGCC,2040,5222.3,156.9,15.47,8.308
Coal-IGCC,2041,5201.1,156.3,15.42,8.308
Coal-IGCC,2042,5180.0,155.7,15.36,8.308
Coal-IGCC,2043,5158.8,155.1,15.31,8.308
Coal-IGCC,2044,5137.6,154.5,15.26,8.308
Coal-IGCC,2045,5116.5,153.9,15.2,8.308
Coal-IGCC,2046,5095.3,153.3,15.15,8.308
Coal-IGCC,2047,5074.1,152.7,15.1,8.308
Coal-IGCC,2048,5053.0,152.2,15.04,8.308
Coal-IGCC,2049,5031.8,151.6,14.99,8.308
Coal-IGCC,2050,5010.7,151.0,14.93,8.308
Coal-new,2010,3066.6202,82.18862648,8.997250754,8.83
Coal-new,2011,3057.462693,82.18862648,8.997250754,8.790333333
Coal-new,2012,3048.305185,82.18862648,8.997250754,8.750666667
Coal-new,2013,3039.147678,82.18862648,8.997250754,8.711
Coal-new,2014,3029.990171,82.18862648,8.997250754,8.671333333
Coal-new,2015,3020.832665,82.18862648,8.997250754,8.631666667
Coal-new,2016,3011.675157,82.18862648,8.997250754,8.592
Coal-new,2017,3002.51765,82.18862648,8.997250754,8.552333333
Coal-new,2018,2993.360143,82.18862648,8.997250754,8.512666667
Coal-new,2019,2984.202635,82.18862648,8.997250754,8.473
Coal-new,2020,2903.736846,83.67465988,8.887605766,8.473
Coal-new,2021,3085.236,83.808,9.1368,8.49
Coal-new,2022,3201.2,86.5,9.3,8.49
Coal-new,2023,3183.7,86.1,9.26,8.466
Coal-new,2024,3166.2,85.7,9.22,8.442
Coal-new,2025,3148.7,85.3,9.18,8.419
Coal-new,2026,3131.2,84.9,9.14,8.395
Coal-new,2027,3113.7,84.5,9.1,8.371
Coal-new,2028,3096.2,84.1,9.06,8.347
Coal-new,2029,3078.7,83.7,9.03,8.324
Coal-new,2030,3061.2,83.3,8.99,8.3
Coal-new,2031,3043.7,82.9,8.95,8.276
Coal-new,2032,3026.2,82.5,8.91,8.253
Coal-new,2033,2991.2,81.7,8.83,8.205
Coal-new,2034,2973.7,81.2,8.79,8.182
Coal-new,2035,2973.7,81.2,8.79,8.182
Coal-new,2036,2945.2,80.6,8.76,8.182
Coal-new,2037,2916.6,79.9,8.73,8.182
Coal-new,2038,2888.1,79.3,8.7,8.182
Coal-new,2039,2859.5,78.6,8.67,8.182
Coal-new,2040,2830.9,77.9,8.64,8.182
Coal-new,2041,2802.4,77.3,8.61,8.182
Coal-new,2042,2773.8,76.6,8.58,8.182
Coal-new,2043,2745.3,75.9,8.55,8.182
Coal-new,2044,2716.7,75.3,8.52,8.182
Coal-new,2045,2688.1,74.6,8.49,8.182
Coal-new,2046,2659.6,74.0,8.46,8.182
Coal-new,2047,2631.0,73.3,8.43,8.182
Coal-new,2048,2602.5,72.6,8.4,8.182
Coal-new,2049,2573.9,72.0,8.37,8.182
Coal-new,2050,2545.4,71.3,8.34,8.182
CoalOldScr,2010,3029.248836,41.49039589,7.345591952,9.984242986
CoalOldScr,2011,3020.202926,41.49039589,7.498498976,9.984242986
CoalOldScr,2012,3011.157017,41.49039589,7.651405997,9.984242986
CoalOldScr,2013,3002.111109,41.49039589,7.804313019,9.984242986
CoalOldScr,2014,2993.065199,41.49039589,7.957220041,9.984242986
CoalOldScr,2015,2984.01929,41.49039589,8.110127063,9.984242986
CoalOldScr,2016,2974.973381,41.49039589,8.27894877,9.984242986
CoalOldScr,2017,2965.927471,41.49039589,8.447770478,9.984242986
CoalOldScr,2018,2956.881562,41.49039589,8.616592186,9.984242986
CoalOldScr,2019,2947.835654,41.49039589,8.785413895,9.984242986
CoalOldScr,2020,2938.789744,41.49039589,8.954235602,9.984242986
CoalOldScr,2021,2929.743835,41.49039589,9.140628409,9.984242986
CoalOldScr,2022,2920.697925,41.49039589,9.327021215,9.984242986
CoalOldScr,2023,2901.475368,41.49039589,9.513414022,9.984242986
CoalOldScr,2024,2901.475368,41.49039589,9.699806829,9.984242986
CoalOldScr,2025,2884.514289,41.49039589,9.886199635,9.984242986
CoalOldScr,2026,2853.984346,41.49039589,10.09199235,9.984242986
CoalOldScr,2027,2823.454401,41.49039589,10.29778508,9.984242986
CoalOldScr,2028,2791.79372,41.49039589,10.50357779,9.984242986
CoalOldScr,2029,2760.133038,41.49039589,10.70937051,9.984242986
CoalOldScr,2030,2725.080139,41.49039589,10.91516323,9.984242986
CoalOldScr,2031,2694.550196,41.49039589,11.14237502,9.984242986
CoalOldScr,2032,2658.366559,41.49039589,11.36958682,9.984242986
CoalOldScr,2033,2621.052184,41.49039589,11.59679861,9.984242986
CoalOldScr,2034,2602.960366,41.49039589,11.8240104,9.984242986
CoalOldScr,2035,2584.868547,41.49039589,12.05122218,9.984242986
CoalOldScr,2036,2565.64599,41.49039589,12.30208237,9.984242986
CoalOldScr,2037,2547.554172,41.49039589,12.55294255,9.984242986
CoalOldScr,2038,2529.462354,41.49039589,12.80380272,9.984242986
