# https://doi.org/10.1016/j.apenergy.2019.113513,,
prime_mover,deg_celsius,outage_frac
combined_cycle,-15,0.149
combined_cycle,-10,0.081
combined_cycle,-5,0.048
combined_cycle,0,0.033
combined_cycle,5,0.027
combined_cycle,10,0.025
combined_cycle,15,0.028
combined_cycle,20,0.035
combined_cycle,25,0.035
combined_cycle,30,0.041
combined_cycle,35,0.072
combustion_turbine,-15,0.199
combustion_turbine,-10,0.099
combustion_turbine,-5,0.051
combustion_turbine,0,0.031
combustion_turbine,5,0.024
combustion_turbine,10,0.021
combustion_turbine,15,0.024
combustion_turbine,20,0.027
combustion_turbine,25,0.031
combustion_turbine,30,0.039
combustion_turbine,35,0.066
diesel,-15,0.212
diesel,-10,0.170
diesel,-5,0.137
diesel,0,0.116
diesel,5,0.106
diesel,10,0.102
diesel,15,0.104
diesel,20,0.136
diesel,25,0.135
diesel,30,0.143
diesel,35,0.175
hydro_and_psh,-15,0.070
hydro_and_psh,-10,0.043
hydro_and_psh,-5,0.031
hydro_and_psh,0,0.027
hydro_and_psh,5,0.026
hydro_and_psh,10,0.026
hydro_and_psh,15,0.027
hydro_and_psh,20,0.027
hydro_and_psh,25,0.024
hydro_and_psh,30,0.029
hydro_and_psh,35,0.082
nuclear,-15,0.019
nuclear,-10,0.018
nuclear,-5,0.017
nuclear,0,0.018
nuclear,5,0.018
nuclear,10,0.019
nuclear,15,0.021
nuclear,20,0.027
nuclear,25,0.037
nuclear,30,0.066
nuclear,35,0.124
steam,-15,0.133
steam,-10,0.112
steam,-5,0.099
steam,0,0.091
steam,5,0.086
steam,10,0.083
steam,15,0.084
steam,20,0.086
steam,25,0.094
steam,30,0.114
steam,35,0.140
