,reg,flex,spin
  biopower  ,8.66,2.25,4.74
  beccs_mod,8.66,2.25,4.74
  beccs_max,8.66,2.25,4.74
  coal-CCS_mod  ,8.66,2.25,4.74
  coal-CCS_max  ,8.66,2.25,4.74
  coal-CCS-F1  ,8.66,2.25,4.74
  coal-CCS-F2  ,8.66,2.25,4.74
  coal-CCS-F3  ,8.66,2.25,4.74
  Coal-IGCC ,8.66,2.25,4.74
  coal-new  ,8.66,2.25,4.74
  CoalOldScr  ,8.66,2.25,4.74
  CoalOldUns  ,8.66,2.25,4.74
  CofireNew ,8.66,2.25,4.74
  CofireOld ,8.66,2.25,4.74
  Gas-CC  ,8.66,2.25,4.74
  Gas-CC-CCS_mod  ,8.66,2.25,4.74
  Gas-CC-CCS_max  ,8.66,2.25,4.74
  Gas-CC-CCS-F1  ,8.66,2.25,4.74
  Gas-CC-CCS-F2  ,8.66,2.25,4.74
  Gas-CC-CCS-F3  ,8.66,2.25,4.74
  Gas-CT  ,8.66,2.25,4.74
  geothermal  ,8.66,2.25,4.74
  Hydro ,8.66,2.25,4.74
  lfill-gas ,8.66,2.25,4.74
  nuclear,8.66,2.25,4.74
  nuclear-SMR,8.66,2.25,4.74
  o-g-s ,8.66,2.25,4.74
  pumped-hydro  ,8.66,2.25,4.74
  pumped-hydro-flex  ,8.66,2.25,4.74
  hydD  ,8.66,2.25,4.74
  hydND ,8.66,2.25,4.74
  hydSD ,8.66,2.25,4.74
  hydSND  ,8.66,2.25,4.74
  hydUD ,8.66,2.25,4.74
  hydUND  ,8.66,2.25,4.74
  hydNPD  ,8.66,2.25,4.74
  hydNPND ,8.66,2.25,4.74
  hydED ,8.66,2.25,4.74
  hydEND ,8.66,2.25,4.74
  RE-CT,8.66,2.25,4.74
  csp1_1,8.66,2.25,4.74
  csp1_2,8.66,2.25,4.74
  csp1_3,8.66,2.25,4.74
  csp1_4,8.66,2.25,4.74
  csp1_5,8.66,2.25,4.74
  csp1_6,8.66,2.25,4.74
  csp1_7,8.66,2.25,4.74
  csp1_8,8.66,2.25,4.74
  csp1_9,8.66,2.25,4.74
  csp1_10,8.66,2.25,4.74
  csp1_11,8.66,2.25,4.74
  csp1_12,8.66,2.25,4.74
  csp2_1,8.66,2.25,4.74
  csp2_2,8.66,2.25,4.74
  csp2_3,8.66,2.25,4.74
  csp2_4,8.66,2.25,4.74
  csp2_5,8.66,2.25,4.74
  csp2_6,8.66,2.25,4.74
  csp2_7,8.66,2.25,4.74
  csp2_8,8.66,2.25,4.74
  csp2_9,8.66,2.25,4.74
  csp2_10,8.66,2.25,4.74
  csp2_11,8.66,2.25,4.74
  csp2_12,8.66,2.25,4.74
  csp3_1,8.66,2.25,4.74
  csp3_2,8.66,2.25,4.74
  csp3_3,8.66,2.25,4.74
  csp3_4,8.66,2.25,4.74
  csp3_5,8.66,2.25,4.74
  csp3_6,8.66,2.25,4.74
  csp3_7,8.66,2.25,4.74
  csp3_8,8.66,2.25,4.74
  csp3_9,8.66,2.25,4.74
  csp3_10,8.66,2.25,4.74
  csp3_11,8.66,2.25,4.74
  csp3_12,8.66,2.25,4.74
  csp4_1,8.66,2.25,4.74
  csp4_2,8.66,2.25,4.74
  csp4_3,8.66,2.25,4.74
  csp4_4,8.66,2.25,4.74
  csp4_5,8.66,2.25,4.74
  csp4_6,8.66,2.25,4.74
  csp4_7,8.66,2.25,4.74
  csp4_8,8.66,2.25,4.74
  csp4_9,8.66,2.25,4.74
  csp4_10,8.66,2.25,4.74
  csp4_11,8.66,2.25,4.74
  csp4_12,8.66,2.25,4.74
