t,capcost,fom,vom,rte
2010,1168,12.98555182,1.735138389,0.5
2011,1168,12.98555182,1.735138389,0.5
2012,1168,12.98555182,1.735138389,0.5
2013,1168,12.98555182,1.735138389,0.5
2014,1168,12.98555182,1.735138389,0.5
2015,1168,12.98555182,1.735138389,0.5
2016,1168,12.98555182,1.735138389,0.5
2017,1168,12.98555182,1.735138389,0.5
2018,1168,12.98555182,1.735138389,0.5
2019,1168,12.98555182,1.735138389,0.5
2020,1168,12.98555182,1.735138389,0.5
2021,1168,12.98555182,1.735138389,0.5
2022,1168,12.98555182,1.735138389,0.5
2023,1168,12.98555182,1.735138389,0.5
2024,1168,12.98555182,1.735138389,0.5
2025,1168,12.98555182,1.735138389,0.5
2026,1168,12.98555182,1.735138389,0.5
2027,1168,12.98555182,1.735138389,0.5
2028,1168,12.98555182,1.735138389,0.5
2029,1168,12.98555182,1.735138389,0.5
2030,1168,12.98555182,1.735138389,0.5
2031,1168,12.98555182,1.735138389,0.5
2032,1168,12.98555182,1.735138389,0.5
2033,1168,12.98555182,1.735138389,0.5
2034,1168,12.98555182,1.735138389,0.5
2035,1168,12.98555182,1.735138389,0.5
2036,1168,12.98555182,1.735138389,0.5
2037,1168,12.98555182,1.735138389,0.5
2038,1168,12.98555182,1.735138389,0.5
2039,1168,12.98555182,1.735138389,0.5
2040,1168,12.98555182,1.735138389,0.5
2041,1168,12.98555182,1.735138389,0.5
2042,1168,12.98555182,1.735138389,0.5
2043,1168,12.98555182,1.735138389,0.5
2044,1168,12.98555182,1.735138389,0.5
2045,1168,12.98555182,1.735138389,0.5
2046,1168,12.98555182,1.735138389,0.5
2047,1168,12.98555182,1.735138389,0.5
2048,1168,12.98555182,1.735138389,0.5
2049,1168,12.98555182,1.735138389,0.5
2050,1168,12.98555182,1.735138389,0.5
