tech,MW,source
gas-ct,233,https://atb.nrel.gov/electricity/2022/fossil_energy_technologies
h2-ct,233,https://atb.nrel.gov/electricity/2022/fossil_energy_technologies
o-g-s,233,https://atb.nrel.gov/electricity/2022/fossil_energy_technologies
gas-cc,727,https://atb.nrel.gov/electricity/2022/fossil_energy_technologies
h2-cc,727,https://atb.nrel.gov/electricity/2022/fossil_energy_technologies
gas-cc-ccs,727,https://atb.nrel.gov/electricity/2022/fossil_energy_technologies
gas-cc-ccs_mod,727,https://atb.nrel.gov/electricity/2022/fossil_energy_technologies
gas-cc-ccs_max,727,https://atb.nrel.gov/electricity/2022/fossil_energy_technologies
gas-cc_gas-cc-ccs,727,https://atb.nrel.gov/electricity/2022/fossil_energy_technologies
gas-cc_gas-cc-ccs_mod,727,https://atb.nrel.gov/electricity/2022/fossil_energy_technologies
gas-cc_gas-cc-ccs_max,727,https://atb.nrel.gov/electricity/2022/fossil_energy_technologies
coal-new,650,https://atb.nrel.gov/electricity/2022/fossil_energy_technologies
coal-ccs,650,https://atb.nrel.gov/electricity/2022/fossil_energy_technologies
coal-ccs_mod,650,https://atb.nrel.gov/electricity/2022/fossil_energy_technologies
coal-ccs_max,650,https://atb.nrel.gov/electricity/2022/fossil_energy_technologies
coal-new_coal-ccs_mod,650,https://atb.nrel.gov/electricity/2022/fossil_energy_technologies
coal-igcc,634,https://atb.nrel.gov/electricity/2022/fossil_energy_technologies
coaloldscr,650,https://atb.nrel.gov/electricity/2022/fossil_energy_technologies
coalolduns,650,https://atb.nrel.gov/electricity/2022/fossil_energy_technologies
cofirenew,650,https://atb.nrel.gov/electricity/2022/fossil_energy_technologies
cofireold,650,https://atb.nrel.gov/electricity/2022/fossil_energy_technologies
beccs,50,https://atb.nrel.gov/electricity/2022/other_technologies_(eia)
beccs_mod,50,https://atb.nrel.gov/electricity/2022/other_technologies_(eia)
beccs_max,50,https://atb.nrel.gov/electricity/2022/other_technologies_(eia)
biopower,50,https://atb.nrel.gov/electricity/2022/other_technologies_(eia)
lfill-gas,50,https://atb.nrel.gov/electricity/2022/other_technologies_(eia)
nuclear,1117,https://atb.nrel.gov/electricity/2022/other_technologies_(eia) https://inis.iaea.org/collection/NCLCollectionStore/_Public/42/026/42026956.pdf
nuclear-smr,600,https://atb.nrel.gov/electricity/2022/other_technologies_(eia)
upv,100,https://atb.nrel.gov/electricity/2022/utility-scale_pv
dupv,100,https://atb.nrel.gov/electricity/2022/utility-scale_pv
wind-ons,200,https://atb.nrel.gov/electricity/2022/land-based_wind
wind-ofs,1000,https://atb.nrel.gov/electricity/2022/offshore_wind
battery,60,https://atb.nrel.gov/electricity/2022/utility-scale_battery_storage
csp,104,https://atb.nrel.gov/electricity/2022/concentrating_solar_power
pumped-hydro,1000,https://atb.nrel.gov/electricity/2022/pumped_storage_hydropower
geothermal,30,https://atb.nrel.gov/electricity/2022/geothermal
egs_allkm,30,https://atb.nrel.gov/electricity/2022/geothermal
geohydro_allkm,30,https://atb.nrel.gov/electricity/2022/geothermal
egs_nearfield,30,https://atb.nrel.gov/electricity/2022/geothermal
hydro,94,https://atb.nrel.gov/electricity/2022/hydropower
hydd,94,https://atb.nrel.gov/electricity/2022/hydropower
hydnd,94,https://atb.nrel.gov/electricity/2022/hydropower
hydsd,94,https://atb.nrel.gov/electricity/2022/hydropower
hydsnd,94,https://atb.nrel.gov/electricity/2022/hydropower
hydud,94,https://atb.nrel.gov/electricity/2022/hydropower
hydund,94,https://atb.nrel.gov/electricity/2022/hydropower
hydnpd,94,https://atb.nrel.gov/electricity/2022/hydropower
hydnpnd,94,https://atb.nrel.gov/electricity/2022/hydropower
hyded,94,https://atb.nrel.gov/electricity/2022/hydropower
hydend,94,https://atb.nrel.gov/electricity/2022/hydropower
can-imports,20000,set as an arbitrarily high number
evmc,20000,set as an arbitrarily high number
dr_shed,20000,set as an arbitrarily high number
